time,symbol,direction,event,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2024.01.02 11:10:00,XAUUSD,LONG,order_attempt,0,,2075.08,2073.14,2077.99,0.25,1.94,1.50,,,,0.1508,0.2000,true,false,18.0,1.19,DowFractal_ThirdWave
2024.01.02 11:10:00,XAUUSD,LONG,order_sent,10009,order_sent,2075.08,2073.14,2077.99,0.25,1.94,1.50,,,,0.1508,0.2000,true,false,18.0,1.19,DowFractal_ThirdWave
2024.01.02 11:20:00,XAUUSD,LONG,order_blocked,0,max_positions,2075.18,2071.63,2080.51,0.14,3.55,1.50,max_positions,,max_positions,0.1523,0.2000,true,false,18.0,1.18,DowFractal_ThirdWave
2024.01.02 11:30:00,XAUUSD,LONG,order_blocked,0,max_positions,2074.78,2071.63,2079.51,0.15,3.15,1.50,max_positions,,max_positions,0.1581,0.2000,true,false,18.0,1.14,DowFractal_ThirdWave
2024.01.02 12:25:00,XAUUSD,LONG,order_attempt,0,,2074.85,2071.63,2079.68,0.15,3.22,1.50,,,,0.1266,0.2000,true,false,18.0,1.42,DowFractal_ThirdWave
2024.01.02 12:25:00,XAUUSD,LONG,order_sent,10009,order_sent,2074.85,2071.63,2079.68,0.15,3.22,1.50,,,,0.1266,0.2000,true,false,18.0,1.42,DowFractal_ThirdWave
2024.01.02 12:35:00,XAUUSD,LONG,order_blocked,0,max_positions,2075.81,2071.63,2082.08,0.12,4.18,1.50,max_positions,,max_positions,0.1295,0.2000,true,false,18.0,1.39,DowFractal_ThirdWave
2024.01.02 13:35:00,USDJPY,LONG,order_attempt,0,,141.843,141.537,142.302,0.23,0.306,1.50,,,,0.1765,0.2000,true,false,13.0,0.074,DowFractal_ThirdWave
2024.01.02 13:35:00,USDJPY,LONG,order_sent,10009,order_sent,141.843,141.537,142.302,0.23,0.306,1.50,,,,0.1765,0.2000,true,false,13.0,0.074,DowFractal_ThirdWave
2024.01.03 13:40:00,GBPJPY,LONG,order_attempt,0,,180.338,180.023,180.811,0.22,0.315,1.50,,,,0.1276,0.2000,true,false,11.0,0.086,DowFractal_ThirdWave
2024.01.03 13:40:00,GBPJPY,LONG,order_sent,10009,order_sent,180.338,180.023,180.811,0.22,0.315,1.50,,,,0.1276,0.2000,true,false,11.0,0.086,DowFractal_ThirdWave
2024.01.03 13:45:00,GBPJPY,LONG,order_blocked,0,max_positions,180.377,180.022,180.910,0.19,0.355,1.50,max_positions,,max_positions,0.1383,0.2000,true,false,12.0,0.087,DowFractal_ThirdWave
2024.01.03 16:00:00,EURJPY,LONG,order_blocked,0,max_positions,156.202,155.936,156.601,0.26,0.266,1.50,max_positions,,max_positions,0.1737,0.2000,true,false,13.0,0.075,DowFractal_ThirdWave
2024.01.04 02:35:00,GBPJPY,LONG,order_attempt,0,,181.334,181.170,181.580,0.43,0.164,1.50,,,,0.1950,0.2000,true,false,15.0,0.077,DowFractal_ThirdWave
2024.01.04 02:35:00,GBPJPY,LONG,order_sent,10009,order_sent,181.334,181.170,181.580,0.43,0.164,1.50,,,,0.1950,0.2000,true,false,15.0,0.077,DowFractal_ThirdWave
2024.01.04 02:40:00,USDJPY,LONG,order_blocked,0,max_positions,143.192,143.135,143.278,1.00,0.057,1.50,max_positions,,max_positions,0.1968,0.2000,true,false,13.0,0.066,DowFractal_ThirdWave
2024.01.04 02:45:00,GBPJPY,LONG,order_blocked,0,max_positions,181.429,181.171,181.816,0.27,0.258,1.50,max_positions,,max_positions,0.1795,0.2000,true,false,14.0,0.078,DowFractal_ThirdWave
2024.01.04 02:55:00,USDJPY,LONG,order_blocked,0,max_positions,143.312,143.135,143.578,0.40,0.177,1.50,max_positions,,max_positions,0.1682,0.2000,true,false,13.0,0.077,DowFractal_ThirdWave
2024.01.04 06:05:00,GBPJPY,LONG,order_attempt,0,,181.679,181.476,181.984,0.35,0.203,1.50,,,,0.1937,0.2000,true,false,11.0,0.057,DowFractal_ThirdWave
2024.01.04 06:05:00,GBPJPY,LONG,order_sent,10009,order_sent,181.679,181.476,181.984,0.35,0.203,1.50,,,,0.1937,0.2000,true,false,11.0,0.057,DowFractal_ThirdWave
2024.01.04 10:20:00,USDJPY,LONG,order_attempt,0,,143.550,143.210,144.060,0.21,0.340,1.50,,,,0.1487,0.2000,true,false,14.0,0.094,DowFractal_ThirdWave
2024.01.04 10:20:00,USDJPY,LONG,order_sent,10009,order_sent,143.550,143.210,144.060,0.21,0.340,1.50,,,,0.1487,0.2000,true,false,14.0,0.094,DowFractal_ThirdWave
2024.01.04 10:25:00,USDJPY,LONG,order_blocked,0,max_positions,143.569,143.211,144.106,0.20,0.358,1.50,max_positions,,max_positions,0.1421,0.2000,true,false,13.0,0.091,DowFractal_ThirdWave
