period,scenario,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,SHORT,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,1
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,LONG,2,1,1,50.0,39.44,1.803,19.72,0.5,49.14,0.49,1
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,SHORT,4,2,2,50.0,90.78,1.884,22.7,0.508,52.56,0.52,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,6,1,5,16.67,-163.03,0.344,-27.17,-0.507,248.55,2.46,5
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,7,3,4,42.86,92.23,1.465,13.18,0.285,146.82,1.47,3
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,2,1,1,50.0,37.76,1.743,18.88,0.483,50.82,0.5,1
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,SHORT,3,0,3,0.0,-147.47,0.0,-49.16,-1.004,147.47,1.47,3
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,LONG,1,0,1,0.0,-48.4,0.0,-48.4,-1.008,48.4,0.48,1
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,SHORT,5,1,4,20.0,-98.54,0.498,-19.71,-0.407,146.39,1.46,3
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,1,0,1,0.0,-52.72,0.0,-52.72,-1.006,52.72,0.53,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,LONG,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,LONG,2,1,1,50.0,54.16,2.192,27.08,0.5,45.44,0.45,1
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,SHORT,1,0,1,0.0,-49.4,0.0,-49.4,-1.001,49.4,0.49,1
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,2,2,0,100.0,163.58,,81.79,2.0,0.0,0.0,0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,3,2,1,66.67,150.03,4.037,50.01,1.008,49.4,0.49,1
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,LONG,2,0,2,0.0,-86.97,0.0,-43.48,-1.016,86.97,0.87,2
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,SHORT,4,1,3,25.0,-52.87,0.639,-13.22,-0.249,146.33,1.46,3
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,LONG,4,1,3,25.0,-24.35,0.801,-6.09,-0.276,122.31,1.21,3
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,SHORT,6,2,4,33.33,-27.83,0.848,-4.64,-0.001,183.25,1.83,4
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,14,1,13,7.14,-516.62,0.16,-36.9,-0.796,516.62,5.17,9
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,13,3,10,23.08,-199.8,0.56,-15.37,-0.314,357.03,3.53,6
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,6,1,5,16.67,-123.5,0.444,-20.58,-0.513,126.09,1.26,3
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,SHORT,11,2,9,18.18,-224.35,0.464,-20.4,-0.464,247.1,2.47,5
2026-Q1,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,LONG,4,0,4,0.0,-194.36,0.0,-48.59,-1.005,194.36,1.94,4
2026-Q1,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,SHORT,3,1,2,33.33,-1.64,0.984,-0.55,-0.002,53.14,0.53,1
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,LONG,3,0,3,0.0,-149.01,0.0,-49.67,-1.005,149.01,1.49,3
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,SHORT,1,0,1,0.0,-49.07,0.0,-49.07,-1.0,49.07,0.49,1
