run,year,scenario,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_win,avg_loss
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,60-65,238,92,146,38.66,-563.95,0.915,-2.37,66.16,-45.55
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,65-70,112,33,79,29.46,-1441.68,0.6,-12.87,65.58,-45.64
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,70-75,136,61,75,44.85,674.27,1.201,4.96,66.12,-44.79
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,75-80,10,3,7,30.0,-122.65,0.617,-12.27,65.93,-45.78
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,80+,14,7,7,50.0,148.58,1.481,10.61,65.32,-44.1
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,60-65,176,71,105,40.34,-87.73,0.983,-0.5,69.62,-47.91
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,65-70,66,24,42,36.36,-328.94,0.832,-4.98,68.02,-46.7
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,70-75,98,40,58,40.82,8.65,1.003,0.09,68.23,-46.91
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,75-80,4,1,3,25.0,-75.91,0.477,-18.98,69.12,-48.34
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,80+,13,6,7,46.15,82.82,1.252,6.37,68.55,-46.93
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,60-65,34,14,20,41.18,154.17,1.158,4.53,80.83,-48.87
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,65-70,83,26,57,31.33,-893.57,0.669,-10.77,69.57,-47.41
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,70-75,47,24,23,51.06,520.19,1.484,11.07,66.44,-46.71
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,75-80,15,8,7,53.33,234.58,1.8,15.64,65.96,-41.87
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,80+,2,1,1,50.0,21.33,1.421,10.66,72.0,-50.67
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,60-65,27,11,16,40.74,135.08,1.173,5.0,83.09,-48.68
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,65-70,71,25,46,35.21,-450.63,0.793,-6.35,68.96,-47.27
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,70-75,46,24,22,52.17,596.04,1.571,12.96,68.36,-47.48
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,75-80,16,7,9,43.75,79.39,1.207,4.96,66.08,-42.57
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,80+,2,1,1,50.0,21.33,1.421,10.66,72.0,-50.67
