time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score
2025.08.06 16:34:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.59,3.85,0.0468,18.0,3367.00,3369.08,3360.19,3366.93,3360.00,3380.79,0.07,6.93,2.00,5,0.07,0.02,6.74,1.75,693.0,1.80,1386.0,3.60,75.82
2025.08.06 16:34:59,order_sent,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.59,3.85,0.0468,18.0,3367.00,3369.08,3360.19,3366.93,3360.00,3380.79,0.07,6.93,2.00,5,0.07,0.02,6.74,1.75,693.0,1.80,1386.0,3.60,75.82
2025.08.06 17:19:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.83,4.28,0.0420,18.0,3371.43,3371.86,3365.22,3372.72,3365.01,3388.14,0.06,7.71,2.00,3,1.29,0.30,7.50,1.75,771.0,1.80,1542.0,3.60,72.43
2025.08.06 17:19:59,order_blocked,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.83,4.28,0.0420,18.0,3371.43,3371.86,3365.22,3372.72,3365.01,3388.14,0.06,7.71,2.00,3,1.29,0.30,7.50,1.75,771.0,1.80,1542.0,3.60,72.43
2025.08.08 05:34:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.200,95.595,41.49,0.272,0.151,0.075,0.3740,28.0,95.996,96.019,95.922,96.051,95.894,96.365,0.47,0.157,2.00,3,0.055,0.73,0.129,1.72,157.0,2.10,314.0,4.19,66.08
2025.08.08 05:49:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.200,95.595,41.49,0.272,0.151,0.071,0.3920,28.0,95.996,96.014,95.922,96.016,95.894,96.260,0.60,0.122,2.00,4,0.020,0.28,0.094,1.32,122.0,1.71,244.0,3.42,71.53
2025.08.11 15:19:59,blocked_candidate,AUDJPY,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.512,95.681,40.19,0.258,0.130,0.054,0.5178,28.0,96.204,96.211,96.150,96.221,96.122,96.419,0.75,0.099,2.00,12,0.017,0.31,0.071,1.31,99.0,1.83,198.0,3.66,56.34
2025.08.11 20:34:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.201,0.097,0.3093,30.0,171.786,171.791,171.702,171.857,171.672,172.227,0.40,0.185,2.00,4,0.071,0.73,0.155,1.60,185.0,1.91,370.0,3.81,69.71
2025.08.11 20:49:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.201,0.089,0.3371,30.0,171.786,171.792,171.702,171.853,171.672,172.215,0.41,0.181,2.00,5,0.067,0.75,0.151,1.70,181.0,2.03,362.0,4.07,69.46
2025.08.11 21:04:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.203,0.084,0.3556,30.0,171.795,171.822,171.720,171.843,171.690,172.149,0.48,0.153,2.00,3,0.048,0.57,0.123,1.46,153.0,1.81,306.0,3.63,101.66
2025.08.13 17:49:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,173.005,171.537,38.56,0.422,0.200,0.122,0.2455,30.0,172.456,172.476,172.219,172.432,172.189,172.918,0.30,0.243,2.00,3,0.024,0.20,0.213,1.74,243.0,1.99,486.0,3.98,70.78
2025.08.14 14:04:59,blocked_candidate,EURUSD,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,1.17295,1.15978,46.92,0.00297,0.00109,0.00077,0.2333,18.0,1.16861,1.16947,1.16798,1.16937,1.16780,1.17251,0.32,0.00157,2.00,5,0.00076,0.99,0.00139,1.80,157.0,2.04,314.0,4.07,66.33
2025.08.14 14:19:59,blocked_candidate,EURUSD,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,1.17295,1.15978,46.92,0.00297,0.00109,0.00076,0.2360,18.0,1.16861,1.16931,1.16798,1.16909,1.16780,1.17167,0.39,0.00129,2.00,6,0.00048,0.63,0.00111,1.46,129.0,1.69,258.0,3.38,68.60
2025.08.21 17:19:59,final_entry_candidate,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,199.432,197.842,50.06,0.532,0.280,0.190,0.1996,38.0,198.909,198.840,199.214,198.921,199.252,198.259,0.22,0.331,2.00,13,0.012,0.06,0.293,1.54,331.0,1.74,662.0,3.48,63.21
2025.08.21 17:19:59,order_sent,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,199.432,197.842,50.06,0.532,0.280,0.190,0.1996,38.0,198.909,198.840,199.214,198.921,199.252,198.259,0.22,0.331,2.00,13,0.012,0.06,0.293,1.54,331.0,1.74,662.0,3.48,63.21
2025.08.26 07:04:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,95.941,95.130,58.69,0.266,0.152,0.096,0.2912,28.0,95.654,95.655,95.533,95.656,95.505,95.958,0.49,0.151,2.00,4,0.002,0.02,0.123,1.28,151.0,1.57,302.0,3.14,104.53
2025.08.26 14:49:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_nested_nwave_entry,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.255,0.112,0.3408,38.0,198.845,198.821,199.000,198.820,199.038,198.384,0.33,0.218,2.00,3,0.025,0.22,0.180,1.61,218.0,1.96,436.0,3.91,121.41
2025.08.26 15:19:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.256,0.116,0.3276,38.0,198.845,198.752,199.000,198.783,199.038,198.273,0.28,0.255,2.00,5,0.062,0.53,0.217,1.87,255.0,2.20,510.0,4.40,97.69
2025.08.26 15:34:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.256,0.118,0.3226,38.0,198.845,198.793,199.000,198.847,199.038,198.465,0.38,0.191,2.00,6,0.002,0.02,0.153,1.30,191.0,1.62,382.0,3.24,71.90
2025.08.26 16:19:59,blocked_candidate,EURUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,1.17418,1.15822,60.28,0.00402,0.00193,0.00080,0.2240,18.0,1.16467,1.16476,1.16363,1.16435,1.16345,1.16615,0.55,0.00090,2.00,11,0.00032,0.40,0.00072,0.90,90.0,1.12,180.0,2.24,87.06
2025.08.26 18:19:59,blocked_candidate,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_nested_nwave_entry,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,58.65,0.498,0.235,0.138,0.2764,38.0,198.794,198.756,199.038,198.791,199.076,198.221,0.25,0.285,2.00,4,0.003,0.02,0.247,1.80,285.0,2.07,570.0,4.15,124.55
2025.08.28 13:49:59,blocked_candidate,GBPJPY,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,199.173,198.357,61.27,0.399,0.241,0.108,0.4335,47.0,198.686,198.693,198.597,198.740,198.550,199.120,0.38,0.190,2.00,4,0.054,0.50,0.143,1.32,190.0,1.75,380.0,3.50,67.26
