period,variant,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount,elapsed_seconds,csv_bytes
2024,current_thirdwave_current_sl_1_5R,178,78,100,43.82,714.25,1.139,4.01,0.108,676.39,6.23,9,-457.0,156.64,557.61,542.88,171.37,68.54,59.55,487.6,3.124,731.3,4.687,0.171,0.69,49.48,752.6,8006883
2024,v4_micro_or_candle_lower_tf_sl_1_2R,240,109,131,45.42,-422.35,0.933,-1.76,-0.002,1177.96,11.5,9,-437.96,-159.16,-263.19,-49.53,-372.82,66.67,57.08,363.8,2.334,436.5,2.801,0.2,0.96,45.97,712.9,8827733
2024,v4_micro_or_candle_lower_tf_sl_1_3R,238,104,134,43.7,-367.05,0.943,-1.54,0.003,1101.06,10.82,9,-435.57,-60.79,-306.26,121.71,-488.76,66.81,56.72,362.7,2.333,471.5,3.033,0.2,0.96,45.98,712.8,8824354
2024,v4_without_weak_lower_tf_sl_1_3R,285,119,166,41.75,-911.88,0.883,-3.2,-0.039,1280.89,12.71,10,-465.26,-451.51,-460.37,153.46,-1065.34,62.81,52.63,359.9,2.271,467.8,2.953,0.205,0.95,44.88,713.3,9925149
2025,current_thirdwave_current_sl_1_5R,269,106,163,39.41,-431.98,0.944,-1.61,-0.009,1178.66,11.11,9,-451.53,-410.82,-21.16,-550.52,118.54,75.84,59.48,781.7,3.144,1172.5,4.716,0.104,0.8,45.92,693.2,8643339
2025,v4_micro_or_candle_lower_tf_sl_1_2R,337,163,174,48.37,843.61,1.098,2.5,0.071,631.08,6.07,9,-440.66,-83.16,926.77,1389.23,-545.62,73.29,55.79,607.8,2.373,729.3,2.848,0.153,0.83,47.73,684.1,9604405
2025,v4_micro_or_candle_lower_tf_sl_1_3R,335,154,181,45.97,724.85,1.082,2.16,0.065,698.39,6.78,9,-438.06,-284.66,1009.51,1275.26,-550.41,73.43,55.52,609.8,2.369,792.8,3.08,0.15,0.83,47.03,674.3,9600904
2025,v4_without_weak_lower_tf_sl_1_3R,388,179,209,46.13,1118.35,1.11,2.88,0.078,935.14,9.05,14,-671.58,-520.63,1638.98,1267.28,-148.93,69.07,52.06,586.9,2.353,762.9,3.059,0.159,0.85,47.37,673.9,10985037
2026YTD,current_thirdwave_current_sl_1_5R,95,44,51,46.32,865.75,1.353,9.11,0.161,278.5,2.65,6,-277.88,9.64,856.11,104.0,761.75,89.47,61.05,2043.3,2.93,3064.9,4.395,0.055,0.44,47.56,317.3,3528847
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,122,63,59,51.64,921.66,1.303,7.55,0.147,633.93,5.52,6,-318.67,406.18,515.48,-18.73,940.39,84.43,63.93,1819.9,2.394,2183.8,2.873,0.078,0.61,50.1,306.8,3915167
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,122,59,63,48.36,784.84,1.244,6.43,0.118,851.64,7.37,7,-324.3,334.04,450.8,-67.67,852.51,84.43,63.93,1790.7,2.377,2327.9,3.091,0.078,0.61,49.86,306.9,3915220
2026YTD,v4_without_weak_lower_tf_sl_1_3R,147,69,78,46.94,674.89,1.174,4.59,0.075,814.31,7.14,6,-319.89,216.14,458.75,-41.77,716.66,82.31,70.07,1733.1,2.347,2253.0,3.051,0.089,1.0,49.02,306.9,4554886
ALL_ANNUAL_WINDOWS,current_thirdwave_current_sl_1_5R,542,228,314,42.07,1148.02,1.075,2.12,0.059,1178.66,10.41,9,-457.0,-244.54,1392.56,96.36,1051.66,75.83,55.9,906.2,3.1,1359.3,4.65,0.117,0.8,47.38,,
ALL_ANNUAL_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_2R,699,335,364,47.93,1342.92,1.075,1.92,0.059,1177.96,11.5,9,-437.96,163.86,1179.06,1320.97,21.95,72.96,52.79,735.5,2.364,882.7,2.836,0.156,0.96,47.54,,
ALL_ANNUAL_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_3R,695,317,378,45.61,1142.64,1.062,1.64,0.053,1101.06,10.82,9,-435.57,-11.41,1154.05,1329.3,-186.66,73.09,52.52,732.5,2.358,952.2,3.066,0.155,0.96,47.16,,
ALL_ANNUAL_WINDOWS,v4_without_weak_lower_tf_sl_1_3R,820,367,453,44.76,881.36,1.04,1.07,0.037,1597.05,15.85,14,-671.58,-756.0,1637.36,1378.97,-497.61,69.27,55.49,713.5,2.324,927.5,3.021,0.162,1.0,46.8,,
