period,run,scenario,structure_stage_fail_reason,rows
2025,A,ThirdWave_BOTH,no_higher_tf_trend,723569
2025,A,ThirdWave_BOTH,trend_broken,43201
2025,A,ThirdWave_BOTH,pullback_too_shallow,36354
2025,A,ThirdWave_BOTH,pullback_too_deep,68898
2025,A,ThirdWave_BOTH,no_lower_reversal,138451
2025,A,ThirdWave_BOTH,sl_too_close,560
2025,A,ThirdWave_BOTH,sl_too_wide,14298
2025,B,ThirdWave_LONG_ONLY,no_higher_tf_trend,349872
2025,B,ThirdWave_LONG_ONLY,trend_broken,21589
2025,B,ThirdWave_LONG_ONLY,pullback_too_shallow,23332
2025,B,ThirdWave_LONG_ONLY,pullback_too_deep,35292
2025,B,ThirdWave_LONG_ONLY,no_lower_reversal,73748
2025,B,ThirdWave_LONG_ONLY,sl_too_close,264
2025,B,ThirdWave_LONG_ONLY,sl_too_wide,8723
2025,C,ThirdWave_SHORT_ONLY,no_higher_tf_trend,373697
2025,C,ThirdWave_SHORT_ONLY,trend_broken,21612
2025,C,ThirdWave_SHORT_ONLY,pullback_too_shallow,13022
2025,C,ThirdWave_SHORT_ONLY,pullback_too_deep,33606
2025,C,ThirdWave_SHORT_ONLY,no_lower_reversal,64703
2025,C,ThirdWave_SHORT_ONLY,sl_too_close,296
2025,C,ThirdWave_SHORT_ONLY,sl_too_wide,5575
2024,A,ThirdWave_BOTH,no_higher_tf_trend,736080
2024,A,ThirdWave_BOTH,trend_broken,45874
2024,A,ThirdWave_BOTH,pullback_too_shallow,35778
2024,A,ThirdWave_BOTH,pullback_too_deep,65962
2024,A,ThirdWave_BOTH,no_lower_reversal,136212
2024,A,ThirdWave_BOTH,sl_too_close,537
2024,A,ThirdWave_BOTH,sl_too_wide,14076
2024,B,ThirdWave_LONG_ONLY,no_higher_tf_trend,353262
2024,B,ThirdWave_LONG_ONLY,trend_broken,21476
2024,B,ThirdWave_LONG_ONLY,pullback_too_shallow,22602
2024,B,ThirdWave_LONG_ONLY,pullback_too_deep,34404
2024,B,ThirdWave_LONG_ONLY,no_lower_reversal,76030
2024,B,ThirdWave_LONG_ONLY,sl_too_close,203
2024,B,ThirdWave_LONG_ONLY,sl_too_wide,9298
2024,C,ThirdWave_SHORT_ONLY,no_higher_tf_trend,382818
2024,C,ThirdWave_SHORT_ONLY,trend_broken,24398
2024,C,ThirdWave_SHORT_ONLY,pullback_too_shallow,13176
2024,C,ThirdWave_SHORT_ONLY,pullback_too_deep,31558
2024,C,ThirdWave_SHORT_ONLY,no_lower_reversal,60182
2024,C,ThirdWave_SHORT_ONLY,sl_too_close,334
2024,C,ThirdWave_SHORT_ONLY,sl_too_wide,4778
2026YTD,A,ThirdWave_BOTH,no_higher_tf_trend,300367
2026YTD,A,ThirdWave_BOTH,trend_broken,16862
2026YTD,A,ThirdWave_BOTH,pullback_too_shallow,14522
2026YTD,A,ThirdWave_BOTH,pullback_too_deep,30508
2026YTD,A,ThirdWave_BOTH,no_lower_reversal,58850
2026YTD,A,ThirdWave_BOTH,sl_too_close,225
2026YTD,A,ThirdWave_BOTH,sl_too_wide,6202
2026YTD,B,ThirdWave_LONG_ONLY,no_higher_tf_trend,145873
2026YTD,B,ThirdWave_LONG_ONLY,trend_broken,8051
2026YTD,B,ThirdWave_LONG_ONLY,pullback_too_shallow,9331
2026YTD,B,ThirdWave_LONG_ONLY,pullback_too_deep,15058
2026YTD,B,ThirdWave_LONG_ONLY,no_lower_reversal,31582
2026YTD,B,ThirdWave_LONG_ONLY,sl_too_close,83
2026YTD,B,ThirdWave_LONG_ONLY,sl_too_wide,3831
2026YTD,C,ThirdWave_SHORT_ONLY,no_higher_tf_trend,154494
2026YTD,C,ThirdWave_SHORT_ONLY,trend_broken,8811
2026YTD,C,ThirdWave_SHORT_ONLY,pullback_too_shallow,5191
2026YTD,C,ThirdWave_SHORT_ONLY,pullback_too_deep,15450
2026YTD,C,ThirdWave_SHORT_ONLY,no_lower_reversal,27268
2026YTD,C,ThirdWave_SHORT_ONLY,sl_too_close,142
2026YTD,C,ThirdWave_SHORT_ONLY,sl_too_wide,2371
