variant,reward_r,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,1.2,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,1.3,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,1.5,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
v4_all_signals,1.2,194,194,100,94,51.55,1645.38,1.364,8.48,0.137,508.29,4.25,51.55,47.42,0,0,0,0,0.8,0.966,14606556907.216,17527868288.66,0.136
v4_all_signals,1.3,194,194,95,99,48.97,1613.44,1.339,8.32,0.13,572.64,4.8,48.97,50.0,0,0,0,0,0.819,1.013,14606556907.216,18988523979.381,0.136
v4_all_signals,1.5,194,194,91,103,46.91,2081.98,1.42,10.73,0.176,529.07,4.27,46.91,52.06,0,0,0,0,0.831,1.1,14606556907.216,21909835360.825,0.136
v4_candle_reversal_only,1.2,123,123,67,56,54.47,1534.89,1.573,12.48,0.198,399.56,3.39,54.47,45.53,0,0,0,0,0.752,1.015,16566702357.724,19880042829.268,0.118
v4_candle_reversal_only,1.3,123,123,62,61,50.41,1316.67,1.45,10.7,0.159,446.49,3.84,50.41,49.59,0,0,0,0,0.784,1.067,16566702357.724,21536713065.041,0.118
v4_candle_reversal_only,1.5,123,123,58,65,47.15,1492.25,1.478,12.13,0.179,446.49,3.81,47.15,52.85,0,0,0,0,0.814,1.146,16566702357.724,24850053536.585,0.118
v4_micro_break_only,1.2,68,68,36,32,52.94,459.32,1.296,6.75,0.165,233.11,2.22,52.94,45.59,1,0,0,0,0.77,1.024,14859878970.588,17831854764.706,0.103
v4_micro_break_only,1.3,68,68,33,35,48.53,337.65,1.201,4.97,0.116,233.11,2.22,48.53,50.0,0,0,0,0,0.804,1.1,14859878970.588,19317842661.765,0.103
v4_micro_break_only,1.5,68,68,30,38,44.12,305.59,1.168,4.49,0.103,233.11,2.22,44.12,54.41,0,0,0,0,0.834,1.145,14859878970.588,22289818455.882,0.103
v4_micro_or_candle,1.2,142,142,79,63,55.63,1885.78,1.622,13.28,0.224,458.22,3.8,55.63,44.37,0,0,0,0,0.75,1.032,15669262112.676,18803114535.211,0.12
v4_micro_or_candle,1.3,142,142,75,67,52.82,1829.07,1.566,12.88,0.215,458.22,3.76,52.82,47.18,0,0,0,0,0.77,1.097,15669262112.676,20370040746.479,0.12
v4_micro_or_candle,1.5,142,142,70,72,49.3,2000.8,1.576,14.09,0.232,458.22,3.74,49.3,50.7,0,0,0,0,0.798,1.176,15669262112.676,23503893169.014,0.12
v4_without_weak_signals,1.2,166,166,90,76,54.22,1865.65,1.498,11.24,0.193,485.75,3.99,54.22,45.18,0,0,0,0,0.757,1.017,15594765301.205,18713718361.446,0.133
v4_without_weak_signals,1.3,166,166,85,81,51.2,1770.39,1.443,10.66,0.178,537.67,4.45,51.2,48.19,0,0,0,0,0.782,1.075,15594765301.205,20273194891.566,0.133
v4_without_weak_signals,1.5,166,166,82,84,49.4,2297.69,1.555,13.84,0.235,515.53,4.13,49.4,50.0,0,0,0,0,0.794,1.156,15594765301.205,23392147951.807,0.133
