combo,direction,enabled_conditions,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
room_to_2r,ALL,cond_room_to_2r,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
room_to_2r,LONG,cond_room_to_2r,11,36.36,1.177,0.109,60.79,249.81,2.43,1.423,0.956,81.82,72.73,36.36,11,0,60.79,0,0.109,0.0,5,8,EURJPY:1;EURUSD:2;GBPJPY:2;GBPUSD:1;USDJPY:5,2025-01:1;2025-03:2;2025-04:1;2025-07:2;2025-08:1;2025-09:1;2025-10:1;2025-11:2,LONG:11
room_to_2r,SHORT,cond_room_to_2r,17,35.29,1.087,0.059,48.24,157.4,1.56,1.27,1.153,70.59,47.06,35.29,0,17,0,48.24,0.0,0.059,6,7,AUDJPY:1;EURJPY:2;EURUSD:2;GBPJPY:2;GBPUSD:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:5;2025-06:1;2025-07:3;2025-09:2,SHORT:17
room_to_2r + H4 MA,ALL,cond_room_to_2r+cond_h4_bias_ma,18,38.89,1.257,0.167,141.58,153.76,1.5,1.431,1.077,83.33,72.22,38.89,8,10,47.46,94.12,0.127,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:3;USDJPY:10,2025-01:3;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:8;SHORT:10
room_to_2r + H4 MA,LONG,cond_room_to_2r+cond_h4_bias_ma,8,37.5,1.193,0.127,47.46,151.47,1.49,1.49,0.923,87.5,87.5,37.5,8,0,47.46,0,0.127,0.0,3,5,EURUSD:2;GBPJPY:2;USDJPY:4,2025-01:1;2025-03:2;2025-07:2;2025-09:1;2025-11:2,LONG:8
room_to_2r + H4 MA,SHORT,cond_room_to_2r+cond_h4_bias_ma,10,40.0,1.308,0.199,94.12,104.5,1.04,1.383,1.2,80.0,60.0,40.0,0,10,0,94.12,0.0,0.199,5,6,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:1;USDJPY:6,2025-01:2;2025-02:2;2025-04:3;2025-06:1;2025-07:1;2025-09:1,SHORT:10
room_to_2r + M15 close BOS,ALL,cond_room_to_2r+cond_m15_close_bos,2,50.0,1.949,0.517,48.42,51.04,0.51,1.167,0.696,50.0,50.0,50.0,2,0,48.42,0,0.517,0.0,2,2,EURUSD:1;GBPJPY:1,2025-03:1;2025-07:1,LONG:2
room_to_2r + M15 close BOS,LONG,cond_room_to_2r+cond_m15_close_bos,2,50.0,1.949,0.517,48.42,51.04,0.51,1.167,0.696,50.0,50.0,50.0,2,0,48.42,0,0.517,0.0,2,2,EURUSD:1;GBPJPY:1,2025-03:1;2025-07:1,LONG:2
room_to_2r + M15 close BOS,SHORT,cond_room_to_2r+cond_m15_close_bos,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
room_to_2r + H4 fib,ALL,cond_room_to_2r+cond_h4_fib_382_618,7,28.57,0.789,-0.147,-53.63,204.17,2.01,1.138,1.256,71.43,42.86,28.57,1,6,100.7,-154.33,2.005,-0.506,4,6,EURJPY:1;EURUSD:1;GBPUSD:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-04:1;2025-06:1;2025-07:1,LONG:1;SHORT:6
room_to_2r + H4 fib,LONG,cond_room_to_2r+cond_h4_fib_382_618,1,100.0,,2.005,100.7,0.0,0.0,2.369,0.118,100.0,100.0,100.0,1,0,100.7,0,2.005,0.0,1,1,USDJPY:1,2025-01:1,LONG:1
room_to_2r + H4 fib,SHORT,cond_room_to_2r+cond_h4_fib_382_618,6,16.67,0.393,-0.506,-154.33,204.17,2.03,0.933,1.445,66.67,33.33,16.67,0,6,0,-154.33,0.0,-0.506,4,6,EURJPY:1;EURUSD:1;GBPUSD:1;USDJPY:3,2025-01:1;2025-02:1;2025-03:1;2025-04:1;2025-06:1;2025-07:1,SHORT:6
room_to_2r + H1 N-wave,ALL,cond_room_to_2r+cond_h1_counter_nwave,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
room_to_2r + H1 N-wave,LONG,cond_room_to_2r+cond_h1_counter_nwave,7,28.57,0.87,-0.12,-31.81,197.45,1.94,1.425,0.993,85.71,71.43,28.57,7,0,-31.81,0,-0.12,0.0,4,7,EURJPY:1;GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:1;2025-03:1;2025-04:1;2025-07:1;2025-08:1;2025-10:1;2025-11:1,LONG:7
room_to_2r + H1 N-wave,SHORT,cond_room_to_2r+cond_h1_counter_nwave,13,30.77,0.885,-0.079,-52.3,207.29,2.06,1.129,1.183,69.23,46.15,30.77,0,13,0,-52.3,0.0,-0.079,6,7,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:7,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:2,SHORT:13
room_to_2r + H4 MA + M15 close BOS,ALL,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos,2,50.0,1.949,0.517,48.42,51.04,0.51,1.167,0.696,50.0,50.0,50.0,2,0,48.42,0,0.517,0.0,2,2,EURUSD:1;GBPJPY:1,2025-03:1;2025-07:1,LONG:2
room_to_2r + H4 MA + M15 close BOS,LONG,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos,2,50.0,1.949,0.517,48.42,51.04,0.51,1.167,0.696,50.0,50.0,50.0,2,0,48.42,0,0.517,0.0,2,2,EURUSD:1;GBPJPY:1,2025-03:1;2025-07:1,LONG:2
room_to_2r + H4 MA + M15 close BOS,SHORT,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
room_to_2r + H4 MA + H4 fib,ALL,cond_room_to_2r+cond_h4_bias_ma+cond_h4_fib_382_618,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
room_to_2r + H4 MA + H4 fib,LONG,cond_room_to_2r+cond_h4_bias_ma+cond_h4_fib_382_618,1,100.0,,2.005,100.7,0.0,0.0,2.369,0.118,100.0,100.0,100.0,1,0,100.7,0,2.005,0.0,1,1,USDJPY:1,2025-01:1,LONG:1
room_to_2r + H4 MA + H4 fib,SHORT,cond_room_to_2r+cond_h4_bias_ma+cond_h4_fib_382_618,3,33.33,0.978,-0.004,-2.3,52.14,0.52,1.542,1.715,100.0,66.67,33.33,0,3,0,-2.3,0.0,-0.004,1,3,USDJPY:3,2025-01:1;2025-02:1;2025-06:1,SHORT:3
