period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,2024-01,50,18,32,36.0,-273.82,1338.25,-1612.07,0.83,-5.48,74.35,-50.38
2024,ThirdWave_original_BOTH,2024-02,12,5,7,41.67,25.84,369.17,-343.33,1.075,2.15,73.83,-49.05
2024,ThirdWave_original_BOTH,2024-03,18,11,7,61.11,435.75,794.24,-358.49,2.216,24.21,72.2,-51.21
2024,ThirdWave_original_BOTH,2024-04,30,9,21,30.0,-364.69,622.09,-986.78,0.63,-12.16,69.12,-46.99
2024,ThirdWave_original_BOTH,2024-05,29,13,16,44.83,160.73,932.8,-772.07,1.208,5.54,71.75,-48.25
2024,ThirdWave_original_BOTH,2024-06,30,9,21,30.0,-312.25,725.26,-1037.51,0.699,-10.41,80.58,-49.41
2024,ThirdWave_original_BOTH,2024-07,37,14,23,37.84,-113.08,949.87,-1062.95,0.894,-3.06,67.85,-46.22
2024,ThirdWave_original_BOTH,2024-08,30,10,20,33.33,-258.96,649.85,-908.81,0.715,-8.63,64.99,-45.44
2024,ThirdWave_original_BOTH,2024-09,29,11,18,37.93,-112.88,700.63,-813.51,0.861,-3.89,63.69,-45.2
2024,ThirdWave_original_BOTH,2024-10,28,9,19,32.14,-275.51,555.88,-831.39,0.669,-9.84,61.76,-43.76
2024,ThirdWave_original_BOTH,2024-11,35,18,17,51.43,371.97,1109.84,-737.87,1.504,10.63,61.66,-43.4
2024,ThirdWave_original_BOTH,2024-12,27,9,18,33.33,-197.14,603.11,-800.25,0.754,-7.3,67.01,-44.46
2024,ThirdWave_regime_BOTH,2024-01,25,9,16,36.0,-138.23,669.29,-807.52,0.829,-5.53,74.37,-50.47
2024,ThirdWave_regime_BOTH,2024-02,5,2,3,40.0,7.01,146.74,-139.73,1.05,1.4,73.37,-46.58
2024,ThirdWave_regime_BOTH,2024-03,12,8,4,66.67,384.98,591.36,-206.38,2.865,32.08,73.92,-51.59
2024,ThirdWave_regime_BOTH,2024-04,12,7,5,58.33,290.83,530.8,-239.97,2.212,24.24,75.83,-47.99
2024,ThirdWave_regime_BOTH,2024-05,6,3,3,50.0,61.24,228.43,-167.19,1.366,10.21,76.14,-55.73
2024,ThirdWave_regime_BOTH,2024-06,12,4,8,33.33,-12.28,412.15,-424.43,0.971,-1.02,103.04,-53.05
2024,ThirdWave_regime_BOTH,2024-07,15,8,7,53.33,254.44,624.16,-369.72,1.688,16.96,78.02,-52.82
2024,ThirdWave_regime_BOTH,2024-08,15,5,10,33.33,-158.65,364.05,-522.7,0.696,-10.58,72.81,-52.27
2024,ThirdWave_regime_BOTH,2024-09,11,4,7,36.36,-88.95,285.37,-374.32,0.762,-8.09,71.34,-53.47
2024,ThirdWave_regime_BOTH,2024-10,19,7,12,36.84,-103.96,510.98,-614.94,0.831,-5.47,73.0,-51.25
2024,ThirdWave_regime_BOTH,2024-11,18,11,7,61.11,420.88,777.73,-356.85,2.179,23.38,70.7,-50.98
2024,ThirdWave_regime_BOTH,2024-12,9,3,6,33.33,-84.9,231.04,-315.94,0.731,-9.43,77.01,-52.66
2024,ThirdWave_regime_LONG_ONLY,2024-01,17,7,10,41.18,-1.07,516.08,-517.15,0.998,-0.06,73.73,-51.71
2024,ThirdWave_regime_LONG_ONLY,2024-02,2,1,1,50.0,26.86,75.75,-48.89,1.549,13.43,75.75,-48.89
2024,ThirdWave_regime_LONG_ONLY,2024-03,9,7,2,77.78,419.81,526.15,-106.34,4.948,46.65,75.16,-53.17
2024,ThirdWave_regime_LONG_ONLY,2024-04,10,5,5,50.0,113.03,371.54,-258.51,1.437,11.3,74.31,-51.7
2024,ThirdWave_regime_LONG_ONLY,2024-05,3,0,3,0.0,-167.19,0.0,-167.19,0.0,-55.73,0.0,-55.73
2024,ThirdWave_regime_LONG_ONLY,2024-06,6,2,4,33.33,43.45,249.71,-206.26,1.211,7.24,124.85,-51.56
2024,ThirdWave_regime_LONG_ONLY,2024-07,8,3,5,37.5,-51.47,217.46,-268.93,0.809,-6.43,72.49,-53.79
2024,ThirdWave_regime_LONG_ONLY,2024-08,12,3,9,25.0,-263.23,192.84,-456.07,0.423,-21.94,64.28,-50.67
2024,ThirdWave_regime_LONG_ONLY,2024-09,6,3,3,50.0,51.43,206.87,-155.44,1.331,8.57,68.96,-51.81
2024,ThirdWave_regime_LONG_ONLY,2024-10,14,6,8,42.86,13.68,413.95,-400.27,1.034,0.98,68.99,-50.03
2024,ThirdWave_regime_LONG_ONLY,2024-11,8,7,1,87.5,408.48,461.58,-53.1,8.693,51.06,65.94,-53.1
2024,ThirdWave_regime_LONG_ONLY,2024-12,5,2,3,40.0,2.05,155.89,-153.84,1.013,0.41,77.94,-51.28
2024,ThirdWave_regime_SHORT_ONLY,2024-01,8,2,6,25.0,-137.39,153.21,-290.6,0.527,-17.17,76.61,-48.43
2024,ThirdWave_regime_SHORT_ONLY,2024-02,3,1,2,33.33,-21.36,71.7,-93.06,0.77,-7.12,71.7,-46.53
2024,ThirdWave_regime_SHORT_ONLY,2024-03,5,2,3,40.0,3.01,145.61,-142.6,1.021,0.6,72.81,-47.53
2024,ThirdWave_regime_SHORT_ONLY,2024-04,2,2,0,100.0,129.72,129.72,0.0,,64.86,64.86,0.0
2024,ThirdWave_regime_SHORT_ONLY,2024-05,3,3,0,100.0,217.25,217.25,0.0,,72.42,72.42,0.0
2024,ThirdWave_regime_SHORT_ONLY,2024-06,6,2,4,33.33,-43.71,150.11,-193.82,0.774,-7.28,75.06,-48.45
