period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,not_used,355,136,219,38.31,-914.04,9350.99,-10265.03,0.911,-2.57,68.76,-46.87
2024,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,60,25,35,41.67,162.38,1936.61,-1774.23,1.092,2.71,77.46,-50.69
2024,ThirdWave_regime_BOTH,REGIME_TREND_UP,99,46,53,46.46,670.03,3435.49,-2765.46,1.242,6.77,74.68,-52.18
2024,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,100,46,54,46.0,595.83,3387.82,-2791.99,1.213,5.96,73.65,-51.7
2024,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,65,28,37,43.08,257.93,2058.81,-1800.88,1.143,3.97,73.53,-48.67
2025,ThirdWave_original_BOTH,not_used,451,179,272,39.69,-464.41,12000.6,-12465.01,0.963,-1.03,67.04,-45.83
2025,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,96,39,57,40.62,209.54,2850.29,-2640.75,1.079,2.18,73.08,-46.33
2025,ThirdWave_regime_BOTH,REGIME_TREND_UP,151,56,95,37.09,-776.56,3654.25,-4430.81,0.825,-5.14,65.25,-46.64
2025,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,156,59,97,37.82,-660.2,3853.08,-4513.28,0.854,-4.23,65.31,-46.53
2025,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,104,40,64,38.46,-75.55,2947.6,-3023.15,0.975,-0.73,73.69,-47.24
2026YTD,ThirdWave_original_BOTH,not_used,189,82,107,43.39,856.11,5921.62,-5065.51,1.169,4.53,72.21,-47.34
2026YTD,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,51,25,26,49.02,705.15,1964.53,-1259.38,1.56,13.83,78.58,-48.44
2026YTD,ThirdWave_regime_BOTH,REGIME_TREND_UP,37,16,21,43.24,104.0,1130.66,-1026.66,1.101,2.81,70.67,-48.89
2026YTD,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,37,16,21,43.24,116.2,1130.66,-1014.46,1.115,3.14,70.67,-48.31
2026YTD,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,52,25,27,48.08,674.93,1962.56,-1287.63,1.524,12.98,78.5,-47.69
