period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,all,132,59,73,44.7,565.82,4313.46,-3747.64,1.151,4.29,73.11,-51.34
2024,all,15,all,99,40,59,40.4,-243.35,2692.3,-2935.65,0.917,-2.46,67.31,-49.76
2024,all,5,all,178,78,100,43.82,714.25,5858.94,-5144.69,1.139,4.01,75.11,-51.45
2024,best,10,best,122,55,67,45.08,584.68,4018.04,-3433.36,1.17,4.79,73.06,-51.24
2024,best,15,best,92,37,55,40.22,-265.04,2475.0,-2740.04,0.903,-2.88,66.89,-49.82
2024,best,5,best,159,71,88,44.65,832.41,5372.1,-4539.69,1.183,5.24,75.66,-51.59
2025,all,10,all,202,74,128,36.63,-762.63,5116.92,-5879.55,0.87,-3.78,69.15,-45.93
2025,all,15,all,147,60,87,40.82,-118.91,4104.34,-4223.25,0.972,-0.81,68.41,-48.54
2025,all,5,all,269,106,163,39.41,-431.98,7302.85,-7734.83,0.944,-1.61,68.89,-47.45
2025,best,10,best,193,71,122,36.79,-708.42,4893.76,-5602.18,0.874,-3.67,68.93,-45.92
2025,best,15,best,142,57,85,40.14,-220.24,3881.28,-4101.52,0.946,-1.55,68.09,-48.25
2025,best,5,best,247,95,152,38.46,-567.02,6504.54,-7071.56,0.92,-2.3,68.47,-46.52
2026YTD,all,10,all,61,29,32,47.54,604.94,2121.72,-1516.78,1.399,9.92,73.16,-47.4
2026YTD,all,15,all,43,17,26,39.53,40.41,1206.68,-1166.27,1.035,0.94,70.98,-44.86
2026YTD,all,5,all,92,42,50,45.65,758.63,3171.99,-2413.36,1.314,8.25,75.52,-48.27
2026YTD,best,10,best,61,29,32,47.54,604.94,2121.72,-1516.78,1.399,9.92,73.16,-47.4
2026YTD,best,15,best,43,17,26,39.53,40.41,1206.68,-1166.27,1.035,0.94,70.98,-44.86
2026YTD,best,5,best,88,41,47,46.59,809.15,3095.19,-2286.04,1.354,9.19,75.49,-48.64
