period,variant,reason,rows,xauusd_rows,fx_rows,long_rows,short_rows
2024,current_thirdwave_current_sl_1_5R,candidate,600,438,162,366,234
2024,current_thirdwave_current_sl_1_5R,existing_position,244,194,50,154,90
2024,current_thirdwave_current_sl_1_5R,spread_guard,2068,124,1944,1015,1053
2024,v4_micro_or_candle_lower_tf_sl_1_2R,candidate,629,439,190,368,261
2024,v4_micro_or_candle_lower_tf_sl_1_2R,existing_position,149,119,30,94,55
2024,v4_micro_or_candle_lower_tf_sl_1_2R,spread_guard,2139,92,2047,1159,980
2024,v4_micro_or_candle_lower_tf_sl_1_3R,candidate,627,438,189,366,261
2024,v4_micro_or_candle_lower_tf_sl_1_3R,existing_position,151,120,31,96,55
2024,v4_micro_or_candle_lower_tf_sl_1_3R,spread_guard,2139,92,2047,1159,980
2024,v4_without_weak_lower_tf_sl_1_3R,candidate,826,537,289,366,460
2024,v4_without_weak_lower_tf_sl_1_3R,existing_position,256,179,77,96,160
2024,v4_without_weak_lower_tf_sl_1_3R,spread_guard,3075,116,2959,1159,1916
2025,current_thirdwave_current_sl_1_5R,candidate,937,747,190,559,378
2025,current_thirdwave_current_sl_1_5R,existing_position,399,339,60,239,160
2025,current_thirdwave_current_sl_1_5R,spread_guard,2111,38,2073,948,1163
2025,v4_micro_or_candle_lower_tf_sl_1_2R,candidate,935,710,225,524,411
2025,v4_micro_or_candle_lower_tf_sl_1_2R,existing_position,261,216,45,148,113
2025,v4_micro_or_candle_lower_tf_sl_1_2R,spread_guard,2376,7,2369,1160,1216
2025,v4_micro_or_candle_lower_tf_sl_1_3R,candidate,933,709,224,522,411
2025,v4_micro_or_candle_lower_tf_sl_1_3R,existing_position,263,217,46,150,113
2025,v4_micro_or_candle_lower_tf_sl_1_3R,spread_guard,2376,7,2369,1160,1216
2025,v4_without_weak_lower_tf_sl_1_3R,candidate,1212,877,335,522,690
2025,v4_without_weak_lower_tf_sl_1_3R,existing_position,436,341,95,150,286
2025,v4_without_weak_lower_tf_sl_1_3R,spread_guard,3456,7,3449,1160,2296
2026YTD,current_thirdwave_current_sl_1_5R,candidate,343,319,24,166,177
2026YTD,current_thirdwave_current_sl_1_5R,existing_position,153,149,4,92,61
2026YTD,current_thirdwave_current_sl_1_5R,spread_guard,791,0,791,395,396
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,candidate,365,314,51,148,217
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,existing_position,121,108,13,60,61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,spread_guard,930,0,930,498,432
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,candidate,365,314,51,148,217
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,existing_position,121,108,13,60,61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,spread_guard,930,0,930,498,432
2026YTD,v4_without_weak_lower_tf_sl_1_3R,candidate,528,452,76,148,380
2026YTD,v4_without_weak_lower_tf_sl_1_3R,existing_position,234,210,24,60,174
2026YTD,v4_without_weak_lower_tf_sl_1_3R,spread_guard,1322,0,1322,498,824
