time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score
2025.10.02 06:00:00,final_entry_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,5.13,0.0351,18.0,3865.17,3866.15,3861.57,3866.29,3861.31,3876.25,0.10,4.98,2.00,4,1.12,0.22,4.72,0.92,498.0,0.97,996.0,1.94,100.39
2025.10.02 06:00:00,order_sent,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,5.13,0.0351,18.0,3865.17,3866.15,3861.57,3866.29,3861.31,3876.25,0.10,4.98,2.00,4,1.12,0.22,4.72,0.92,498.0,0.97,996.0,1.94,100.39
2025.10.02 06:15:00,final_entry_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,4.81,0.0374,18.0,3865.17,3868.97,3861.57,3869.16,3861.33,3884.82,0.06,7.83,2.00,5,3.99,0.83,7.59,1.58,783.0,1.63,1566.0,3.26,63.05
2025.10.02 06:15:00,order_blocked,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,4.81,0.0374,18.0,3865.17,3868.97,3861.57,3869.16,3861.33,3884.82,0.06,7.83,2.00,5,3.99,0.83,7.59,1.58,783.0,1.63,1566.0,3.26,63.05
2025.10.02 06:30:00,final_entry_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,4.66,0.0386,18.0,3865.17,3867.17,3861.57,3867.38,3861.34,3879.46,0.08,6.04,2.00,6,2.21,0.47,5.81,1.25,604.0,1.30,1208.0,2.59,65.32
2025.10.02 06:30:00,order_blocked,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,max_positions,max_positions,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,12.89,4.66,0.0386,18.0,3865.17,3867.17,3861.57,3867.38,3861.34,3879.46,0.08,6.04,2.00,6,2.21,0.47,5.81,1.25,604.0,1.30,1208.0,2.59,65.32
2025.10.02 07:00:00,final_entry_candidate,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,11.38,4.35,0.0414,18.0,3865.17,3866.52,3861.57,3866.73,3861.35,3877.49,0.09,5.38,2.00,8,1.56,0.36,5.16,1.19,538.0,1.24,1076.0,2.47,92.71
2025.10.02 07:00:00,order_blocked,XAUUSD,LONG,server_00_07,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,max_positions,max_positions,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,3895.28,3793.16,38.36,26.30,11.38,4.35,0.0414,18.0,3865.17,3866.52,3861.57,3866.73,3861.35,3877.49,0.09,5.38,2.00,8,1.56,0.36,5.16,1.19,538.0,1.24,1076.0,2.47,92.71
2025.10.10 15:04:59,final_entry_candidate,XAUUSD,SHORT,server_08_15,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,4057.91,3944.83,41.78,36.91,16.98,7.64,0.0249,19.0,3990.81,3987.09,4000.08,3988.12,4000.46,3963.44,0.04,12.34,2.00,6,2.69,0.35,11.96,1.57,1234.0,1.62,2468.0,3.23,98.84
2025.10.10 15:04:59,order_sent,XAUUSD,SHORT,server_08_15,best_only,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,4057.91,3944.83,41.78,36.91,16.98,7.64,0.0249,19.0,3990.81,3987.09,4000.08,3988.12,4000.46,3963.44,0.04,12.34,2.00,6,2.69,0.35,11.96,1.57,1234.0,1.62,2468.0,3.23,98.84
2025.10.10 15:19:59,final_entry_candidate,XAUUSD,SHORT,server_08_15,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,4057.91,3944.83,41.78,36.91,16.98,7.71,0.0233,18.0,3990.81,3988.46,4000.08,3992.74,4000.47,3977.28,0.06,7.73,2.00,7,1.93,0.25,7.34,0.95,773.0,1.00,1546.0,2.01,68.07
