period,run,scenario,entry_selection_mode,trade_index,open_time,close_time,symbol,direction,session,month,fx_bucket,net_profit,final_result_R,label,neckline_break_label,fib_zone,h4_trend_state,h1_counter_trend_state,h4_pullback_depth_bucket,neckline_source_type,neckline_touch_count,neckline_age_bars,neckline_range_atr,entry_close_distance_from_neckline_atr,breakout_body_atr,breakout_body_ratio,breakout_wick_ratio,breakout_close_strength,immediate_retest_within_4_bars,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,mfe_bucket,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL,did_price_reverse_after_1R,did_price_reverse_after_1_5R,sl_atr,sl_atr_bucket,spread_atr,spread_atr_bucket,quality_score,failure_type,winning_type,setup_failure_layer,true_clean_candidate
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,1,2025.02.04 08:05:00,2025.02.04 09:37:57,EURJPY,SHORT,server_08_15,2025-02,FX,-50.05,-1.01,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,16,7,0.685,0.97,0.393,0.564,0.436,0.368,0,0,,0.399,1.068,0,0,0,0,0,<0.5R,,,,90.0,0,0,1.83,1.5-2.0,0.1781,0.10-0.20,63.27,no_follow_through,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,2,2025.02.04 19:35:00,2025.02.04 23:02:30,EURUSD,SHORT,server_16_23,2025-02,FX,-49.3,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,58-62_deep_zone,double_top,14,3,1.137,0.089,0.024,0.038,0.962,0.165,1,1,3,0.112,0.9,0,0,0,0,0,<0.5R,,,,,0,0,1.37,1.0-1.5,0.1447,0.10-0.20,74.1,false_breakout,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,3,2025.02.06 22:35:00,2025.02.07 03:40:03,XAUUSD,LONG,server_16_23,2025-02,XAUUSD,85.05000000000001,2.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,8,4,1.332,0.508,0.139,0.459,0.541,0.527,0,0,,2.503,0.216,1,1,1,1,0,2R+,165.0,220.0,305.0,,0,0,1.91,1.5-2.0,0.0737,<0.10,67.87,,clean_break_and_go,n/a_win,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,4,2025.02.11 18:05:00,2025.02.12 02:52:31,XAUUSD,LONG,server_16_23,2025-02,XAUUSD,-45.07,-1.002,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,39,4,1.938,0.04,0.037,0.133,0.867,0.369,1,1,7,0.28,1.094,0,0,0,0,0,<0.5R,,,,525.0,0,0,2.03,2.0+,0.0258,<0.10,108.8,false_breakout,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,5,2025.02.13 20:20:00,2025.02.13 20:40:58,GBPJPY,LONG,server_16_23,2025-02,FX,-50.82,-1.035,clean_nested_nwave_entry,clean_nested_nwave_entry,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,21,7,0.89,0.263,0.467,0.529,0.471,0.324,1,1,0,0.581,2.934,1,0,0,0,0,0.5-1R,5.0,,,20.0,0,0,0.78,<1.0,0.1492,0.10-0.20,121.99,false_breakout,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,6,2025.02.14 11:50:00,2025.02.14 18:20:48,GBPJPY,LONG,server_08_15,2025-02,FX,-49.37,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,41,8,1.346,0.401,0.18,0.696,0.304,0.107,1,1,1,1.024,1.053,1,1,0,0,0,1-1.5R,190.0,205.0,,390.0,1,0,1.92,1.5-2.0,0.1748,0.10-0.20,63.35,false_breakout,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,7,2025.02.21 06:05:00,2025.02.21 09:31:12,EURJPY,SHORT,server_00_07,2025-02,FX,-47.47,-1.004,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,9,3,0.958,0.228,0.181,0.574,0.426,0.735,0,0,,0.498,0.909,0,0,0,0,0,<0.5R,,,,,0,0,1.33,1.0-1.5,0.1397,0.10-0.20,76.11,no_follow_through,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,8,2025.02.21 10:35:00,2025.02.21 16:47:32,EURJPY,SHORT,server_08_15,2025-02,FX,97.32,2.003,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,23,3,2.361,0.349,1.536,0.951,0.049,0.049,1,0,,2.308,0.055,1,1,1,1,0,2R+,10.0,55.0,370.0,,0,0,2.2,2.0+,0.1811,0.10-0.20,104.58,,retest_then_go,n/a_win,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,9,2025.02.24 01:05:00,2025.02.24 02:53:53,XAUUSD,SHORT,server_00_07,2025-02,XAUUSD,97.58,2.009,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,58-62_deep_zone,double_top,1,13,1.701,0.597,1.446,0.671,0.329,0.146,0,1,0,2.833,0.28,1,1,1,1,0,2R+,25.0,70.0,105.0,,0,0,1.16,1.0-1.5,0.0604,<0.10,51.88,,fast_follow_through,n/a_win,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,10,2025.02.24 18:20:00,2025.02.25 01:10:06,USDJPY,SHORT,server_16_23,2025-02,FX,-51.379999999999995,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,25,10,1.612,0.406,0.412,0.66,0.34,0.068,1,1,1,0.444,1.066,0,0,0,0,0,<0.5R,,,,410.0,0,0,2.11,2.0+,0.0969,<0.10,64.42,false_breakout,,M15_neckline_quality_problem,0
