wave_audit_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
chasing_entry,100,48,52,48.0,1107.37,1.456,11.07,0.207,277.88,2.53
late_entry,2,2,0,100.0,156.84,,78.42,1.57,0.0,0.0
third_wave_initial,1,0,1,0.0,-46.62,0.0,-46.62,-1.001,46.62,0.47
third_wave_middle,5,3,2,60.0,120.98,2.204,24.2,0.514,100.51,0.99
unclear,1,0,1,0.0,-49.61,0.0,-49.61,-1.007,49.61,0.5
