period,run,scenario,selection_mode,scan_minutes,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,max_balance_dd,max_balance_dd_pct,max_consecutive_losses,long_trades,long_net_profit,short_trades,short_net_profit,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,fx_trades,fx_net_profit,scan_rows,scan_executed_rows,scan_skipped_rows,avg_scan_elapsed_ms,max_scan_elapsed_ms,artifact_files,artifact_bytes,csv_bytes,diagnostic_csv_bytes,scan_csv_bytes,signal_csv_bytes,trade_diag_csv_bytes,summary_csv_bytes,scan_csv_rows,signal_csv_rows,trade_diag_csv_rows,summary_csv_rows,diagnostic_csv_kb
2025,A,ThirdWave_regime_BOTH_best_5m,best,5,639.7,247,95,152,38.46,-567.02,0.92,-2.3,1248.88,11.74,14,151,-776.56,96,209.54,192,77.73,-85.02,55,-482.0,74182,73648,534,0.3,7219,11,6857494,6228013,6186041,5638724,267269,278039,2009,74183,664,911,2,6041.06
2025,B,ThirdWave_regime_BOTH_best_10m,best,10,339.0,193,71,122,36.79,-708.42,0.874,-3.67,1245.16,11.82,8,112,-961.65,81,253.23,159,82.38,101.45,34,-809.87,37133,37064,69,0.43,7391,11,3683641,3167555,3134678,2822640,143833,166208,1997,37134,361,554,2,3061.21
2025,C,ThirdWave_regime_BOTH_best_15m,best,15,238.4,142,57,85,40.14,-220.24,0.946,-1.55,649.48,6.27,12,83,-64.06,59,-156.18,110,77.46,136.3,32,-356.54,24782,24713,69,0.54,7422,11,2518054,2098153,2073919,1883800,82606,105524,1989,24783,209,356,2,2025.31
2025,D,ThirdWave_regime_BOTH_all_5m,all,5,639.6,269,106,163,39.41,-431.98,0.944,-1.61,1178.66,11.11,9,160,-550.52,109,118.54,204,75.84,-21.16,65,-410.82,74182,73648,534,0.3,7157,11,6947313,6270426,6224662,5638786,279212,304653,2011,74183,669,938,2,6078.77
2025,E,ThirdWave_regime_BOTH_all_10m,all,10,339.0,202,74,128,36.63,-762.63,0.87,-3.78,1299.37,12.33,8,116,-903.59,86,140.96,162,80.2,103.09,40,-865.72,37133,37064,69,0.42,7297,11,3729668,3193725,3159299,2822627,151992,182681,1999,37134,365,567,2,3085.25
2025,F,ThirdWave_regime_BOTH_all_15m,all,15,238.2,147,60,87,40.82,-118.91,0.972,-0.81,616.8,5.95,12,87,73.81,60,-192.72,113,76.87,215.53,34,-334.44,24782,24713,69,0.52,7171,11,2542988,2113319,2088231,1883791,86893,115557,1990,24783,209,361,2,2039.29
2024,A,ThirdWave_regime_BOTH_best_5m,best,5,689.2,159,71,88,44.65,832.41,1.183,5.24,493.75,4.53,8,99,670.03,60,162.38,119,74.84,603.25,40,229.16,74632,74279,353,0.27,7125,11,6484185,6041021,6013866,5672857,165431,173569,2009,74633,412,571,2,5872.92
2024,B,ThirdWave_regime_BOTH_best_10m,best,10,358.3,122,55,67,45.08,584.68,1.17,4.79,469.73,4.37,6,73,371.27,49,213.41,91,74.59,382.77,31,201.91,37345,37291,54,0.4,7109,11,3415904,3044630,3023761,2838707,83759,99301,1994,37346,211,333,2,2952.89
2024,C,ThirdWave_regime_BOTH_best_15m,best,15,247.8,92,37,55,40.22,-265.04,0.903,-2.88,671.01,6.59,9,58,165.68,34,-430.72,64,69.57,151.5,28,-416.54,24915,24861,54,0.5,7094,11,2342336,2033685,2017872,1893862,54173,67851,1986,24916,137,229,2,1970.58
2024,D,ThirdWave_regime_BOTH_all_5m,all,5,689.2,178,78,100,43.82,714.25,1.139,4.01,676.39,6.23,9,106,542.88,72,171.37,122,68.54,557.61,56,156.64,74632,74279,353,0.28,7109,11,6560376,6076107,6045693,5672884,176225,194573,2011,74633,423,601,2,5904.0
2024,E,ThirdWave_regime_BOTH_all_10m,all,10,358.4,132,59,73,44.7,565.82,1.151,4.29,631.71,5.84,6,78,227.35,54,338.47,93,70.45,395.59,39,170.23,37345,37291,54,0.4,7062,11,3457687,3066950,3044362,2838710,91044,112613,1995,37346,219,351,2,2973.01
2024,F,ThirdWave_regime_BOTH_all_15m,all,15,247.8,99,40,59,40.4,-243.35,0.917,-2.46,570.96,5.64,10,59,101.07,40,-344.42,65,65.66,100.67,34,-344.02,24915,24861,54,0.51,7110,11,2370324,2047547,2030558,1893889,58221,76461,1987,24916,140,239,2,1982.97
2026YTD,A,ThirdWave_regime_BOTH_best_5m,best,5,285.4,88,41,47,46.59,809.15,1.354,9.19,228.29,2.19,5,37,104.0,51,705.15,80,90.91,830.42,8,-21.27,31127,30984,143,0.41,7219,11,2872086,2576726,2561675,2366061,94796,98826,1992,31128,235,323,2,2501.64
