period,variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2025,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,14,4,10,28.57,-260.59,0.478,-18.61,-0.373,260.59,2.61,3,-147.56,-260.59,0,-162.5,-98.09,0.0,85.71,2.312,2.775,0.1676,0.4053,56.34,2.196,0.209,0.33
2025,v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,4,1,3,25.0,-39.57,0.737,-9.89,-0.172,97.47,0.97,2,-97.47,-39.57,0,-50.92,11.35,0.0,25.0,1.968,2.361,0.1511,0.4222,61.64,1.895,0.205,0.47
2025,v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,7,3,4,42.86,-26.67,0.868,-3.81,-0.072,153.98,1.53,3,-153.98,-26.67,0,72.06,-98.73,0.0,71.43,2.69,3.228,0.17,0.5128,55.1,2.689,0.17,0.26
2025,v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,63,31,32,49.21,235.72,1.145,3.74,0.082,259.41,2.57,4,-205.04,235.72,0,456.31,-220.59,0.0,20.63,2.186,2.623,0.1608,0.4324,56.9,2.178,0.385,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,247,123,124,49.8,926.77,1.153,3.75,0.101,411.64,3.91,5,-259.22,0,926.77,1124.41,-197.64,100.0,63.16,2.421,2.905,0.0762,0.4836,54.93,2.4,0.089,0.38
2025,v4_micro_or_candle_lower_tf_sl_1_3R,AUDJPY,1,1,0,100.0,63.06,,63.06,1.303,0.0,0.0,0,0.0,63.06,0,0,63.06,0.0,0.0,3.64,4.732,0.0998,0.7327,50.32,3.54,0.07,0.07
2025,v4_micro_or_candle_lower_tf_sl_1_3R,EURJPY,1,0,1,0.0,-50.15,0.0,-50.15,-1.004,50.15,0.5,1,-50.15,-50.15,0,-50.15,0,0.0,100.0,1.42,1.846,0.1718,0.3365,65.68,1.25,0.29,0.29
2025,v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,14,4,10,28.57,-235.84,0.52,-16.85,-0.336,235.84,2.36,3,-145.99,-235.84,0,-137.75,-98.09,0.0,85.71,2.312,3.006,0.1676,0.4053,56.34,2.196,0.206,0.33
2025,v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,4,1,3,25.0,-35.44,0.758,-8.86,-0.172,94.48,0.94,2,-94.48,-35.44,0,-47.93,12.49,0.0,25.0,1.968,2.558,0.1511,0.4222,61.64,1.895,0.2,0.46
2025,v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,7,3,4,42.86,-14.37,0.928,-2.05,-0.03,151.77,1.51,3,-151.77,-14.37,0,84.36,-98.73,0.0,71.43,2.69,3.497,0.17,0.5128,55.1,2.689,0.167,0.26
2025,v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,62,27,35,43.55,-11.92,0.993,-0.19,0.002,402.97,4.03,4,-203.72,-11.92,0,323.59,-335.51,0.0,19.35,2.154,2.8,0.1604,0.43,57.37,2.149,0.381,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,246,118,128,47.97,1009.51,1.164,4.1,0.109,500.11,4.48,5,-259.22,0,1009.51,1103.14,-93.63,100.0,63.01,2.423,3.15,0.076,0.4851,54.94,2.403,0.087,0.38
2025,v4_without_weak_lower_tf_sl_1_3R,AUDJPY,2,1,1,50.0,15.3,1.32,7.65,0.149,47.76,0.47,1,-47.76,15.3,0,0,15.3,0.0,0.0,2.67,3.471,0.1381,0.4264,51.52,2.53,0.165,0.26
2025,v4_without_weak_lower_tf_sl_1_3R,EURJPY,3,1,2,33.33,-32.45,0.658,-10.82,-0.232,94.9,0.94,2,-94.9,-32.45,0,-48.53,16.08,0.0,33.33,2.343,3.046,0.1785,0.363,44.54,2.167,0.197,0.28
2025,v4_without_weak_lower_tf_sl_1_3R,EURUSD,15,4,11,26.67,-285.06,0.469,-19.0,-0.382,285.06,2.85,4,-191.18,-285.06,0,-137.21,-147.85,0.0,80.0,2.327,3.025,0.1693,0.4026,56.39,2.235,0.204,0.32
2025,v4_without_weak_lower_tf_sl_1_3R,GBPJPY,6,2,4,33.33,11.24,1.058,1.87,0.095,100.75,1.0,2,-100.75,11.24,0,-47.93,59.17,0.0,16.67,1.935,2.515,0.1399,0.4539,63.64,1.862,0.173,0.47
2025,v4_without_weak_lower_tf_sl_1_3R,GBPUSD,9,3,6,33.33,-110.53,0.627,-12.28,-0.247,197.53,1.97,4,-197.53,-110.53,0,84.36,-194.89,0.0,55.56,2.709,3.522,0.1726,0.554,57.16,2.657,0.164,0.28
2025,v4_without_weak_lower_tf_sl_1_3R,USDJPY,85,36,49,42.35,-119.13,0.951,-1.4,-0.025,542.54,5.42,5,-250.75,-119.13,0,324.63,-443.76,0.0,14.12,2.159,2.807,0.1576,0.4229,56.57,2.068,0.362,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,268,132,136,49.25,1638.98,1.248,6.12,0.15,504.13,4.26,6,-291.55,0,1638.98,1091.96,547.02,100.0,57.84,2.411,3.134,0.0769,0.462,55.03,2.344,0.091,0.37
2026YTD,current_thirdwave_current_sl_1_5R,EURUSD,3,2,1,66.67,110.22,3.135,36.74,0.712,51.62,0.51,1,-51.62,110.22,0,0,110.22,0.0,0.0,2.207,3.31,0.1811,0.4158,70.14,2.023,0.33,0.44
2026YTD,current_thirdwave_current_sl_1_5R,GBPUSD,3,1,2,33.33,-21.29,0.783,-7.1,-0.168,98.09,0.97,2,-98.09,-21.29,0,0,-21.29,0.0,0.0,2.89,4.335,0.1656,0.2255,64.84,2.723,0.18,0.3
2026YTD,current_thirdwave_current_sl_1_5R,USDJPY,4,1,3,25.0,-79.29,0.475,-19.82,-0.381,101.21,1.01,2,-101.21,-79.29,0,-49.77,-29.52,0.0,25.0,2.822,4.234,0.1462,0.6696,66.17,2.675,0.21,0.31
2026YTD,current_thirdwave_current_sl_1_5R,XAUUSD,85,40,45,47.06,856.11,1.398,10.07,0.179,250.43,2.38,4,-176.67,0,856.11,153.77,702.34,100.0,42.35,2.962,4.443,0.0443,0.4293,56.85,2.86,0.033,0.11
