condition,ON trades,OFF trades,ON win_rate,OFF win_rate,ON PF,OFF PF,ON avg_R,OFF avg_R,ON net,OFF net,trade_reduction_pct_when_ON,avg_R_improvement_when_ON,PF_improvement_when_ON,LONG_net_change_when_ON,SHORT_net_change_when_ON,ON_LONG_net,ON_SHORT_net,OFF_LONG_net,OFF_SHORT_net
cond_room_to_2r,28,35,35.71,20.0,1.121,0.488,0.079,-0.404,109.03,-712.7,55.56,0.483,0.633,313.78,507.95,60.79,48.24,-252.99,-459.71
cond_room_to_1r,46,17,30.43,17.65,0.862,0.44,-0.085,-0.474,-222.4,-381.27,26.98,0.389,0.422,184.32,-25.45,-3.94,-218.46,-188.26,-193.01
cond_h4_bias_ma,43,20,27.91,25.0,0.77,0.668,-0.165,-0.244,-352.0,-251.67,31.75,0.079,0.102,90.92,-191.25,-50.64,-301.36,-141.56,-110.11
cond_h1_counter_wave_atr,59,4,27.12,25.0,0.741,0.666,-0.186,-0.246,-553.69,-49.98,6.35,0.06,0.075,-92.24,-411.47,-142.22,-411.47,-49.98,0
cond_m15_prev_extreme_bos,48,15,27.08,26.67,0.736,0.738,-0.186,-0.2,-464.87,-138.8,23.81,0.014,-0.002,-207.56,-118.51,-199.88,-264.99,7.68,-146.48
cond_m15_close_bos,16,47,25.0,27.66,0.673,0.758,-0.251,-0.169,-189.84,-413.83,74.6,-0.082,-0.085,105.48,118.51,-43.36,-146.48,-148.84,-264.99
cond_h4_fib_382_618,16,47,25.0,27.66,0.658,0.764,-0.254,-0.168,-203.38,-400.29,74.6,-0.086,-0.106,385.48,-188.57,96.64,-300.02,-288.84,-111.45
cond_h1_prev_extreme_break,63,0,26.98,0.0,0.737,,-0.19,0.0,-603.67,0,0.0,-0.19,0.737,-192.2,-411.47,-192.2,-411.47,0,0
cond_true_bos_level,63,0,26.98,0.0,0.737,,-0.19,0.0,-603.67,0,0.0,-0.19,0.737,-192.2,-411.47,-192.2,-411.47,0,0
cond_sl_atr_ok,63,0,26.98,0.0,0.737,,-0.19,0.0,-603.67,0,0.0,-0.19,0.737,-192.2,-411.47,-192.2,-411.47,0,0
cond_h4_dow_bias,44,19,25.0,31.58,0.67,0.903,-0.248,-0.055,-540.6,-63.07,30.16,-0.193,-0.233,-478.22,0.69,-335.21,-205.39,143.01,-206.08
cond_h1_counter_nwave,42,21,21.43,38.1,0.553,1.198,-0.356,0.142,-733.02,129.35,33.33,-0.498,-0.645,21.48,-883.85,-85.36,-647.66,-106.84,236.19
