run,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
stop_on,01,6,2,4,33.33,-42.87,155.3,-198.17,0.784,-7.15,77.65,-49.54
stop_on,02,6,0,6,0.0,-306.0,0.0,-306.0,0.0,-51.0,0.0,-51.0
stop_on,03,25,12,13,48.0,260.25,924.52,-664.27,1.392,10.41,77.04,-51.1
stop_on,04,16,3,13,18.75,-440.46,223.77,-664.23,0.337,-27.53,74.59,-51.09
stop_on,05,3,2,1,66.67,93.95,144.5,-50.55,2.859,31.32,72.25,-50.55
stop_on,06,3,2,1,66.67,103.42,151.3,-47.88,3.16,34.47,75.65,-47.88
stop_on,07,3,0,3,0.0,-146.91,0.0,-146.91,0.0,-48.97,0.0,-48.97
stop_on,08,6,2,4,33.33,-45.69,160.74,-206.43,0.779,-7.61,80.37,-51.61
stop_on,09,10,2,8,20.0,-254.92,154.01,-408.93,0.377,-25.49,77.0,-51.12
stop_on,10,14,8,6,57.14,306.53,599.48,-292.95,2.046,21.89,74.94,-48.83
stop_on,11,16,5,11,31.25,-177.59,376.44,-554.03,0.679,-11.1,75.29,-50.37
stop_on,12,7,2,5,28.57,-100.47,150.94,-251.41,0.6,-14.35,75.47,-50.28
stop_on,13,7,4,3,57.14,150.27,301.14,-150.87,1.996,21.47,75.28,-50.29
stop_on,14,8,4,4,50.0,98.47,298.23,-199.76,1.493,12.31,74.56,-49.94
stop_on,15,29,10,19,34.48,-326.6,758.77,-1085.37,0.699,-11.26,75.88,-57.12
stop_on,16,23,12,11,52.17,373.84,928.18,-554.34,1.674,16.25,77.35,-50.39
stop_on,17,20,6,14,30.0,-295.57,428.76,-724.33,0.592,-14.78,71.46,-51.74
stop_on,18,11,6,5,54.55,158.47,413.08,-254.61,1.622,14.41,68.85,-50.92
stop_on,19,3,1,2,33.33,-21.28,74.89,-96.17,0.779,-7.09,74.89,-48.08
stop_on,20,4,3,1,75.0,155.73,204.61,-48.88,4.186,38.93,68.2,-48.88
stop_on,21,4,2,2,50.0,21.03,121.32,-100.29,1.21,5.26,60.66,-50.14
stop_on,22,1,0,1,0.0,-63.81,0.0,-63.81,0.0,-63.81,0.0,-63.81
stop_off,01,61,24,37,39.34,-30.62,1477.04,-1507.66,0.98,-0.5,61.54,-40.75
stop_off,02,51,14,37,27.45,-682.91,844.32,-1527.23,0.553,-13.39,60.31,-41.28
stop_off,03,121,47,74,38.84,-115.69,2980.81,-3096.5,0.963,-0.96,63.42,-41.84
stop_off,04,120,47,73,39.17,-213.15,2839.57,-3052.72,0.93,-1.78,60.42,-41.82
stop_off,05,66,30,36,45.45,345.66,1727.3,-1381.64,1.25,5.24,57.58,-38.38
stop_off,06,49,26,23,53.06,531.98,1475.95,-943.97,1.564,10.86,56.77,-41.04
stop_off,07,36,10,26,27.78,-436.53,593.16,-1029.69,0.576,-12.13,59.32,-39.6
stop_off,08,57,29,28,50.88,609.24,1741.34,-1132.1,1.538,10.69,60.05,-40.43
stop_off,09,85,30,55,35.29,-434.85,1815.75,-2250.6,0.807,-5.12,60.52,-40.92
stop_off,10,119,43,76,36.13,-432.52,2675.99,-3108.51,0.861,-3.63,62.23,-40.9
stop_off,11,97,41,56,42.27,156.59,2479.25,-2322.66,1.067,1.61,60.47,-41.48
stop_off,12,49,15,34,30.61,-456.7,908.15,-1364.85,0.665,-9.32,60.54,-40.14
stop_off,13,51,28,23,54.9,754.86,1701.45,-946.59,1.797,14.8,60.77,-41.16
stop_off,14,66,23,43,34.85,-243.02,1468.72,-1711.74,0.858,-3.68,63.86,-39.81
stop_off,15,138,55,83,39.86,-202.02,3477.33,-3679.35,0.945,-1.46,63.22,-44.33
stop_off,16,153,60,93,39.22,-141.85,3710.99,-3852.84,0.963,-0.93,61.85,-41.43
stop_off,17,136,52,84,38.24,-49.71,3469.43,-3519.14,0.986,-0.37,66.72,-41.89
stop_off,18,84,40,44,47.62,485.77,2265.49,-1779.72,1.273,5.78,56.64,-40.45
stop_off,19,36,14,22,38.89,-79.61,810.06,-889.67,0.911,-2.21,57.86,-40.44
stop_off,20,33,18,15,54.55,457.66,1032.25,-574.59,1.796,13.87,57.35,-38.31
stop_off,21,29,11,18,37.93,-82.7,637.73,-720.43,0.885,-2.85,57.98,-40.02
stop_off,22,32,14,18,43.75,-38.55,747.56,-786.11,0.951,-1.2,53.4,-43.67
stop_off,23,23,6,17,26.09,-374.24,285.83,-660.07,0.433,-16.27,47.64,-38.83
