period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,AUDJPY,3,0,3,0.0,-135.58,0.0,-135.58,0.0,-45.19,0.0,-45.19
2024,ThirdWave_original_BOTH,EURJPY,11,2,9,18.18,-282.47,143.2,-425.67,0.336,-25.68,71.6,-47.3
2024,ThirdWave_original_BOTH,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,ThirdWave_original_BOTH,GBPJPY,32,17,15,53.12,500.64,1236.69,-736.05,1.68,15.64,72.75,-49.07
2024,ThirdWave_original_BOTH,GBPUSD,6,0,6,0.0,-301.61,0.0,-301.61,0.0,-50.27,0.0,-50.27
2024,ThirdWave_original_BOTH,USDJPY,37,18,19,48.65,355.73,1246.6,-890.87,1.399,9.61,69.26,-46.89
2024,ThirdWave_original_BOTH,XAUUSD,265,99,166,37.36,-1000.83,6724.5,-7725.33,0.87,-3.78,67.92,-46.54
2024,ThirdWave_regime_BOTH,AUDJPY,1,0,1,0.0,-52.2,0.0,-52.2,0.0,-52.2,0.0,-52.2
2024,ThirdWave_regime_BOTH,EURJPY,7,0,7,0.0,-351.77,0.0,-351.77,0.0,-50.25,0.0,-50.25
2024,ThirdWave_regime_BOTH,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,ThirdWave_regime_BOTH,GBPJPY,13,8,5,61.54,345.3,594.72,-249.42,2.384,26.56,74.34,-49.88
2024,ThirdWave_regime_BOTH,GBPUSD,3,0,3,0.0,-160.37,0.0,-160.37,0.0,-53.46,0.0,-53.46
2024,ThirdWave_regime_BOTH,USDJPY,15,10,5,66.67,498.12,767.51,-269.39,2.849,33.21,76.75,-53.88
2024,ThirdWave_regime_BOTH,XAUUSD,119,53,66,44.54,603.25,4009.87,-3406.62,1.177,5.07,75.66,-51.62
2024,ThirdWave_regime_LONG_ONLY,EURJPY,4,0,4,0.0,-194.18,0.0,-194.18,0.0,-48.54,0.0,-48.54
2024,ThirdWave_regime_LONG_ONLY,GBPJPY,9,5,4,55.56,172.09,373.63,-201.54,1.854,19.12,74.73,-50.38
2024,ThirdWave_regime_LONG_ONLY,GBPUSD,2,0,2,0.0,-111.05,0.0,-111.05,0.0,-55.53,0.0,-55.53
2024,ThirdWave_regime_LONG_ONLY,USDJPY,6,4,2,66.67,195.89,299.74,-103.85,2.886,32.65,74.94,-51.92
2024,ThirdWave_regime_LONG_ONLY,XAUUSD,79,37,42,46.84,533.08,2714.45,-2181.37,1.244,6.75,73.36,-51.94
2024,ThirdWave_regime_SHORT_ONLY,AUDJPY,1,0,1,0.0,-52.2,0.0,-52.2,0.0,-52.2,0.0,-52.2
2024,ThirdWave_regime_SHORT_ONLY,EURJPY,4,1,3,25.0,-75.36,74.97,-150.33,0.499,-18.84,74.97,-50.11
