run,year,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,AUDJPY:LONG,3,1,2,33.33,-25.47,64.89,-90.36,0.718,-8.49,64.89,-45.18
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,EURJPY:LONG,24,13,11,54.17,310.35,921.39,-611.04,1.508,12.93,70.88,-55.55
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,EURUSD:LONG,10,2,8,20.0,-226.52,131.67,-358.19,0.368,-22.65,65.84,-44.77
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,GBPJPY:LONG,41,19,22,46.34,296.6,1354.49,-1057.89,1.28,7.23,71.29,-48.09
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,GBPUSD:LONG,17,4,13,23.53,-339.37,262.16,-601.53,0.436,-19.96,65.54,-46.27
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,USDJPY:LONG,65,20,45,30.77,-735.63,1371.01,-2106.64,0.651,-11.32,68.55,-46.81
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,350,137,213,39.14,-585.39,8833.65,-9419.04,0.938,-1.67,64.48,-44.22
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,357,142,215,39.78,-401.11,9785.14,-10186.25,0.961,-1.12,68.91,-47.38
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,AUDJPY:LONG,1,0,1,0.0,-59.48,0.0,-59.48,0.0,-59.48,0.0,-59.48
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,EURUSD:LONG,6,1,5,16.67,-177.83,79.43,-257.26,0.309,-29.64,79.43,-51.45
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,GBPUSD:LONG,3,1,2,33.33,-27.42,77.49,-104.91,0.739,-9.14,77.49,-52.45
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,USDJPY:LONG,11,3,8,27.27,-193.77,233.16,-426.93,0.546,-17.62,77.72,-53.37
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,160,68,92,42.5,495.2,4744.63,-4249.43,1.117,3.1,69.77,-46.19
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,162,68,94,41.98,381.21,4813.1,-4431.89,1.086,2.35,70.78,-47.15
