time,symbol,direction,event,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2024.01.08 10:15:00,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.233 range_atr=9.30 vol=normal,LL_LH,-0.99,0.2330,normal,true,,100.00,2.43,2.70,0,,2029.06,2033.48,2022.43,0.11,4.42,1.50,,,,0.1099,0.2000,true,false,18.0,1.64,DowFractal_ThirdWave_Regime
2024.01.08 10:15:00,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.233 range_atr=9.30 vol=normal,LL_LH,-0.99,0.2330,normal,true,,100.00,2.43,2.70,10009,order_sent,2029.06,2033.48,2022.43,0.11,4.42,1.50,,,,0.1099,0.2000,true,false,18.0,1.64,DowFractal_ThirdWave_Regime
2024.01.08 10:45:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.233 range_atr=9.30 vol=normal,LL_LH,-0.99,0.2330,normal,true,,100.00,2.29,3.46,0,max_positions,2028.37,2033.48,2020.71,0.09,5.11,1.50,max_positions,,max_positions,0.1220,0.2000,true,false,18.0,1.48,DowFractal_ThirdWave_Regime
2024.01.08 11:05:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.273 range_atr=9.39 vol=normal,LL_LH,-1.15,0.2728,normal,true,,100.00,2.26,3.98,0,max_positions,2027.95,2033.48,2019.66,0.09,5.53,1.50,max_positions,,max_positions,0.1296,0.2000,true,false,18.0,1.39,DowFractal_ThirdWave_Regime
2024.01.08 12:40:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.328 range_atr=9.86 vol=normal,LL_LH,-1.31,0.3285,normal,true,,75.00,1.90,3.19,0,max_positions,2028.10,2031.89,2022.42,0.13,3.79,1.50,max_positions,,max_positions,0.1514,0.2000,true,false,18.0,1.19,DowFractal_ThirdWave_Regime
2024.01.08 12:45:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.328 range_atr=9.86 vol=normal,LL_LH,-1.31,0.3285,normal,true,,100.00,1.92,3.76,0,max_positions,2027.39,2031.88,2020.66,0.11,4.49,1.50,max_positions,,max_positions,0.1425,0.2000,true,false,17.0,1.19,DowFractal_ThirdWave_Regime
2024.01.08 19:10:00,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.330 range_atr=7.75 vol=normal,LL_LH,-1.95,0.3302,normal,true,,100.00,5.46,3.65,0,,2030.52,2037.03,2020.76,0.07,6.51,1.50,,,,0.1008,0.2000,true,false,18.0,1.79,DowFractal_ThirdWave_Regime
2024.01.08 19:10:00,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.330 range_atr=7.75 vol=normal,LL_LH,-1.95,0.3302,normal,true,,100.00,5.46,3.65,10009,order_sent,2030.52,2037.03,2020.76,0.07,6.51,1.50,,,,0.1008,0.2000,true,false,18.0,1.79,DowFractal_ThirdWave_Regime
2024.01.09 06:25:00,GBPJPY,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.072 range_atr=4.91 vol=normal,LL_LH,-0.019,0.0721,normal,true,,100.00,1.81,4.11,0,max_positions,183.058,183.332,182.647,0.26,0.274,1.50,max_positions,,max_positions,0.1501,0.2000,true,false,10.0,0.067,DowFractal_ThirdWave_Regime
2024.01.17 14:00:00,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.692 range_atr=9.25 vol=normal,LL_LH,-3.06,0.6920,normal,true,,100.00,4.82,3.95,0,,2023.84,2028.48,2016.88,0.10,4.64,1.50,,,,0.1531,0.2000,true,false,18.0,1.18,DowFractal_ThirdWave_Regime
2024.01.17 14:00:00,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.692 range_atr=9.25 vol=normal,LL_LH,-3.06,0.6920,normal,true,,100.00,4.82,3.95,10009,order_sent,2023.84,2028.48,2016.88,0.10,4.64,1.50,,,,0.1531,0.2000,true,false,18.0,1.18,DowFractal_ThirdWave_Regime
2024.01.17 15:20:00,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.658 range_atr=8.35 vol=normal,LL_LH,-3.10,0.6580,normal,true,,100.00,4.48,1.94,0,,2025.74,2028.48,2021.63,0.18,2.74,1.50,,,,0.1272,0.2000,true,false,18.0,1.41,DowFractal_ThirdWave_Regime
2024.01.17 15:20:00,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.658 range_atr=8.35 vol=normal,LL_LH,-3.10,0.6580,normal,true,,100.00,4.48,1.94,10009,order_sent,2025.74,2028.48,2021.63,0.18,2.74,1.50,,,,0.1272,0.2000,true,false,18.0,1.41,DowFractal_ThirdWave_Regime
2024.01.17 15:25:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.658 range_atr=8.35 vol=normal,LL_LH,-3.10,0.6580,normal,true,,100.00,4.48,2.68,0,max_positions,2024.44,2028.48,2018.38,0.12,4.04,1.50,max_positions,,max_positions,0.1194,0.2000,true,false,18.0,1.51,DowFractal_ThirdWave_Regime
2024.01.17 17:50:00,EURUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.579 range_atr=7.53 vol=normal,LL_LH,-0.00081,0.5787,normal,true,,100.00,1.41,2.72,0,,1.08522,1.08714,1.08234,0.26,0.00192,1.50,,,,0.1556,0.2000,true,false,11.0,0.00071,DowFractal_ThirdWave_Regime
2024.01.17 17:50:00,EURUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.579 range_atr=7.53 vol=normal,LL_LH,-0.00081,0.5787,normal,true,,100.00,1.41,2.72,10009,order_sent,1.08522,1.08714,1.08234,0.26,0.00192,1.50,,,,0.1556,0.2000,true,false,11.0,0.00071,DowFractal_ThirdWave_Regime
