min_trades,rank,enabled_conditions,condition_count,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
20,1,cond_room_to_2r,1,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
20,2,cond_h1_prev_extreme_break+cond_room_to_2r,2,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
20,3,cond_true_bos_level+cond_room_to_2r,2,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
20,4,cond_h1_prev_extreme_break+cond_true_bos_level+cond_room_to_2r,3,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
20,5,cond_h1_counter_wave_atr+cond_room_to_2r,2,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,6,cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,7,cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,8,cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,9,cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,10,cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,11,cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,12,cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
20,13,cond_m15_prev_extreme_bos+cond_room_to_2r,2,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
20,14,cond_h1_prev_extreme_break+cond_m15_prev_extreme_bos+cond_room_to_2r,3,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
20,15,cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,3,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
20,16,cond_h1_prev_extreme_break+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,4,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
20,17,cond_h1_counter_nwave+cond_room_to_2r,2,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,18,cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,19,cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,20,cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,21,cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,22,cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,4,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,23,cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,4,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,24,cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,4,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
20,25,cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,4,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
40,1,cond_h4_bias_ma,1,43,27.91,0.77,-0.165,-352.0,892.44,8.47,1.223,1.078,67.44,55.81,27.91,22,21,-50.64,-301.36,-0.047,-0.288,6,11,AUDJPY:2;EURJPY:5;EURUSD:7;GBPJPY:4;GBPUSD:6;USDJPY:19,2025-01:5;2025-02:3;2025-03:5;2025-04:4;2025-06:3;2025-07:4;2025-08:6;2025-09:3;2025-10:2;2025-11:6;2025-12:2,LONG:22;SHORT:21
