time,event,last_scan_bar_time,scan_elapsed_ms,reason
2025.08.01 07:54:59,scan_skipped_same_execution_bar,2025.08.01 07:30:00,0,
2025.08.01 08:04:59,scan_executed_new_execution_bar,2025.08.01 07:45:00,0,
2025.08.01 08:09:59,scan_skipped_same_execution_bar,2025.08.01 07:45:00,0,
2025.08.01 08:19:59,scan_executed_new_execution_bar,2025.08.01 08:00:00,0,
2025.08.01 08:24:59,scan_skipped_same_execution_bar,2025.08.01 08:00:00,0,
2025.08.01 08:34:59,scan_executed_new_execution_bar,2025.08.01 08:15:00,0,
2025.08.01 08:39:59,scan_skipped_same_execution_bar,2025.08.01 08:15:00,0,
2025.08.01 08:49:59,scan_executed_new_execution_bar,2025.08.01 08:30:00,0,
2025.08.01 08:54:59,scan_skipped_same_execution_bar,2025.08.01 08:30:00,0,
2025.08.01 09:04:59,scan_executed_new_execution_bar,2025.08.01 08:45:00,0,
2025.08.01 09:09:59,scan_skipped_same_execution_bar,2025.08.01 08:45:00,0,
2025.08.01 09:19:59,scan_executed_new_execution_bar,2025.08.01 09:00:00,0,
2025.08.01 09:24:59,scan_skipped_same_execution_bar,2025.08.01 09:00:00,0,
2025.08.01 09:34:59,scan_executed_new_execution_bar,2025.08.01 09:15:00,0,
2025.08.01 09:39:58,scan_skipped_same_execution_bar,2025.08.01 09:15:00,0,
2025.08.01 09:49:59,scan_executed_new_execution_bar,2025.08.01 09:30:00,0,
2025.08.01 09:54:59,scan_skipped_same_execution_bar,2025.08.01 09:30:00,0,
2025.08.01 10:04:59,scan_executed_new_execution_bar,2025.08.01 09:45:00,0,
2025.08.01 10:09:59,scan_skipped_same_execution_bar,2025.08.01 09:45:00,0,
2025.08.01 10:19:59,scan_executed_new_execution_bar,2025.08.01 10:00:00,0,
2025.08.01 10:24:59,scan_skipped_same_execution_bar,2025.08.01 10:00:00,0,
2025.08.01 10:34:59,scan_executed_new_execution_bar,2025.08.01 10:15:00,0,
2025.08.01 10:39:59,scan_skipped_same_execution_bar,2025.08.01 10:15:00,0,
2025.08.01 10:49:59,scan_executed_new_execution_bar,2025.08.01 10:30:00,0,
2025.08.01 10:54:59,scan_skipped_same_execution_bar,2025.08.01 10:30:00,0,
2025.08.01 11:04:59,scan_executed_new_execution_bar,2025.08.01 10:45:00,0,
2025.08.01 11:09:59,scan_skipped_same_execution_bar,2025.08.01 10:45:00,0,
2025.08.01 11:19:59,scan_executed_new_execution_bar,2025.08.01 11:00:00,0,
2025.08.01 11:24:59,scan_skipped_same_execution_bar,2025.08.01 11:00:00,0,
2025.08.01 11:34:59,scan_executed_new_execution_bar,2025.08.01 11:15:00,0,
2025.08.01 11:39:59,scan_skipped_same_execution_bar,2025.08.01 11:15:00,0,
2025.08.01 11:50:00,scan_executed_new_execution_bar,2025.08.01 11:30:00,0,
2025.08.01 11:54:59,scan_skipped_same_execution_bar,2025.08.01 11:30:00,0,
2025.08.01 12:04:59,scan_executed_new_execution_bar,2025.08.01 11:45:00,0,
2025.08.01 12:09:59,scan_skipped_same_execution_bar,2025.08.01 11:45:00,0,
2025.08.01 12:19:59,scan_executed_new_execution_bar,2025.08.01 12:00:00,0,
2025.08.01 12:24:59,scan_skipped_same_execution_bar,2025.08.01 12:00:00,0,
2025.08.01 12:34:59,scan_executed_new_execution_bar,2025.08.01 12:15:00,0,
2025.08.01 12:39:59,scan_skipped_same_execution_bar,2025.08.01 12:15:00,0,
2025.08.01 12:49:59,scan_executed_new_execution_bar,2025.08.01 12:30:00,0,
2025.08.01 12:54:59,scan_skipped_same_execution_bar,2025.08.01 12:30:00,0,
2025.08.01 13:04:59,scan_executed_new_execution_bar,2025.08.01 12:45:00,0,
2025.08.01 13:09:59,scan_skipped_same_execution_bar,2025.08.01 12:45:00,0,
2025.08.01 13:19:59,scan_executed_new_execution_bar,2025.08.01 13:00:00,0,
2025.08.01 13:24:59,scan_skipped_same_execution_bar,2025.08.01 13:00:00,0,
2025.08.01 13:34:59,scan_executed_new_execution_bar,2025.08.01 13:15:00,0,
2025.08.01 13:39:59,scan_skipped_same_execution_bar,2025.08.01 13:15:00,0,
2025.08.01 13:49:59,scan_executed_new_execution_bar,2025.08.01 13:30:00,0,
2025.08.01 13:54:59,scan_skipped_same_execution_bar,2025.08.01 13:30:00,0,
2025.08.01 14:04:59,scan_executed_new_execution_bar,2025.08.01 13:45:00,0,
