combination_id,enabled_conditions,condition_count,trades,trade_band,win_rate,PF,avg_R,net,maxDD,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,LONG PF,SHORT PF,symbols_count,symbol_distribution,max_symbol_share_pct,months_count,month_distribution,max_month_share_pct,sessions_count,session_distribution,cond_h4_ma_bias,cond_h4_fib_382_618,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_close_bos,cond_room_to_2r,cond_round_or_major_obstacle_clear,LONG net_delta,LONG avg_R_delta,LONG PF_delta,SHORT net_delta
66,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_round_or_major_obstacle_clear,3,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,false,false,false,true,5768.08,0.0,0.268,3302.66
140,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_round_or_major_obstacle_clear,4,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,true,false,false,true,5768.08,0.0,0.268,3302.66
143,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_room_to_2r;cond_round_or_major_obstacle_clear,4,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,false,false,true,true,5768.08,0.0,0.268,3302.66
210,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,5,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,true,false,true,true,5768.08,0.0,0.268,3302.66
21,cond_h4_fib_382_618;cond_round_or_major_obstacle_clear,2,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,false,false,false,true,5754.18,0.003,0.257,3158.22
69,cond_h4_fib_382_618;cond_true_bos_level;cond_round_or_major_obstacle_clear,3,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,true,false,false,true,5754.18,0.003,0.257,3158.22
72,cond_h4_fib_382_618;cond_room_to_2r;cond_round_or_major_obstacle_clear,3,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,false,false,true,true,5754.18,0.003,0.257,3158.22
146,cond_h4_fib_382_618;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,4,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,true,false,true,true,5754.18,0.003,0.257,3158.22
43,cond_h4_ma_bias;cond_h1_counter_nwave;cond_h1_counter_wave_atr,3,380,300-700_main,28.16,0.796,-0.231,-1095.06,1236.18,1.239,1.313,67.89,47.63,25.26,200,180,-80.95,-1014.11,-0.264,-0.193,0.96,0.699,6,AUDJPY:26;EURJPY:48;EURUSD:76;GBPJPY:46;GBPUSD:50;USDJPY:134,35.26,12,2025-01:53;2025-02:30;2025-03:51;2025-04:55;2025-05:41;2025-06:24;2025-07:21;2025-08:18;2025-09:14;2025-10:22;2025-11:35;2025-12:16,14.47,3,server_00_07:70;server_08_15:118;server_16_23:192,true,false,true,true,false,false,false,false,5606.06,-0.201,0.17,2526.5
108,cond_h4_ma_bias;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level,4,380,300-700_main,28.16,0.796,-0.231,-1095.06,1236.18,1.239,1.313,67.89,47.63,25.26,200,180,-80.95,-1014.11,-0.264,-0.193,0.96,0.699,6,AUDJPY:26;EURJPY:48;EURUSD:76;GBPJPY:46;GBPUSD:50;USDJPY:134,35.26,12,2025-01:53;2025-02:30;2025-03:51;2025-04:55;2025-05:41;2025-06:24;2025-07:21;2025-08:18;2025-09:14;2025-10:22;2025-11:35;2025-12:16,14.47,3,server_00_07:70;server_08_15:118;server_16_23:192,true,false,true,true,true,false,false,false,5606.06,-0.201,0.17,2526.5
