period,scenario,branch,entry_selection_mode,trades,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,false_break_pct,reached_1R_pct,reached_2R_pct,fx_net,xauusd_net,long_net,short_net,elapsed_seconds
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_router,ALL_SCORE_PASSING,2,50.0,49.75,2.04,24.88,0.503,47.83,0.48,50.0,50.0,50.0,-47.83,97.58,0,49.75,52.6
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_router,BEST_ONLY,2,50.0,49.75,2.04,24.88,0.503,47.83,0.48,50.0,50.0,50.0,-47.83,97.58,0,49.75,52.8
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,13,30.77,-71.42,0.84,-5.49,-0.08,207.03,2.07,61.54,46.15,30.77,-208.98,137.56,-163.64,92.22,52.6
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,12,25.0,-166.94,0.626,-13.91,-0.254,207.03,2.07,66.67,41.67,25.0,-304.5,137.56,-163.64,-3.3,62.8
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation,ALL_SCORE_PASSING,5,20.0,-110.25,0.444,-22.05,-0.409,110.25,1.1,40.0,20.0,20.0,-198.29,88.04,37.22,-147.47,52.6
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_confirmation,BEST_ONLY,5,20.0,-110.25,0.444,-22.05,-0.409,110.25,1.1,40.0,20.0,20.0,-198.29,88.04,37.22,-147.47,52.9
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,2,50.0,27.14,1.514,13.57,0.501,52.77,0.52,100.0,50.0,50.0,-52.77,79.91,79.91,-52.77,52.5
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,2,50.0,27.14,1.514,13.57,0.501,52.77,0.52,100.0,50.0,50.0,-52.77,79.91,79.91,-52.77,52.6
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation,ALL_SCORE_PASSING,1,100.0,79.88,,79.88,2.009,0.0,0.0,100.0,100.0,100.0,0,79.88,79.88,0,52.6
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_confirmation,BEST_ONLY,1,100.0,79.88,,79.88,2.009,0.0,0.0,100.0,100.0,100.0,0,79.88,79.88,0,52.7
