period,variant,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,2024-01,30,11,19,36.67,-138.0,0.857,-4.6,-0.087,544.9,5.27,9,-457.0,-68.27,-69.73,98.58,-236.58,30.0,66.67,3.017,4.526,0.1569,0.4733,55.41,2.861,0.279,0.67
2024,current_thirdwave_current_sl_1_5R,2024-02,5,2,3,40.0,7.01,1.05,1.4,0.007,93.06,0.92,2,-93.06,50.75,-43.74,29.08,-22.07,20.0,40.0,3.006,4.509,0.1223,0.3928,56.47,2.884,0.216,0.43
2024,current_thirdwave_current_sl_1_5R,2024-03,15,9,6,60.0,327.9,1.968,21.86,0.509,132.73,1.29,2,-106.68,-31.46,359.36,409.3,-81.4,66.67,60.0,3.131,4.697,0.1413,0.7037,48.61,2.979,0.231,0.69
2024,current_thirdwave_current_sl_1_5R,2024-04,12,7,5,58.33,275.97,2.15,23.0,0.486,190.27,1.88,4,-190.27,0,275.97,116.71,159.26,100.0,83.33,3.138,4.708,0.0996,0.707,60.3,3.022,0.098,0.21
2024,current_thirdwave_current_sl_1_5R,2024-05,6,3,3,50.0,61.24,1.366,10.21,0.223,114.39,1.14,2,-114.39,72.77,-11.53,-167.19,228.43,83.33,50.0,2.783,4.175,0.1219,0.3372,68.1,2.648,0.138,0.21
2024,current_thirdwave_current_sl_1_5R,2024-06,12,4,8,33.33,-7.04,0.983,-0.59,-0.001,210.19,2.08,4,-210.19,0,-7.04,39.85,-46.89,100.0,50.0,3.244,4.866,0.1484,0.4481,58.35,3.094,0.149,0.36
2024,current_thirdwave_current_sl_1_5R,2024-07,19,10,9,52.63,301.21,1.634,15.85,0.314,167.03,1.67,3,-154.58,291.32,9.89,-42.81,344.02,63.16,42.11,3.409,5.113,0.134,0.3075,44.02,3.269,0.132,0.31
2024,current_thirdwave_current_sl_1_5R,2024-08,19,5,14,26.32,-373.16,0.483,-19.64,-0.346,402.11,4.01,6,-308.96,-153.61,-219.55,-429.19,56.03,57.89,78.95,3.812,5.717,0.131,0.3809,48.18,3.673,0.114,0.27
2024,current_thirdwave_current_sl_1_5R,2024-09,11,4,7,36.36,-84.24,0.772,-7.66,-0.105,177.88,1.78,3,-157.59,-52.55,-31.69,54.79,-139.03,90.91,54.55,2.791,4.186,0.1332,0.3894,50.49,2.653,0.15,0.31
2024,current_thirdwave_current_sl_1_5R,2024-10,19,7,12,36.84,-93.47,0.844,-4.92,-0.077,178.61,1.79,3,-160.08,0,-93.47,22.17,-115.64,100.0,73.68,3.223,4.835,0.1282,0.5047,48.08,3.091,0.111,0.19
2024,current_thirdwave_current_sl_1_5R,2024-11,21,13,8,61.9,521.73,2.316,24.84,0.556,138.87,1.37,3,-138.87,73.05,448.68,411.49,110.24,71.43,38.1,2.693,4.04,0.1282,0.5189,57.87,2.552,0.178,0.55
2024,current_thirdwave_current_sl_1_5R,2024-12,9,3,6,33.33,-84.9,0.731,-9.43,-0.166,211.22,2.11,4,-211.22,-25.36,-59.54,0.1,-85.0,66.67,55.56,2.739,4.108,0.1393,0.4048,51.26,2.599,0.164,0.41
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-01,32,14,18,43.75,-92.81,0.899,-2.9,-0.046,255.66,2.52,5,-255.66,-175.9,83.09,-71.35,-21.46,28.12,78.12,2.464,2.956,0.154,0.5526,54.61,2.589,0.338,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-02,9,6,3,66.67,211.4,2.419,23.49,0.476,98.13,0.96,2,-98.13,258.86,-47.46,127.73,83.67,11.11,44.44,2.407,2.888,0.1544,0.3135,64.91,2.354,0.293,0.41
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-03,17,6,11,35.29,-199.78,0.648,-11.75,-0.194,347.06,3.43,6,-319.26,-241.72,41.94,39.52,-239.3,58.82,58.82,2.234,2.681,0.1428,0.5034,57.45,2.348,0.263,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-04,13,6,7,46.15,7.17,1.021,0.55,0.023,234.98,2.32,5,-234.98,0,7.17,-109.12,116.29,100.0,84.62,2.525,3.03,0.0961,0.5545,59.32,2.555,0.108,0.26
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-05,13,2,11,15.38,-414.79,0.223,-31.91,-0.679,437.96,4.37,9,-437.96,23.17,-437.96,-188.42,-226.37,69.23,46.15,1.907,2.288,0.1112,0.4735,59.04,2.122,0.176,0.33
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-06,13,6,7,46.15,44.44,1.142,3.42,0.162,140.62,1.41,3,-140.62,0,44.44,49.14,-4.7,100.0,46.15,2.398,2.878,0.1446,0.3605,59.43,2.299,0.169,0.37
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-07,24,11,13,45.83,-86.27,0.875,-3.59,-0.04,254.23,2.54,4,-184.02,-7.24,-79.03,-157.86,71.59,62.5,37.5,2.347,2.816,0.1415,0.5162,49.36,2.418,0.173,0.48
