scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,LONG,28,28.57,0.806,-0.138,-192.2,647.85,6.2,1.181,1.072,60.71,50.0,28.57,28,0,-192.2,0,-0.138,0.0,6,11,AUDJPY:1;EURJPY:3;EURUSD:5;GBPJPY:2;GBPUSD:3;USDJPY:14,2025-01:1;2025-02:1;2025-03:5;2025-04:2;2025-06:2;2025-07:3;2025-08:5;2025-09:2;2025-10:3;2025-11:3;2025-12:1,LONG:28
A_current_broad_fx_only,SHORT,35,25.71,0.684,-0.231,-411.47,598.7,5.88,1.198,1.102,68.57,48.57,25.71,0,35,0,-411.47,0.0,-0.231,6,11,AUDJPY:1;EURJPY:6;EURUSD:3;GBPJPY:4;GBPUSD:8;USDJPY:13,2025-01:6;2025-02:3;2025-03:2;2025-04:8;2025-05:1;2025-06:2;2025-07:3;2025-08:3;2025-09:3;2025-11:3;2025-12:1,SHORT:35
B_broad_hard_gate_reduced,LONG,1994,28.89,0.79,-0.063,-5687.01,5699.21,56.99,1.293,1.362,66.35,48.5,28.03,1994,0,-5687.01,0,-0.063,0.0,6,12,AUDJPY:116;EURJPY:261;EURUSD:268;GBPJPY:271;GBPUSD:330;USDJPY:748,2025-01:213;2025-02:197;2025-03:239;2025-04:289;2025-05:210;2025-06:146;2025-07:124;2025-08:115;2025-09:107;2025-10:151;2025-11:111;2025-12:92,LONG:1994
B_broad_hard_gate_reduced,SHORT,2005,29.98,0.864,-0.129,-3540.61,5073.86,44.08,1.415,1.244,72.27,51.97,29.03,0,2005,0,-3540.61,0.0,-0.129,6,12,AUDJPY:104;EURJPY:257;EURUSD:308;GBPJPY:245;GBPUSD:343;USDJPY:748,2025-01:200;2025-02:180;2025-03:245;2025-04:321;2025-05:192;2025-06:165;2025-07:142;2025-08:115;2025-09:109;2025-10:142;2025-11:111;2025-12:83,SHORT:2005
C_broad_reduced_room_to_2r,LONG,1575,28.19,0.74,-0.084,-5744.53,5763.02,57.63,1.335,1.413,67.05,49.46,29.14,1575,0,-5744.53,0,-0.084,0.0,6,12,AUDJPY:94;EURJPY:214;EURUSD:200;GBPJPY:215;GBPUSD:247;USDJPY:605,2025-01:175;2025-02:156;2025-03:187;2025-04:232;2025-05:172;2025-06:105;2025-07:106;2025-08:97;2025-09:85;2025-10:119;2025-11:71;2025-12:70,LONG:1575
C_broad_reduced_room_to_2r,SHORT,1568,29.46,0.838,-0.14,-3367.88,4905.97,42.61,1.466,1.278,73.66,53.06,30.48,0,1568,0,-3367.88,0.0,-0.14,6,12,AUDJPY:78;EURJPY:194;EURUSD:246;GBPJPY:192;GBPUSD:258;USDJPY:600,2025-01:157;2025-02:147;2025-03:200;2025-04:246;2025-05:147;2025-06:137;2025-07:113;2025-08:89;2025-09:75;2025-10:113;2025-11:78;2025-12:66,SHORT:1568
D_broad_reduced_h4_ma_bias,LONG,769,28.87,0.857,-0.136,-1206.41,1557.62,15.07,1.224,1.398,64.63,46.81,26.01,769,0,-1206.41,0,-0.136,0.0,6,12,AUDJPY:25;EURJPY:117;EURUSD:127;GBPJPY:104;GBPUSD:130;USDJPY:266,2025-01:63;2025-02:22;2025-03:115;2025-04:87;2025-05:96;2025-06:94;2025-07:42;2025-08:27;2025-09:49;2025-10:60;2025-11:64;2025-12:50,LONG:769
D_broad_reduced_h4_ma_bias,SHORT,662,29.91,0.941,-0.239,-598.35,1348.09,12.57,1.381,1.327,70.69,51.51,27.04,0,662,0,-598.35,0.0,-0.239,6,12,AUDJPY:60;EURJPY:69;EURUSD:88;GBPJPY:80;GBPUSD:106;USDJPY:259,2025-01:96;2025-02:110;2025-03:61;2025-04:122;2025-05:54;2025-06:18;2025-07:42;2025-08:50;2025-09:29;2025-10:37;2025-11:22;2025-12:21,SHORT:662
E_broad_reduced_m15_close_bos,LONG,50,20.0,0.55,0.295,-299.76,395.98,3.92,1.124,0.957,62.0,36.0,26.0,50,0,-299.76,0,0.295,0.0,6,12,AUDJPY:2;EURJPY:7;EURUSD:11;GBPJPY:8;GBPUSD:9;USDJPY:13,2025-01:2;2025-02:4;2025-03:8;2025-04:4;2025-05:6;2025-06:3;2025-07:4;2025-08:3;2025-09:4;2025-10:3;2025-11:7;2025-12:2,LONG:50
E_broad_reduced_m15_close_bos,SHORT,38,23.68,0.75,-0.141,-94.68,158.79,1.58,1.055,1.057,60.53,39.47,10.53,0,38,0,-94.68,0.0,-0.141,6,10,AUDJPY:2;EURJPY:8;EURUSD:7;GBPJPY:3;GBPUSD:7;USDJPY:11,2025-01:4;2025-03:3;2025-04:4;2025-05:5;2025-06:6;2025-07:1;2025-08:3;2025-09:5;2025-10:4;2025-11:3,SHORT:38
