variant,sl_mode,reward_r,reversal_signal_type,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,1.2,unclear,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,CURRENT_SL,1.3,unclear,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,CURRENT_SL,1.5,unclear,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
current_thirdwave,LOWER_TF_REVERSAL_SL,1.2,unclear,109,79,33,46,41.77,-213.54,0.897,-2.7,-0.067,645.14,6.33,30.28,40.37,0,1,27,2,0.851,0.859,9607213037.975,11528655645.57,0.124
current_thirdwave,LOWER_TF_REVERSAL_SL,1.3,unclear,109,79,32,47,40.51,-204.69,0.904,-2.59,-0.065,646.64,6.36,28.44,41.28,0,1,27,2,0.872,0.883,9607213037.975,12489376949.367,0.124
current_thirdwave,LOWER_TF_REVERSAL_SL,1.5,unclear,109,79,31,48,39.24,-25.27,0.988,-0.32,-0.018,669.43,6.49,27.52,42.2,0,1,27,2,0.884,0.94,9607213037.975,14410819556.962,0.124
current_thirdwave,MID_TF_STRUCTURE_SL,1.2,unclear,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,MID_TF_STRUCTURE_SL,1.3,unclear,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,MID_TF_STRUCTURE_SL,1.5,unclear,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
v4_all_signals,CURRENT_SL,1.2,candle_reversal,80,80,40,40,50.0,703.26,1.366,8.79,0.1,348.95,3.18,50.0,50.0,0,0,0,0,0.784,1.009,17589342375.0,21107210850.0,0.124
v4_all_signals,CURRENT_SL,1.2,confirmed_fractal_reclaim,3,3,1,2,33.33,-30.43,0.64,-10.14,-0.267,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.599,21960000000.0,26352000000.0,0.027
v4_all_signals,CURRENT_SL,1.2,early_higher_low,49,49,22,27,44.9,16.42,1.013,0.34,0.001,412.74,3.98,44.9,53.06,0,0,0,0,0.946,0.856,8637775510.204,10365330612.245,0.119
v4_all_signals,CURRENT_SL,1.2,early_lower_high,41,41,21,20,51.22,267.31,1.258,6.52,0.127,275.64,2.63,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.172
v4_all_signals,CURRENT_SL,1.2,micro_break,20,20,16,4,80.0,733.42,4.789,36.67,0.76,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.218,8746466000.0,10495759200.0,0.169
v4_all_signals,CURRENT_SL,1.2,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,13380000000.0,0.04
v4_all_signals,CURRENT_SL,1.3,candle_reversal,80,80,38,42,47.5,698.1,1.346,8.73,0.093,437.43,3.95,47.5,52.5,0,0,0,0,0.8,1.051,17589342375.0,22866145087.5,0.124
v4_all_signals,CURRENT_SL,1.3,confirmed_fractal_reclaim,3,3,1,2,33.33,-25.93,0.693,-8.64,-0.233,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.677,21960000000.0,28548000000.0,0.027
v4_all_signals,CURRENT_SL,1.3,early_higher_low,49,49,21,28,42.86,27.52,1.022,0.56,-0.001,482.81,4.62,42.86,55.1,0,0,0,0,0.962,0.915,8637775510.204,11229108163.265,0.119
v4_all_signals,CURRENT_SL,1.3,early_lower_high,41,41,19,22,46.34,147.68,1.13,3.6,0.066,251.15,2.43,46.34,51.22,0,0,0,0,0.781,0.981,18324739756.098,23822161682.927,0.172
v4_all_signals,CURRENT_SL,1.3,micro_break,20,20,16,4,80.0,810.67,5.188,40.53,0.84,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.271,8746466000.0,11370405800.0,0.169
v4_all_signals,CURRENT_SL,1.3,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14495000000.0,0.04
v4_all_signals,CURRENT_SL,1.5,candle_reversal,80,80,37,43,46.25,988.11,1.477,12.35,0.156,407.87,3.6,46.25,53.75,0,0,0,0,0.807,1.124,17589342375.0,26384013562.5,0.124
v4_all_signals,CURRENT_SL,1.5,confirmed_fractal_reclaim,3,3,1,2,33.33,-16.91,0.8,-5.64,-0.167,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.7,21960000000.0,32940000000.0,0.027
v4_all_signals,CURRENT_SL,1.5,early_higher_low,49,49,19,30,38.78,-29.38,0.979,-0.6,-0.017,497.55,4.75,38.78,59.18,0,0,0,0,0.993,1.016,8637775510.204,12956663265.306,0.119
v4_all_signals,CURRENT_SL,1.5,early_lower_high,41,41,19,22,46.34,345.19,1.304,8.42,0.158,202.57,1.94,46.34,51.22,0,0,0,0,0.781,1.075,18324739756.098,27487109634.146,0.172
v4_all_signals,CURRENT_SL,1.5,micro_break,20,20,15,5,75.0,839.57,4.443,41.98,0.875,96.31,0.96,75.0,25.0,0,0,0,0,0.598,1.372,8746466000.0,13119699000.0,0.169
v4_all_signals,CURRENT_SL,1.5,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,16725000000.0,0.04
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,candle_reversal,80,69,36,33,52.17,685.48,1.447,9.93,0.156,381.6,3.47,42.5,37.5,0,2,8,1,0.732,0.972,16658623478.261,19990348173.913,0.123
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,confirmed_fractal_reclaim,3,3,1,2,33.33,-30.43,0.64,-10.14,-0.267,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.599,21960000000.0,26352000000.0,0.027
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,early_higher_low,49,43,18,25,41.86,-137.77,0.878,-3.2,-0.068,338.21,3.34,34.69,46.94,0,0,3,3,0.992,0.825,9035860465.116,10843032558.14,0.101
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,early_lower_high,41,38,19,19,50.0,273.41,1.311,7.2,0.111,254.88,2.43,46.34,41.46,0,0,2,1,0.756,0.991,13428929736.842,16114715684.211,0.177
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,micro_break,20,19,15,4,78.95,671.03,4.466,35.32,0.733,96.31,0.96,70.0,20.0,0,0,0,1,0.611,1.176,8746572105.263,10495886526.316,0.151
v4_all_signals,LOWER_TF_REVERSAL_SL,1.2,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,13380000000.0,0.04
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,candle_reversal,80,69,35,34,50.72,748.08,1.472,10.84,0.172,371.95,3.37,41.25,38.75,0,2,8,1,0.746,1.01,16658623478.261,21656210521.739,0.123
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,confirmed_fractal_reclaim,3,3,1,2,33.33,-25.93,0.693,-8.64,-0.233,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.677,21960000000.0,28548000000.0,0.027
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,early_higher_low,49,43,17,26,39.53,-152.01,0.87,-3.54,-0.082,413.67,4.06,32.65,48.98,0,0,3,3,1.01,0.887,9035860465.116,11746618604.651,0.101
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,early_lower_high,41,38,18,20,47.37,250.12,1.268,6.58,0.101,239.46,2.3,43.9,43.9,0,0,2,1,0.778,1.033,13428929736.842,17457608657.895,0.177
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,micro_break,20,19,15,4,78.95,737.85,4.812,38.83,0.807,96.31,0.96,70.0,20.0,0,0,0,1,0.611,1.234,8746572105.263,11370543736.842,0.151
v4_all_signals,LOWER_TF_REVERSAL_SL,1.3,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14495000000.0,0.04
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,candle_reversal,80,69,32,37,46.38,734.63,1.425,10.65,0.158,360.24,3.27,36.25,42.5,0,2,8,1,0.796,1.06,16658623478.261,24987935217.391,0.123
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,confirmed_fractal_reclaim,3,3,1,2,33.33,-16.91,0.8,-5.64,-0.167,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.7,21960000000.0,32940000000.0,0.027
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,early_higher_low,49,43,16,27,37.21,-126.86,0.896,-2.95,-0.065,398.86,3.91,30.61,51.02,0,0,3,3,1.032,0.942,9035860465.116,13553790697.674,0.101
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,early_lower_high,41,38,18,20,47.37,425.19,1.456,11.19,0.19,208.99,1.98,41.46,43.9,0,0,2,1,0.778,1.159,13428929736.842,20143394605.263,0.177
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,micro_break,20,19,14,5,73.68,715.57,3.935,37.66,0.791,96.31,0.96,60.0,25.0,0,0,0,1,0.62,1.324,8746572105.263,13119858157.895,0.151
v4_all_signals,LOWER_TF_REVERSAL_SL,1.5,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,16725000000.0,0.04
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,candle_reversal,80,80,40,40,50.0,703.26,1.366,8.79,0.1,348.95,3.18,50.0,50.0,0,0,0,0,0.784,1.009,17589342375.0,21107210850.0,0.124
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,confirmed_fractal_reclaim,3,3,1,2,33.33,-30.43,0.64,-10.14,-0.267,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.599,21960000000.0,26352000000.0,0.027
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,early_higher_low,49,49,22,27,44.9,16.42,1.013,0.34,0.001,412.74,3.98,44.9,53.06,0,0,0,0,0.946,0.856,8637775510.204,10365330612.245,0.119
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,early_lower_high,41,41,21,20,51.22,267.31,1.258,6.52,0.127,275.64,2.63,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.172
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,micro_break,20,20,16,4,80.0,733.42,4.789,36.67,0.76,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.218,8746466000.0,10495759200.0,0.169
v4_all_signals,MID_TF_STRUCTURE_SL,1.2,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,13380000000.0,0.04
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,candle_reversal,80,80,38,42,47.5,698.1,1.346,8.73,0.093,437.43,3.95,47.5,52.5,0,0,0,0,0.8,1.051,17589342375.0,22866145087.5,0.124
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,confirmed_fractal_reclaim,3,3,1,2,33.33,-25.93,0.693,-8.64,-0.233,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.677,21960000000.0,28548000000.0,0.027
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,early_higher_low,49,49,21,28,42.86,27.52,1.022,0.56,-0.001,482.81,4.62,42.86,55.1,0,0,0,0,0.962,0.915,8637775510.204,11229108163.265,0.119
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,early_lower_high,41,41,19,22,46.34,147.68,1.13,3.6,0.066,251.15,2.43,46.34,51.22,0,0,0,0,0.781,0.981,18324739756.098,23822161682.927,0.172
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,micro_break,20,20,16,4,80.0,810.67,5.188,40.53,0.84,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.271,8746466000.0,11370405800.0,0.169
v4_all_signals,MID_TF_STRUCTURE_SL,1.3,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14495000000.0,0.04
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,candle_reversal,80,80,37,43,46.25,988.11,1.477,12.35,0.156,407.87,3.6,46.25,53.75,0,0,0,0,0.807,1.124,17589342375.0,26384013562.5,0.124
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,confirmed_fractal_reclaim,3,3,1,2,33.33,-16.91,0.8,-5.64,-0.167,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.7,21960000000.0,32940000000.0,0.027
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,early_higher_low,49,49,19,30,38.78,-29.38,0.979,-0.6,-0.017,497.55,4.75,38.78,59.18,0,0,0,0,0.993,1.016,8637775510.204,12956663265.306,0.119
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,early_lower_high,41,41,19,22,46.34,345.19,1.304,8.42,0.158,202.57,1.94,46.34,51.22,0,0,0,0,0.781,1.075,18324739756.098,27487109634.146,0.172
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,micro_break,20,20,15,5,75.0,839.57,4.443,41.98,0.875,96.31,0.96,75.0,25.0,0,0,0,0,0.598,1.372,8746466000.0,13119699000.0,0.169
v4_all_signals,MID_TF_STRUCTURE_SL,1.5,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,16725000000.0,0.04
v4_candle_reversal_only,CURRENT_SL,1.2,candle_reversal,123,123,67,56,54.47,1534.89,1.573,12.48,0.198,399.56,3.39,54.47,45.53,0,0,0,0,0.752,1.015,16566702357.724,19880042829.268,0.118
v4_candle_reversal_only,CURRENT_SL,1.3,candle_reversal,123,123,62,61,50.41,1316.67,1.45,10.7,0.159,446.49,3.84,50.41,49.59,0,0,0,0,0.784,1.067,16566702357.724,21536713065.041,0.118
v4_candle_reversal_only,CURRENT_SL,1.5,candle_reversal,123,123,58,65,47.15,1492.25,1.478,12.13,0.179,446.49,3.81,47.15,52.85,0,0,0,0,0.814,1.146,16566702357.724,24850053536.585,0.118
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,1.2,candle_reversal,123,100,55,45,55.0,1258.12,1.609,12.58,0.216,429.17,3.75,43.09,34.15,0,3,18,2,0.718,0.991,15066811600.0,18080173920.0,0.124
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,1.3,candle_reversal,123,100,52,48,52.0,1191.96,1.539,11.92,0.2,429.17,3.79,40.65,36.59,0,3,18,2,0.745,1.04,15066811600.0,19586855080.0,0.124
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,1.5,candle_reversal,123,100,45,55,45.0,861.42,1.338,8.61,0.124,429.17,3.88,34.15,42.28,0,3,18,2,0.82,1.096,15066811600.0,22600217400.0,0.124
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,1.2,candle_reversal,123,123,67,56,54.47,1534.89,1.573,12.48,0.198,399.56,3.39,54.47,45.53,0,0,0,0,0.752,1.015,16566702357.724,19880042829.268,0.118
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,1.3,candle_reversal,123,123,62,61,50.41,1316.67,1.45,10.7,0.159,446.49,3.84,50.41,49.59,0,0,0,0,0.784,1.067,16566702357.724,21536713065.041,0.118
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,1.5,candle_reversal,123,123,58,65,47.15,1492.25,1.478,12.13,0.179,446.49,3.81,47.15,52.85,0,0,0,0,0.814,1.146,16566702357.724,24850053536.585,0.118
v4_micro_break_only,CURRENT_SL,1.2,micro_break,68,68,36,32,52.94,459.32,1.296,6.75,0.165,233.11,2.22,52.94,45.59,1,0,0,0,0.77,1.024,14859878970.588,17831854764.706,0.103
