period,variant,entry_distance_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2025,v4_without_weak_lower_tf_sl_1_3R,far_1.5-3.0,241,113,128,46.89,942.6,1.151,3.91,0.105,479.85,4.26,8,-423.67,97.48,845.12,957.56,-14.96,69.71,48.55,2.315,3.009,0.1025,0.4478,55.27,2.241,0.152,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,mid_0.75-1.5,71,27,44,38.03,-434.99,0.8,-6.13,-0.123,869.14,8.65,7,-345.51,-408.3,-26.69,-359.89,-75.1,59.15,39.44,1.549,2.014,0.1073,0.4112,58.69,1.245,0.246,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,near_<0.75,2,0,2,0.0,-103.5,0.0,-51.75,-1.003,103.5,1.03,2,-103.5,-53.24,-50.26,0,-103.5,50.0,0.0,1.385,1.8,0.1394,0.366,58.52,0.655,0.305,0.47
2025,v4_without_weak_lower_tf_sl_1_3R,very_far_3.0+,74,39,35,52.7,714.24,1.427,9.65,0.213,369.39,3.53,6,-296.82,-156.57,870.81,669.61,44.63,77.03,55.41,3.275,4.257,0.0963,0.5081,53.14,3.441,0.091,0.34
2026YTD,current_thirdwave_current_sl_1_5R,far_1.5-3.0,45,19,26,42.22,60.65,1.047,1.35,0.039,439.73,4.25,7,-326.62,-127.46,188.11,148.61,-87.96,88.89,31.11,2.372,3.558,0.0603,0.3865,56.5,2.268,0.064,0.31
2026YTD,current_thirdwave_current_sl_1_5R,mid_0.75-1.5,10,4,6,40.0,-13.4,0.957,-1.34,0.012,101.07,1.0,2,-98.35,163.5,-176.9,-76.93,63.53,80.0,40.0,1.381,2.071,0.0656,0.4668,64.42,1.277,0.118,0.44
2026YTD,current_thirdwave_current_sl_1_5R,very_far_3.0+,40,21,19,52.5,818.5,1.967,20.46,0.336,185.8,1.83,4,-185.8,-26.4,844.9,32.32,786.18,92.5,47.5,3.945,5.918,0.0505,0.4759,57.88,3.831,0.029,0.13
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,far_1.5-3.0,66,39,27,59.09,1204.77,1.878,18.25,0.341,256.1,2.29,5,-225.78,257.76,947.01,102.42,1102.35,80.3,30.3,2.311,2.773,0.0618,0.4144,53.52,2.255,0.079,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,mid_0.75-1.5,20,9,11,45.0,-35.3,0.939,-1.77,-0.017,471.45,4.52,9,-471.45,142.31,-177.61,-32.86,-2.44,80.0,35.0,1.562,1.875,0.0666,0.3803,65.54,1.224,0.127,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,near_<0.75,1,0,1,0.0,-56.38,0.0,-56.38,-1.005,56.38,0.56,1,-56.38,-56.38,0,-56.38,0,0.0,100.0,1.06,1.272,0.1886,0.2228,84.22,0.74,0.4,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,very_far_3.0+,35,15,20,42.86,-191.43,0.816,-5.47,-0.092,447.3,4.37,4,-171.75,62.49,-253.92,-31.91,-159.52,97.14,45.71,3.065,3.677,0.0577,0.4287,57.42,3.399,0.04,0.13
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,far_1.5-3.0,65,36,29,55.38,1110.96,1.763,17.09,0.308,328.94,2.95,5,-239.89,167.03,943.93,135.34,975.62,80.0,30.77,2.325,3.023,0.0629,0.4222,53.44,2.246,0.08,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,mid_0.75-1.5,22,9,13,40.91,-59.66,0.908,-2.71,-0.066,509.41,4.87,10,-509.41,156.46,-216.12,-18.72,-40.94,81.82,31.82,1.546,2.01,0.0621,0.3805,65.5,1.24,0.117,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,near_<0.75,1,0,1,0.0,-56.4,0.0,-56.4,-1.005,56.4,0.56,1,-56.4,-56.4,0,-56.4,0,0.0,100.0,1.06,1.378,0.1886,0.2228,84.22,0.74,0.4,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,very_far_3.0+,34,14,20,41.18,-210.06,0.801,-6.18,-0.094,514.12,5.02,4,-171.75,66.95,-277.01,-127.89,-82.17,97.06,47.06,3.054,3.97,0.0584,0.4192,57.77,3.401,0.041,0.13
2026YTD,v4_without_weak_lower_tf_sl_1_3R,far_1.5-3.0,83,40,43,48.19,546.14,1.258,6.58,0.117,504.34,4.71,6,-254.34,-74.55,620.69,138.31,407.83,75.9,24.1,2.286,2.972,0.0709,0.4003,53.77,2.216,0.095,0.51
2026YTD,v4_without_weak_lower_tf_sl_1_3R,mid_0.75-1.5,24,12,12,50.0,161.55,1.262,6.73,0.147,495.28,4.65,6,-310.42,207.14,-45.59,-18.72,180.27,87.5,29.17,1.545,2.009,0.0562,0.3784,61.26,1.268,0.1,0.6
2026YTD,v4_without_weak_lower_tf_sl_1_3R,near_<0.75,2,1,1,50.0,16.6,1.294,8.3,0.161,56.4,0.56,1,-56.4,16.6,0,-56.4,73.0,0.0,50.0,0.95,1.235,0.1931,0.1822,74.68,0.69,0.7,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,very_far_3.0+,38,16,22,42.11,-49.4,0.955,-1.3,-0.067,461.54,4.44,4,-175.3,66.95,-116.35,-104.96,55.56,97.37,42.11,3.059,3.977,0.0529,0.4425,56.83,3.37,0.035,0.13
