period,run,scenario,block_category,block_reason,rows
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,trend_broken,7359
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,pullback_too_shallow,7579
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,pullback_too_deep,15099
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,no_lower_reversal,31115
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,lower_reversal_quality_low,24
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,sl_too_close,102
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,sl_too_wide,2746
2025,D,ThirdWave_regime_SHORT_ONLY,structure_stage,regime_requires_trend_down,450080
2025,D,ThirdWave_regime_SHORT_ONLY,execution,spread_guard,1163
2025,D,ThirdWave_regime_SHORT_ONLY,execution,position_limit,164
2026YTD,A,ThirdWave_original_BOTH,structure_stage,no_higher_tf_trend,303091
2026YTD,A,ThirdWave_original_BOTH,structure_stage,trend_broken,17041
2026YTD,A,ThirdWave_original_BOTH,structure_stage,pullback_too_shallow,14665
2026YTD,A,ThirdWave_original_BOTH,structure_stage,pullback_too_deep,30754
2026YTD,A,ThirdWave_original_BOTH,structure_stage,no_lower_reversal,59489
2026YTD,A,ThirdWave_original_BOTH,structure_stage,sl_too_close,226
2026YTD,A,ThirdWave_original_BOTH,structure_stage,sl_too_wide,6289
2026YTD,A,ThirdWave_original_BOTH,execution,spread_guard,1679
2026YTD,A,ThirdWave_original_BOTH,execution,position_limit,352
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,trend_broken,6766
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,pullback_too_shallow,9364
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,pullback_too_deep,14402
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,no_lower_reversal,29779
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,lower_reversal_quality_low,19
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,sl_too_close,94
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,sl_too_wide,3634
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,regime_requires_trend_up,179355
2026YTD,B,ThirdWave_regime_BOTH,structure_stage,regime_requires_trend_down,189356
2026YTD,B,ThirdWave_regime_BOTH,execution,spread_guard,773
2026YTD,B,ThirdWave_regime_BOTH,execution,position_limit,146
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,trend_broken,3744
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,pullback_too_shallow,6125
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,pullback_too_deep,7512
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,no_lower_reversal,17170
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,lower_reversal_quality_low,4
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,sl_too_close,30
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,sl_too_wide,2424
2026YTD,C,ThirdWave_regime_LONG_ONLY,structure_stage,regime_requires_trend_up,179355
2026YTD,C,ThirdWave_regime_LONG_ONLY,execution,spread_guard,395
2026YTD,C,ThirdWave_regime_LONG_ONLY,execution,position_limit,92
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,trend_broken,3022
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,pullback_too_shallow,3239
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,pullback_too_deep,6890
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,no_lower_reversal,12609
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,lower_reversal_quality_low,15
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,sl_too_close,64
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,sl_too_wide,1210
2026YTD,D,ThirdWave_regime_SHORT_ONLY,structure_stage,regime_requires_trend_down,189356
2026YTD,D,ThirdWave_regime_SHORT_ONLY,execution,spread_guard,378
2026YTD,D,ThirdWave_regime_SHORT_ONLY,execution,position_limit,53
