period,run,scenario,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses,fx_net,xauusd_net,long_net,short_net,scan_driver_symbol
2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,0.0,13,4,9,30.77,-70.8,0.842,-5.45,-0.08,206.42,2.06,4,-208.97,138.17,-163.03,92.23,USDJPY
2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,0.0,5,1,4,20.0,-109.71,0.447,-21.94,-0.409,109.71,1.1,2,-198.29,88.58,37.76,-147.47,USDJPY
2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,0.0,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,1,-47.83,97.58,0,49.75,USDJPY
2025-02,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,0.0,6,3,3,50.0,130.22,1.858,21.7,0.505,99.24,0.98,2,-6.8,137.02,39.44,90.78,USDJPY
2025-02,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,0.0,6,1,5,16.67,-146.94,0.4,-24.49,-0.507,146.94,1.47,3,-146.94,0,-48.4,-98.54,USDJPY
2025-02,F,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,52.8,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-08,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,0.0,2,1,1,50.0,28.18,1.535,14.09,0.501,52.72,0.52,1,-52.72,80.9,80.9,-52.72,USDJPY
2025-08,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,0.0,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0,0,80.9,80.9,0,USDJPY
2025-08,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-08,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-08,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-08,F,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,52.5,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-10,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,0.0,5,4,1,80.0,313.61,7.348,62.72,1.405,49.4,0.49,1,199.43,114.18,163.58,150.03,USDJPY
2025-10,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,0.0,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0,0,99.6,99.6,0,USDJPY
2025-10,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,0.0,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0,0,93.96,93.96,0,USDJPY
2025-10,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,0.0,3,1,2,33.33,4.76,1.05,1.59,-0.0,94.84,0.94,2,0,4.76,54.16,-49.4,USDJPY
2025-10,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2025-10,F,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,52.5,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,USDJPY
2026-Q1,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,0.0,27,4,23,14.81,-716.42,0.33,-26.53,-0.564,772.94,7.69,9,-473.44,-242.98,-516.62,-199.8,USDJPY
2026-Q1,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,0.0,17,3,14,17.65,-347.85,0.457,-20.46,-0.481,347.85,3.48,4,-146.09,-201.76,-123.5,-224.35,USDJPY
2026-Q1,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,0.0,6,1,5,16.67,-139.84,0.401,-23.31,-0.505,233.3,2.33,5,-56.37,-83.47,-86.97,-52.87,USDJPY
2026-Q1,D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,0.0,10,3,7,30.0,-52.18,0.829,-5.22,-0.111,270.63,2.68,6,45.85,-98.03,-24.35,-27.83,USDJPY
2026-Q1,E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,0.0,7,1,6,14.29,-196.0,0.34,-28.0,-0.575,196.0,1.96,3,-196.0,0,-194.36,-1.64,USDJPY
2026-Q1,F,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,123.2,4,0,4,0.0,-198.08,0.0,-49.52,-1.004,198.08,1.98,4,-198.08,0,-149.01,-49.07,USDJPY
