period,run,scenario,regime,evaluations,rows,share_pct
2024,B,ThirdWave_regime_BOTH,REGIME_TREND_UP,1039906,171066,16.45
2024,B,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,1039906,121006,11.64
2024,B,ThirdWave_regime_BOTH,REGIME_RANGE,1039906,87016,8.37
2024,B,ThirdWave_regime_BOTH,REGIME_TRANSITION,1039906,630892,60.67
2024,B,ThirdWave_regime_BOTH,REGIME_EXHAUSTION,1039906,29926,2.88
2024,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,519953,85533,16.45
2024,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_DOWN,519953,60503,11.64
2024,C,ThirdWave_regime_LONG_ONLY,REGIME_RANGE,519953,43508,8.37
2024,C,ThirdWave_regime_LONG_ONLY,REGIME_TRANSITION,519953,315446,60.67
2024,C,ThirdWave_regime_LONG_ONLY,REGIME_EXHAUSTION,519953,14963,2.88
2024,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_UP,519953,85533,16.45
2024,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,519953,60503,11.64
2024,D,ThirdWave_regime_SHORT_ONLY,REGIME_RANGE,519953,43508,8.37
2024,D,ThirdWave_regime_SHORT_ONLY,REGIME_TRANSITION,519953,315446,60.67
2024,D,ThirdWave_regime_SHORT_ONLY,REGIME_EXHAUSTION,519953,14963,2.88
2025,B,ThirdWave_regime_BOTH,REGIME_TREND_UP,1031072,176254,17.09
2025,B,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,1031072,130912,12.7
2025,B,ThirdWave_regime_BOTH,REGIME_RANGE,1031072,86598,8.4
2025,B,ThirdWave_regime_BOTH,REGIME_TRANSITION,1031072,606696,58.84
2025,B,ThirdWave_regime_BOTH,REGIME_EXHAUSTION,1031072,30612,2.97
2025,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,515536,88127,17.09
2025,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_DOWN,515536,65456,12.7
2025,C,ThirdWave_regime_LONG_ONLY,REGIME_RANGE,515536,43299,8.4
2025,C,ThirdWave_regime_LONG_ONLY,REGIME_TRANSITION,515536,303348,58.84
2025,C,ThirdWave_regime_LONG_ONLY,REGIME_EXHAUSTION,515536,15306,2.97
2025,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_UP,515536,88127,17.09
2025,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,515536,65456,12.7
2025,D,ThirdWave_regime_SHORT_ONLY,REGIME_RANGE,515536,43299,8.4
2025,D,ThirdWave_regime_SHORT_ONLY,REGIME_TRANSITION,515536,303348,58.84
2025,D,ThirdWave_regime_SHORT_ONLY,REGIME_EXHAUSTION,515536,15306,2.97
2026YTD,B,ThirdWave_regime_BOTH,REGIME_TREND_UP,433776,75066,17.31
2026YTD,B,ThirdWave_regime_BOTH,REGIME_TREND_DOWN,433776,55064,12.69
2026YTD,B,ThirdWave_regime_BOTH,REGIME_RANGE,433776,33894,7.81
2026YTD,B,ThirdWave_regime_BOTH,REGIME_TRANSITION,433776,257628,59.39
2026YTD,B,ThirdWave_regime_BOTH,REGIME_EXHAUSTION,433776,12124,2.79
2026YTD,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_UP,216888,37533,17.31
2026YTD,C,ThirdWave_regime_LONG_ONLY,REGIME_TREND_DOWN,216888,27532,12.69
2026YTD,C,ThirdWave_regime_LONG_ONLY,REGIME_RANGE,216888,16947,7.81
2026YTD,C,ThirdWave_regime_LONG_ONLY,REGIME_TRANSITION,216888,128814,59.39
2026YTD,C,ThirdWave_regime_LONG_ONLY,REGIME_EXHAUSTION,216888,6062,2.79
2026YTD,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_UP,216888,37533,17.31
2026YTD,D,ThirdWave_regime_SHORT_ONLY,REGIME_TREND_DOWN,216888,27532,12.69
2026YTD,D,ThirdWave_regime_SHORT_ONLY,REGIME_RANGE,216888,16947,7.81
2026YTD,D,ThirdWave_regime_SHORT_ONLY,REGIME_TRANSITION,216888,128814,59.39
2026YTD,D,ThirdWave_regime_SHORT_ONLY,REGIME_EXHAUSTION,216888,6062,2.79
