time,symbol,direction,event,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,strategy_name
2025.01.02 07:54:59,XAUUSD,LONG,order_attempt,0,,2634.60,2630.85,2640.23,0.13,3.75,1.50,,DowFractal_ThirdWave
2025.01.02 07:54:59,XAUUSD,LONG,order_sent,10009,order_sent,2634.60,2630.85,2640.23,0.13,3.75,1.50,,DowFractal_ThirdWave
2025.01.02 22:24:59,XAUUSD,LONG,order_attempt,0,,2659.47,2653.58,2668.31,0.08,5.89,1.50,,DowFractal_ThirdWave
2025.01.02 22:24:59,XAUUSD,LONG,order_sent,10009,order_sent,2659.47,2653.58,2668.31,0.08,5.89,1.50,,DowFractal_ThirdWave
2025.01.03 17:34:59,XAUUSD,SHORT,order_attempt,0,,2644.47,2652.81,2631.96,0.06,8.34,1.50,,DowFractal_ThirdWave
2025.01.03 17:34:59,XAUUSD,SHORT,order_sent,10009,order_sent,2644.47,2652.81,2631.96,0.06,8.34,1.50,,DowFractal_ThirdWave
2025.01.03 22:04:59,XAUUSD,SHORT,order_blocked,0,max_positions,2639.33,2643.09,2633.69,0.13,3.76,1.50,max_positions,DowFractal_ThirdWave
2025.01.03 22:09:59,XAUUSD,SHORT,order_blocked,0,max_positions,2639.12,2643.09,2633.17,0.12,3.97,1.50,max_positions,DowFractal_ThirdWave
2025.01.03 22:14:59,XAUUSD,SHORT,order_blocked,0,max_positions,2639.22,2643.09,2633.42,0.12,3.87,1.50,max_positions,DowFractal_ThirdWave
2025.01.06 16:44:59,EURJPY,LONG,order_attempt,0,,163.164,162.882,163.587,0.28,0.282,1.50,,DowFractal_ThirdWave
2025.01.06 16:44:59,EURJPY,LONG,order_sent,10009,order_sent,163.164,162.882,163.587,0.28,0.282,1.50,,DowFractal_ThirdWave
2025.01.06 16:54:59,EURJPY,LONG,order_blocked,0,max_positions,163.428,162.882,164.247,0.14,0.546,1.50,max_positions,DowFractal_ThirdWave
2025.01.06 16:59:59,EURJPY,LONG,order_blocked,0,max_positions,163.485,162.882,164.390,0.13,0.603,1.50,max_positions,DowFractal_ThirdWave
2025.01.06 18:04:59,EURUSD,LONG,order_attempt,0,,1.03954,1.03509,1.04622,0.11,0.00445,1.50,,DowFractal_ThirdWave
2025.01.06 18:04:59,EURUSD,LONG,order_sent,10009,order_sent,1.03954,1.03509,1.04622,0.11,0.00445,1.50,,DowFractal_ThirdWave
2025.01.06 21:04:59,XAUUSD,SHORT,order_blocked,0,max_positions,2633.49,2638.73,2625.63,0.09,5.24,1.50,max_positions,DowFractal_ThirdWave
2025.01.06 21:09:59,XAUUSD,SHORT,order_blocked,0,max_positions,2634.74,2638.73,2628.76,0.12,3.99,1.50,max_positions,DowFractal_ThirdWave
2025.01.07 10:39:59,XAUUSD,LONG,order_blocked,0,max_positions,2643.67,2637.86,2652.39,0.08,5.81,1.50,max_positions,DowFractal_ThirdWave
2025.01.07 11:34:59,XAUUSD,LONG,order_blocked,0,max_positions,2642.61,2637.86,2649.74,0.10,4.75,1.50,max_positions,DowFractal_ThirdWave
2025.01.07 12:44:59,XAUUSD,LONG,order_blocked,0,max_positions,2644.05,2639.92,2650.25,0.12,4.13,1.50,max_positions,DowFractal_ThirdWave
2025.01.07 13:14:59,XAUUSD,LONG,order_blocked,0,max_positions,2644.98,2639.92,2652.57,0.10,5.06,1.50,max_positions,DowFractal_ThirdWave
