period,scenario,symbol,direction,net_profit,result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_1R,time_to_2R,time_to_SL,false_break_return_inside_neckline,retest_quality,failure_type,winning_type
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-50.05,-1.01,0.399,1.068,0,0,0,0,,,90.0,0,not_applicable,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURUSD,SHORT,-49.3,-1.0,0.112,0.9,0,0,0,0,,,,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,85.05,2.0,2.503,0.216,1,1,1,1,220.0,305.0,,0,not_applicable,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-45.07,-1.002,0.28,1.094,0,0,0,0,,,525.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPJPY,LONG,-50.82,-1.035,0.581,2.934,1,0,0,0,,,20.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPJPY,LONG,-49.37,-1.0,1.024,1.053,1,1,0,0,205.0,,390.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-47.47,-1.004,0.498,0.909,0,0,0,0,,,,0,not_applicable,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,97.32,2.003,2.308,0.055,1,1,1,1,55.0,370.0,,0,not_applicable,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,97.58,2.009,2.833,0.28,1,1,1,1,70.0,105.0,,1,not_applicable,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,USDJPY,SHORT,-51.38,-1.0,0.444,1.066,0,0,0,0,,,410.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPJPY,LONG,-48.76,-1.0,1.799,1.569,1,1,1,0,30.0,,235.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURUSD,LONG,-54.67,-1.006,0.31,1.224,0,0,0,0,,,425.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-50.05,-1.01,0.399,1.068,0,0,0,0,,,90.0,0,not_applicable,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,SHORT,-49.3,-1.0,0.112,0.9,0,0,0,0,,,,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,85.05,2.0,2.503,0.216,1,1,1,1,220.0,305.0,,0,not_applicable,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,-45.07,-1.002,0.28,1.094,0,0,0,0,,,525.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,LONG,-50.82,-1.035,0.581,2.934,1,0,0,0,,,20.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,LONG,-49.37,-1.0,1.024,1.053,1,1,0,0,205.0,,390.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-47.47,-1.004,0.498,0.909,0,0,0,0,,,,0,not_applicable,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,97.32,2.003,2.308,0.055,1,1,1,1,55.0,370.0,,0,not_applicable,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,97.58,2.009,2.833,0.28,1,1,1,1,70.0,105.0,,1,not_applicable,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,-51.38,-1.0,0.444,1.066,0,0,0,0,,,410.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,AUDJPY,SHORT,95.52,2.0,2.201,0.437,1,1,1,1,890.0,920.0,,0,not_applicable,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,LONG,-48.76,-1.0,1.799,1.569,1,1,1,0,30.0,,235.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,LONG,-54.67,-1.006,0.31,1.224,0,0,0,0,,,425.0,1,not_applicable,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-50.34,-1.009,0.059,1.062,0,0,0,0,,,45.0,1,shallow_retest_then_go,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,EURUSD,SHORT,-49.3,-1.0,0.112,0.9,0,0,0,0,,,,1,shallow_retest_then_go,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,88.04,2.0,2.138,0.057,1,1,1,1,190.0,270.0,,0,shallow_retest_then_go,,h1_counter_trend_exhausted
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPJPY,LONG,-50.82,-1.035,0.581,2.934,1,0,0,0,,,20.0,1,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-47.83,-1.003,0.249,0.924,0,0,0,0,,,,0,shallow_retest_then_go,no_follow_through,
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-50.34,-1.009,0.059,1.062,0,0,0,0,,,45.0,1,shallow_retest_then_go,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURUSD,SHORT,-49.3,-1.0,0.112,0.9,0,0,0,0,,,,1,shallow_retest_then_go,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,88.04,2.0,2.138,0.057,1,1,1,1,190.0,270.0,,0,shallow_retest_then_go,,h1_counter_trend_exhausted
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPJPY,LONG,-50.82,-1.035,0.581,2.934,1,0,0,0,,,20.0,1,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-47.83,-1.003,0.249,0.924,0,0,0,0,,,,0,shallow_retest_then_go,no_follow_through,
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,79.91,2.009,2.185,0.247,1,1,1,1,30.0,725.0,,1,not_applicable,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPJPY,SHORT,-52.77,-1.006,0.616,0.991,1,0,0,0,,,,1,not_applicable,false_breakout,
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,79.91,2.009,2.185,0.247,1,1,1,1,30.0,725.0,,1,not_applicable,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,SHORT,-52.77,-1.006,0.616,0.991,1,0,0,0,,,,1,not_applicable,false_breakout,
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,79.88,2.009,2.185,0.247,1,1,1,1,30.0,725.0,,1,shallow_retest_then_go,,retest_then_go
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,79.88,2.009,2.185,0.247,1,1,1,1,30.0,725.0,,1,shallow_retest_then_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,185.0,345.0,,1,not_applicable,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-49.4,-1.001,1.412,1.932,1,1,0,0,110.0,,180.0,1,not_applicable,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,USDJPY,SHORT,98.56,2.0,2.181,0.062,1,1,1,1,10.0,55.0,,0,not_applicable,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,63.94,2.0,2.455,0.776,1,1,1,1,3800.0,3840.0,,0,not_applicable,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,185.0,345.0,,1,not_applicable,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-49.4,-1.001,1.412,1.932,1,1,0,0,110.0,,180.0,1,not_applicable,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,98.56,2.0,2.181,0.062,1,1,1,1,10.0,55.0,,0,not_applicable,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,100.87,2.025,2.234,0.614,1,1,1,1,160.0,165.0,,0,not_applicable,,fast_follow_through
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,63.94,2.0,2.455,0.776,1,1,1,1,3800.0,3840.0,,0,not_applicable,,retest_then_go
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,185.0,345.0,,1,deep_retest_but_reclaim,,retest_then_go
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,185.0,345.0,,1,deep_retest_but_reclaim,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,USDJPY,LONG,-43.42,-1.004,1.914,1.5,1,1,1,0,545.0,,1955.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,99.94,2.039,2.69,0.566,1,1,1,1,105.0,120.0,,1,not_applicable,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,-48.94,-1.005,1.864,1.077,1,1,1,0,3235.0,,3335.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,35.0,,325.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-49.28,-1.0,0.0,1.013,0,0,0,0,,,0.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,,,30.0,1,not_applicable,false_breakout,
