time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score
2026.01.14 20:04:59,order_attempt,USDJPY,LONG,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,158.363,158.097,158.895,0.29,0.266,2.00,266.0,2.20,532.0,4.39,158.277,158.294,158.115,4,0.71,2.05,0.1487,18.0,66.48
2026.01.14 20:04:59,order_sent,USDJPY,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,158.363,158.097,158.895,0.29,0.266,2.00,266.0,2.20,532.0,4.39,158.277,158.294,158.115,4,0.71,2.05,0.1487,18.0,66.48
2026.01.16 15:34:59,order_attempt,GBPUSD,SHORT,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.34001,1.34130,1.33743,0.38,0.00129,2.00,129.0,1.67,258.0,3.33,1.34041,1.34026,1.34115,7,0.52,1.47,0.1937,15.0,64.78
2026.01.16 15:34:59,order_sent,GBPUSD,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.34001,1.34130,1.33743,0.38,0.00129,2.00,129.0,1.67,258.0,3.33,1.34041,1.34026,1.34115,7,0.52,1.47,0.1937,15.0,64.78
2026.01.16 15:49:59,order_blocked,GBPUSD,SHORT,server_08_15,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.34065,1.34130,1.33935,0.76,0.00065,2.00,65.0,0.83,130.0,1.67,1.34041,1.34040,1.34115,8,0.31,0.64,0.1927,15.0,65.28
2026.01.16 18:04:59,order_attempt,GBPUSD,SHORT,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.33826,1.34046,1.33386,0.22,0.00220,2.00,220.0,2.17,440.0,4.34,1.33945,1.33772,1.34031,4,1.17,2.02,0.1481,15.0,65.61
2026.01.16 18:04:59,order_sent,GBPUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.33826,1.34046,1.33386,0.22,0.00220,2.00,220.0,2.17,440.0,4.34,1.33945,1.33772,1.34031,4,1.17,2.02,0.1481,15.0,65.61
2026.01.16 18:19:59,order_blocked,GBPUSD,SHORT,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.33821,1.34047,1.33369,0.22,0.00226,2.00,226.0,2.12,452.0,4.24,1.33945,1.33882,1.34031,5,1.16,1.97,0.1501,16.0,65.75
2026.01.16 18:34:59,order_blocked,GBPUSD,SHORT,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.33833,1.34046,1.33407,0.23,0.00213,2.00,213.0,2.06,426.0,4.12,1.33945,1.33841,1.34031,6,1.08,1.91,0.1450,15.0,64.71
2026.01.16 19:49:59,order_blocked,GBPUSD,SHORT,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_nested_nwave_entry,1.33801,1.33900,1.33603,0.50,0.00099,2.00,99.0,1.01,198.0,2.01,1.33795,1.33792,1.33885,4,0.06,0.85,0.1523,15.0,128.98
