period,variant,spread_atr_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,high_0.10-0.20,141,59,82,41.84,302.09,1.071,2.14,0.061,885.52,8.26,8,-399.15,156.64,145.45,311.53,-9.44,60.28,57.45,3.114,4.671,0.1503,0.4619,51.67,2.962,0.196,0.69
2024,current_thirdwave_current_sl_1_5R,low_<0.05,1,0,1,0.0,-43.35,0.0,-43.35,-1.003,43.35,0.43,1,-43.35,0,-43.35,-43.35,0,100.0,100.0,2.77,4.155,0.0347,0.5045,37.92,2.71,0.03,0.03
2024,current_thirdwave_current_sl_1_5R,normal_0.05-0.10,36,19,17,52.78,455.51,1.537,12.65,0.322,207.47,1.99,4,-193.87,0,455.51,274.7,180.81,100.0,66.67,3.175,4.763,0.0779,0.5129,57.77,3.073,0.076,0.15
2024,v4_micro_or_candle_lower_tf_sl_1_2R,blocked_0.20+,1,1,0,100.0,3.0,,3.0,1.228,0.0,0.0,0,0.0,0,3.0,3.0,0,100.0,100.0,1.79,2.148,0.2,0.6691,25.8,3.87,0.22,0.22
2024,v4_micro_or_candle_lower_tf_sl_1_2R,high_0.10-0.20,191,82,109,42.93,-794.1,0.85,-4.16,-0.059,1148.45,11.23,6,-267.34,-219.88,-574.22,14.27,-808.37,58.64,57.07,2.375,2.85,0.153,0.4986,56.44,2.407,0.227,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,low_<0.05,3,1,2,33.33,-32.43,0.636,-10.81,-0.271,89.06,0.89,2,-89.06,0,-32.43,-32.43,0,100.0,100.0,1.703,2.044,0.0367,0.7895,53.64,1.647,0.053,0.07
2024,v4_micro_or_candle_lower_tf_sl_1_2R,normal_0.05-0.10,45,25,20,55.56,401.18,1.425,8.92,0.23,246.24,2.44,5,-246.24,60.72,340.46,-34.37,435.55,97.78,53.33,2.216,2.659,0.0766,0.4861,57.72,2.256,0.097,0.24
2024,v4_micro_or_candle_lower_tf_sl_1_3R,blocked_0.20+,1,1,0,100.0,7.4,,7.4,1.321,0.0,0.0,0,0.0,0,7.4,7.4,0,100.0,100.0,1.79,2.327,0.2,0.6691,25.8,3.87,0.22,0.22
2024,v4_micro_or_candle_lower_tf_sl_1_3R,high_0.10-0.20,189,78,111,41.27,-754.58,0.86,-3.99,-0.055,1135.75,11.14,6,-267.34,-122.66,-631.92,133.49,-888.07,58.73,56.61,2.377,3.09,0.1531,0.4976,56.53,2.411,0.227,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,low_<0.05,3,1,2,33.33,-26.41,0.703,-8.8,-0.228,89.06,0.89,2,-89.06,0,-26.41,-26.41,0,100.0,100.0,1.703,2.214,0.0367,0.7895,53.64,1.647,0.053,0.07
