time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor
2026.01.16 18:34:59,order_attempt,GBPUSD,SHORT,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33833,1.34046,1.33577,0.23,0.00213,1.20,213.0,2.06,256.0,2.48,1.33945,1.33814,1.34031,6,1.08,1.91,0.1450,15.0,121.50,true,true,true,true,false,2026.01.16 17:15:00,2026.01.16 18:00:00,2026.01.16 18:15:00,3,4,0.48,0.50,1.33945,0.48,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,1.27,131.0,0.83,1.91,2.30,0.12,0.88,5,false,not_evaluated,,0.00,false,false,false
2026.01.16 18:34:59,order_sent,GBPUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33833,1.34046,1.33577,0.23,0.00213,1.20,213.0,2.06,256.0,2.48,1.33945,1.33814,1.34031,6,1.08,1.91,0.1450,15.0,121.50,true,true,true,true,false,2026.01.16 17:15:00,2026.01.16 18:00:00,2026.01.16 18:15:00,3,4,0.48,0.50,1.33945,0.48,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,1.27,131.0,0.83,1.91,2.30,0.12,0.88,5,false,not_evaluated,,0.00,false,false,false
2026.01.16 19:49:59,order_blocked,GBPUSD,SHORT,server_16_23,0,existing_position,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33801,1.33900,1.33682,0.50,0.00099,1.20,99.0,1.01,119.0,1.21,1.33795,1.33705,1.33885,4,0.06,0.85,0.1523,15.0,123.97,true,true,true,true,false,2026.01.16 17:30:00,2026.01.16 17:45:00,2026.01.16 19:30:00,1,8,0.25,0.50,1.33795,0.25,true,deep_retest_but_reclaim,,false,unclassified,,false,false,false,false,0.91,90.0,0.65,1.10,1.70,0.31,0.69,1,false,not_evaluated,,0.00,false,false,false
2026.01.21 16:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34319,1.34101,1.34581,0.23,0.00218,1.20,218.0,2.16,262.0,2.59,1.34267,1.34276,1.34116,3,0.51,2.01,0.1483,15.0,119.90,true,true,true,true,false,2026.01.21 15:30:00,2026.01.21 15:45:00,2026.01.21 15:45:00,1,1,0.10,0.50,1.34289,0.10,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.09,9.0,0.80,0.93,1.16,0.11,0.89,3,false,not_evaluated,,0.00,false,false,false
2026.01.21 16:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34319,1.34101,1.34581,0.23,0.00218,1.20,218.0,2.16,262.0,2.59,1.34267,1.34276,1.34116,3,0.51,2.01,0.1483,15.0,119.90,true,true,true,true,false,2026.01.21 15:30:00,2026.01.21 15:45:00,2026.01.21 15:45:00,1,1,0.10,0.50,1.34289,0.10,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.09,9.0,0.80,0.93,1.16,0.11,0.89,3,false,not_evaluated,,0.00,false,false,false
2026.01.21 17:19:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34412,1.34204,1.34662,0.24,0.00208,1.20,208.0,1.64,250.0,1.97,1.34433,1.34507,1.34219,4,0.17,1.52,0.1184,15.0,121.31,true,true,true,true,false,2026.01.21 16:30:00,2026.01.21 16:45:00,2026.01.21 17:00:00,1,2,0.24,0.50,1.34433,0.24,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.58,74.0,0.78,1.29,1.67,0.22,0.78,2,false,not_evaluated,,0.00,false,false,false
2026.01.21 17:19:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34412,1.34204,1.34662,0.24,0.00208,1.20,208.0,1.64,250.0,1.97,1.34433,1.34507,1.34219,4,0.17,1.52,0.1184,15.0,121.31,true,true,true,true,false,2026.01.21 16:30:00,2026.01.21 16:45:00,2026.01.21 17:00:00,1,2,0.24,0.50,1.34433,0.24,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.58,74.0,0.78,1.29,1.67,0.22,0.78,2,false,not_evaluated,,0.00,false,false,false
2026.01.28 20:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.37888,1.37696,1.38118,0.26,0.00192,1.20,192.0,1.02,230.0,1.23,1.37869,1.37890,1.37714,3,0.10,0.93,0.0959,18.0,121.18,true,true,true,true,false,2026.01.28 17:45:00,2026.01.28 18:00:00,2026.01.28 19:45:00,1,8,0.50,0.50,1.37869,0.50,true,deep_retest_but_reclaim,,false,unclassified,,false,false,false,false,0.11,21.0,0.48,0.83,1.73,0.03,0.97,9,false,not_evaluated,,0.00,false,false,false
2026.01.28 20:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.37888,1.37696,1.38118,0.26,0.00192,1.20,192.0,1.02,230.0,1.23,1.37869,1.37890,1.37714,3,0.10,0.93,0.0959,18.0,121.18,true,true,true,true,false,2026.01.28 17:45:00,2026.01.28 18:00:00,2026.01.28 19:45:00,1,8,0.50,0.50,1.37869,0.50,true,deep_retest_but_reclaim,,false,unclassified,,false,false,false,false,0.11,21.0,0.48,0.83,1.73,0.03,0.97,9,false,not_evaluated,,0.00,false,false,false
2026.01.29 01:04:59,order_attempt,EURUSD,LONG,server_00_07,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.19569,1.19388,1.19786,0.27,0.00181,1.20,181.0,1.79,217.0,2.14,1.19521,1.19539,1.19408,6,0.47,1.59,0.1976,20.0,120.02,true,true,true,true,false,2026.01.29 00:00:00,2026.01.29 00:15:00,2026.01.29 00:45:00,1,3,0.12,0.50,1.19521,0.12,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.18,18.0,0.19,0.13,0.67,0.01,0.99,2,false,not_evaluated,,0.00,false,false,false
2026.01.29 01:04:59,order_sent,EURUSD,LONG,server_00_07,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.19569,1.19388,1.19786,0.27,0.00181,1.20,181.0,1.79,217.0,2.14,1.19521,1.19539,1.19408,6,0.47,1.59,0.1976,20.0,120.02,true,true,true,true,false,2026.01.29 00:00:00,2026.01.29 00:15:00,2026.01.29 00:45:00,1,3,0.12,0.50,1.19521,0.12,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.18,18.0,0.19,0.13,0.67,0.01,0.99,2,false,not_evaluated,,0.00,false,false,false
2026.01.29 05:19:59,order_attempt,USDJPY,SHORT,server_00_07,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,153.057,153.404,152.641,0.22,0.347,1.20,347.0,1.99,416.0,2.39,153.127,153.038,153.384,5,0.40,1.88,0.1147,20.0,131.67,true,true,true,true,false,2026.01.29 04:15:00,2026.01.29 04:30:00,2026.01.29 05:00:00,1,3,0.01,0.50,153.127,0.01,false,shallow_retest_then_go,,false,unclassified,,false,false,false,false,0.51,89.0,0.87,1.26,1.45,0.02,0.98,9,false,not_evaluated,,0.00,false,false,false
