cohort,candidates,wins,losses,win_rate,net,PF,avg_R,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,false_return_pct,avg_h4_fib,avg_sl_atr,avg_touch_count,avg_close_strength,avg_close_distance_atr,avg_context_score_v0,router_decision
2025-02_other_dirty_weak,38,13,25,34.21,47.28,1.04,0.026,2.025,0.873,39.47,34.21,52.63,50.84,1.718,8.05,0.467,0.453,3.97,
2025-08_other_dirty_weak,19,10,9,52.63,513.65,2.243,0.579,1.327,1.032,57.89,52.63,68.42,49.25,1.828,8.58,0.537,0.328,3.42,
2025_10_removed_loser_dirty_weak,12,0,12,0.0,-568.18,0.0,-1.0,0.66,1.231,25.0,0.0,83.33,44.7,1.813,6.0,0.438,0.245,4.17,
2025_10_removed_winner_dirty_weak,11,11,0,100.0,1031.96,,2.0,2.121,0.434,100.0,100.0,45.45,53.02,1.523,10.0,0.542,0.323,3.27,
2026_q1_avoided_loser_dirty_weak,82,0,82,0.0,-3772.96,0.0,-1.0,0.833,1.241,36.59,0.0,69.51,50.15,1.705,8.26,0.537,0.388,4.04,
2026_q1_removed_winner_dirty_weak,29,29,0,100.0,2769.38,,2.0,2.198,0.567,100.0,96.55,48.28,51.45,1.614,8.62,0.477,0.443,4.0,
2025-02_other_dirty_weak,27,8,19,29.63,-138.57,0.844,-0.111,1.803,0.915,37.04,29.63,51.85,51.66,1.7,8.0,0.329,0.361,3.56,dirty_skipped
2025-02_other_dirty_weak,11,5,6,45.45,185.85,1.649,0.364,2.571,0.772,45.45,45.45,54.55,48.81,1.762,8.18,0.805,0.678,5.0,weak_routed_to_retest
2025-08_other_dirty_weak,14,8,6,57.14,462.39,2.69,0.714,1.397,0.946,64.29,57.14,64.29,49.81,1.869,8.29,0.474,0.322,3.29,dirty_skipped
2025-08_other_dirty_weak,5,2,3,40.0,51.26,1.368,0.2,1.132,1.273,40.0,40.0,80.0,47.69,1.714,9.4,0.714,0.346,3.8,weak_routed_to_retest
2025_10_removed_loser_dirty_weak,9,0,9,0.0,-426.08,0.0,-1.0,0.715,1.192,22.22,0.0,77.78,44.92,1.842,6.56,0.326,0.198,3.56,dirty_skipped
2025_10_removed_loser_dirty_weak,3,0,3,0.0,-142.1,0.0,-1.0,0.495,1.351,33.33,0.0,100.0,44.01,1.727,4.33,0.773,0.387,6.0,weak_routed_to_retest
2025_10_removed_winner_dirty_weak,7,7,0,100.0,638.4,,2.0,2.117,0.432,100.0,100.0,42.86,56.23,1.733,10.0,0.514,0.351,2.86,dirty_skipped
2025_10_removed_winner_dirty_weak,4,4,0,100.0,393.56,,2.0,2.127,0.439,100.0,100.0,50.0,47.4,1.155,10.0,0.59,0.273,4.0,weak_routed_to_retest
2026_q1_avoided_loser_dirty_weak,57,0,57,0.0,-2624.98,0.0,-1.0,0.845,1.202,36.84,0.0,68.42,49.79,1.751,8.16,0.418,0.407,3.68,dirty_skipped
2026_q1_avoided_loser_dirty_weak,25,0,25,0.0,-1147.98,0.0,-1.0,0.804,1.33,36.0,0.0,72.0,50.96,1.601,8.48,0.808,0.344,4.84,weak_routed_to_retest
2026_q1_removed_winner_dirty_weak,19,19,0,100.0,1843.44,,2.0,2.218,0.588,100.0,100.0,47.37,50.5,1.631,9.0,0.376,0.452,3.53,dirty_skipped
2026_q1_removed_winner_dirty_weak,10,10,0,100.0,925.94,,2.0,2.16,0.526,100.0,90.0,50.0,53.25,1.582,7.9,0.669,0.426,4.9,weak_routed_to_retest
