variant,reward_r,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_candle_reversal_only,1.3,third_wave_initial,4,4,3,1,75.0,145.3,3.927,36.32,0.725,49.64,0.49,75.0,25.0,0,0,0,0,0.642,1.616,1617750000.0,2103075000.0,0.35
v4_candle_reversal_only,1.3,third_wave_middle,5,5,3,2,60.0,109.16,2.181,21.83,0.38,92.41,0.92,60.0,40.0,0,0,0,0,0.732,1.226,4858384000.0,6315899200.0,0.258
v4_candle_reversal_only,1.3,unclear,3,3,0,3,0.0,-147.44,0.0,-49.15,-1.0,147.44,1.47,0.0,100.0,0,0,0,0,1.179,0.911,4333333333.333,5633333333.333,0.143
v4_candle_reversal_only,1.5,chasing_entry,108,108,51,57,47.22,1346.4,1.493,12.47,0.181,446.49,3.83,47.22,52.78,0,0,0,0,0.81,1.129,18177596944.444,27266395416.667,0.102
v4_candle_reversal_only,1.5,late_entry,3,3,1,2,33.33,-22.17,0.773,-7.39,-0.167,97.47,0.97,33.33,66.67,0,0,0,0,0.972,1.165,10253666666.667,15380500000.0,0.113
v4_candle_reversal_only,1.5,third_wave_initial,4,4,3,1,75.0,175.3,4.531,43.83,0.875,49.64,0.49,75.0,25.0,0,0,0,0,0.642,1.616,1617750000.0,2426625000.0,0.35
v4_candle_reversal_only,1.5,third_wave_middle,5,5,3,2,60.0,140.16,2.517,28.03,0.5,92.41,0.92,60.0,40.0,0,0,0,0,0.732,1.273,4858384000.0,7287576000.0,0.258
v4_candle_reversal_only,1.5,unclear,3,3,0,3,0.0,-147.44,0.0,-49.15,-1.0,147.44,1.47,0.0,100.0,0,0,0,0,1.179,0.911,4333333333.333,6500000000.0,0.143
v4_micro_break_only,1.2,chasing_entry,58,58,30,28,51.72,313.05,1.23,5.4,0.138,233.11,2.24,51.72,46.55,1,0,0,0,0.77,1.019,16468762068.966,19762514482.759,0.085
v4_micro_break_only,1.2,late_entry,1,1,1,0,100.0,52.6,,52.6,1.2,0.0,0.0,100.0,0.0,0,0,0,0,0.764,1.235,14610000000.0,17532000000.0,0.03
v4_micro_break_only,1.2,third_wave_initial,3,3,1,2,33.33,-37.18,0.616,-12.39,-0.267,96.71,0.96,33.33,66.67,0,0,0,0,0.804,1.008,5960000000.0,7152000000.0,0.307
v4_micro_break_only,1.2,third_wave_middle,3,3,2,1,66.67,65.71,2.32,21.9,0.467,49.78,0.49,66.67,33.33,0,0,0,0,0.914,1.034,3121523333.333,3745828000.0,0.28
v4_micro_break_only,1.2,unclear,3,3,2,1,66.67,65.14,2.415,21.71,0.467,46.02,0.46,66.67,33.33,0,0,0,0,0.594,1.052,4476333333.333,5371600000.0,0.087
v4_micro_break_only,1.3,chasing_entry,58,58,27,31,46.55,163.16,1.11,2.81,0.071,246.79,2.37,46.55,51.72,0,0,0,0,0.81,1.084,16468762068.966,21409390689.655,0.085
v4_micro_break_only,1.3,late_entry,1,1,1,0,100.0,56.98,,56.98,1.3,0.0,0.0,100.0,0.0,0,0,0,0,0.764,1.582,14610000000.0,18993000000.0,0.03
v4_micro_break_only,1.3,third_wave_initial,3,3,1,2,33.33,-32.22,0.667,-10.74,-0.233,96.71,0.96,33.33,66.67,0,0,0,0,0.804,1.008,5960000000.0,7748000000.0,0.307
v4_micro_break_only,1.3,third_wave_middle,3,3,2,1,66.67,75.33,2.513,25.11,0.533,49.78,0.49,66.67,33.33,0,0,0,0,0.914,1.308,3121523333.333,4057980333.333,0.28
v4_micro_break_only,1.3,unclear,3,3,2,1,66.67,74.4,2.617,24.8,0.533,46.02,0.45,66.67,33.33,0,0,0,0,0.594,1.14,4476333333.333,5819233333.333,0.087
v4_micro_break_only,1.5,chasing_entry,58,58,25,33,43.1,200.24,1.127,3.45,0.078,305.66,2.91,43.1,55.17,0,0,0,0,0.842,1.127,16468762068.966,24703143103.448,0.085
v4_micro_break_only,1.5,late_entry,1,1,1,0,100.0,65.74,,65.74,1.5,0.0,0.0,100.0,0.0,0,0,0,0,0.764,1.582,14610000000.0,21915000000.0,0.03
v4_micro_break_only,1.5,third_wave_initial,3,3,1,2,33.33,-22.3,0.769,-7.43,-0.167,96.71,0.96,33.33,66.67,0,0,0,0,0.804,1.008,5960000000.0,8940000000.0,0.307
v4_micro_break_only,1.5,third_wave_middle,3,3,1,2,33.33,-31.02,0.69,-10.34,-0.167,100.02,1.0,33.33,66.67,0,0,0,0,0.974,1.352,3121523333.333,4682285000.0,0.28
v4_micro_break_only,1.5,unclear,3,3,2,1,66.67,92.93,3.019,30.98,0.667,46.02,0.45,66.67,33.33,0,0,0,0,0.594,1.267,4476333333.333,6714500000.0,0.087
v4_micro_or_candle,1.2,chasing_entry,122,122,65,57,53.28,1317.02,1.48,10.8,0.172,403.9,3.49,53.28,46.72,0,0,0,0,0.766,1.004,17459842049.18,20951810459.016,0.1
