period,symbol,direction,entry_time,label,result_R,net_profit,scan_driver_symbol,entry_timing_label,failure_type,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,time_to_0_5R,time_to_1R,time_to_SL,bos_to_entry_atr,bos_to_entry_bars,entry_after_wave_consumed_pct,entry_to_next_h1_obstacle_R,entry_to_next_h4_obstacle_R
2025-02,EURJPY,SHORT,2025.02.03 01:50:00,chasing_entry,-1.017,-49.3,USDJPY,chasing_entry,chasing_entry,0.776,1.71,True,False,False,,,,2.41,7,,,
2025-02,AUDJPY,SHORT,2025.02.03 01:50:00,chasing_entry,-1.0,-48.24,USDJPY,chasing_entry,chasing_entry,0.549,1.011,True,False,False,,,,2.82,7,,,
2025-02,EURJPY,SHORT,2025.02.03 02:50:00,late_entry,-1.006,-48.85,USDJPY,late_entry,late_entry,0.814,1.078,True,False,False,,,,1.8,11,,,
2025-02,AUDJPY,SHORT,2025.02.03 02:20:00,chasing_entry,2.0,97.9,USDJPY,chasing_entry,,2.329,0.683,True,True,True,,,,2.49,9,,,
2025-02,EURJPY,SHORT,2025.02.04 08:05:00,clean_structural_bos,-1.01,-50.05,USDJPY,false_bos_entry,h4_context_wrong,0.399,1.068,False,False,False,10.0,10.0,,0.84,4,50.91,6.159,
2025-02,GBPJPY,LONG,2025.02.25 15:50:00,clean_structural_bos,-1.008,-48.4,USDJPY,false_bos_entry,h4_context_wrong,0.389,1.351,False,False,False,,,10.0,0.46,5,46.46,1.167,
2026-Q1,USDJPY,LONG,2026.01.06 20:05:00,chasing_entry,-1.0,-49.79,USDJPY,chasing_entry,chasing_entry,0.205,1.949,False,False,False,25.0,,40.0,2.9,12,420.29,0.833,
2026-Q1,GBPUSD,LONG,2026.01.21 17:20:00,clean_structural_bos,-1.0,-47.84,USDJPY,bad_context_entry,h4_context_wrong,0.548,1.221,True,False,False,235.0,,,0.56,3,36.84,0.712,
2026-Q1,USDJPY,SHORT,2026.02.12 18:50:00,clean_structural_bos,-1.011,-53.14,USDJPY,bad_context_entry,h4_context_wrong,0.549,1.756,True,False,False,235.0,250.0,10.0,0.27,4,19.85,1.342,
2026-Q1,EURUSD,SHORT,2026.02.12 19:20:00,clean_structural_bos,2.005,100.89,USDJPY,good_timing,,2.293,0.678,True,True,True,325.0,1900.0,,0.44,1,23.4,0.927,
2026-Q1,GBPJPY,SHORT,2026.02.19 16:50:00,clean_structural_bos,-1.0,-49.39,USDJPY,false_bos_entry,h4_context_wrong,0.308,2.658,False,False,False,,,10.0,0.38,1,88.37,,
2026-Q1,USDJPY,LONG,2026.02.26 09:35:00,clean_structural_bos,-1.014,-49.07,USDJPY,bad_context_entry,h4_context_wrong,0.586,1.32,True,False,False,10.0,10.0,,0.19,2,11.88,1.892,
2026-Q1,EURUSD,LONG,2026.03.23 15:50:00,late_entry,-1.004,-47.66,USDJPY,late_entry,late_entry,0.7,1.225,True,False,False,1165.0,,130.0,1.72,7,100.58,,
