scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,m15_prev_extreme_bos,47,27.66,0.758,-0.169,-413.83,697.9,6.82,1.199,1.12,68.09,48.94,27.66,18,29,-148.84,-264.99,-0.159,-0.175,6,11,AUDJPY:1;EURJPY:7;EURUSD:3;GBPJPY:5;GBPUSD:9;USDJPY:22,2025-01:6;2025-02:3;2025-03:4;2025-04:10;2025-05:1;2025-06:3;2025-07:5;2025-08:6;2025-09:4;2025-10:2;2025-11:3,LONG:18;SHORT:29
A_current_broad_fx_only,m15_true_bos_close,16,25.0,0.673,-0.251,-189.84,531.83,5.14,1.166,0.997,56.25,50.0,25.0,10,6,-43.36,-146.48,-0.1,-0.503,6,10,AUDJPY:1;EURJPY:2;EURUSD:5;GBPJPY:1;GBPUSD:2;USDJPY:5,2025-01:1;2025-02:1;2025-03:3;2025-06:1;2025-07:1;2025-08:2;2025-09:1;2025-10:1;2025-11:3;2025-12:2,LONG:10;SHORT:6
B_broad_hard_gate_reduced,m15_micro_break,380,28.95,0.9,0.115,-475.51,1349.23,12.41,1.369,1.19,70.79,52.63,29.21,193,187,-577.46,101.95,0.109,0.122,6,12,AUDJPY:14;EURJPY:44;EURUSD:56;GBPJPY:52;GBPUSD:67;USDJPY:147,2025-01:32;2025-02:41;2025-03:37;2025-04:69;2025-05:38;2025-06:32;2025-07:19;2025-08:22;2025-09:14;2025-10:30;2025-11:28;2025-12:18,LONG:193;SHORT:187
B_broad_hard_gate_reduced,m15_prev_extreme_bos,76,23.68,0.736,-0.02,-282.58,364.11,3.64,1.48,1.226,76.32,56.58,18.42,29,47,-134.26,-148.32,0.176,-0.141,6,11,AUDJPY:4;EURJPY:11;EURUSD:10;GBPJPY:9;GBPUSD:20;USDJPY:22,2025-01:8;2025-02:9;2025-03:6;2025-04:15;2025-05:7;2025-06:2;2025-07:5;2025-08:3;2025-09:9;2025-10:5;2025-11:7,LONG:29;SHORT:47
B_broad_hard_gate_reduced,m15_reversal_candle,2555,30.49,0.832,-0.121,-5686.3,5970.62,58.35,1.369,1.334,68.85,50.29,29.51,1327,1228,-3479.64,-2206.66,-0.097,-0.146,6,12,AUDJPY:143;EURJPY:335;EURUSD:374;GBPJPY:330;GBPUSD:425;USDJPY:948,2025-01:267;2025-02:249;2025-03:307;2025-04:376;2025-05:253;2025-06:197;2025-07:188;2025-08:140;2025-09:138;2025-10:191;2025-11:131;2025-12:118,LONG:1327;SHORT:1228
B_broad_hard_gate_reduced,m15_short_ma_reversal,900,27.89,0.806,-0.141,-2388.79,2757.9,26.64,1.318,1.298,70.22,49.78,27.22,395,505,-1195.89,-1192.9,-0.092,-0.179,6,12,AUDJPY:55;EURJPY:113;EURUSD:118;GBPJPY:114;GBPUSD:145;USDJPY:355,2025-01:100;2025-02:74;2025-03:123;2025-04:142;2025-05:93;2025-06:71;2025-07:49;2025-08:59;2025-09:46;2025-10:60;2025-11:46;2025-12:37,LONG:395;SHORT:505
B_broad_hard_gate_reduced,m15_true_bos_close,88,21.59,0.622,0.107,-394.44,545.29,5.37,1.094,1.0,61.36,37.5,19.32,50,38,-299.76,-94.68,0.295,-0.141,6,12,AUDJPY:4;EURJPY:15;EURUSD:18;GBPJPY:11;GBPUSD:16;USDJPY:24,2025-01:6;2025-02:4;2025-03:11;2025-04:8;2025-05:11;2025-06:9;2025-07:5;2025-08:6;2025-09:9;2025-10:7;2025-11:10;2025-12:2,LONG:50;SHORT:38
C_sweep_reclaim_only,sweep_reclaim,1815,29.64,0.833,-0.069,-6672.82,7714.65,70.61,1.337,1.226,70.63,49.48,28.98,836,979,-3488.56,-3184.26,-0.117,-0.027,6,12,AUDJPY:89;EURJPY:197;EURUSD:262;GBPJPY:207;GBPUSD:291;USDJPY:769,2025-01:175;2025-02:159;2025-03:259;2025-04:342;2025-05:189;2025-06:144;2025-07:120;2025-08:84;2025-09:73;2025-10:129;2025-11:78;2025-12:63,LONG:836;SHORT:979
D_bos_retest_only,bos_retest,1635,29.3,0.798,-0.142,-6856.0,7227.03,70.12,1.319,1.206,67.52,48.81,29.91,806,829,-3732.11,-3123.89,-0.13,-0.154,6,12,AUDJPY:100;EURJPY:187;EURUSD:223;GBPJPY:200;GBPUSD:280;USDJPY:645,2025-01:184;2025-02:176;2025-03:201;2025-04:266;2025-05:157;2025-06:129;2025-07:115;2025-08:94;2025-09:78;2025-10:107;2025-11:69;2025-12:59,LONG:806;SHORT:829
E_first_pullback_after_reclaim_only,first_pullback_after_reclaim,2888,29.95,0.837,-0.064,-8188.47,9197.42,84.07,1.314,1.253,68.07,48.72,28.53,1443,1445,-3726.08,-4462.39,-0.028,-0.1,6,12,AUDJPY:170;EURJPY:346;EURUSD:433;GBPJPY:353;GBPUSD:514;USDJPY:1072,2025-01:322;2025-02:322;2025-03:355;2025-04:433;2025-05:282;2025-06:223;2025-07:174;2025-08:150;2025-09:139;2025-10:226;2025-11:158;2025-12:104,LONG:1443;SHORT:1445
F_combined_new_triggers,bos_retest,888,20.61,0.544,-0.071,-5781.68,5787.21,57.87,1.172,1.095,66.55,43.92,22.52,429,459,-2595.51,-3186.17,-0.162,0.015,6,12,AUDJPY:60;EURJPY:112;EURUSD:126;GBPJPY:108;GBPUSD:163;USDJPY:319,2025-01:99;2025-02:98;2025-03:102;2025-04:115;2025-05:79;2025-06:63;2025-07:69;2025-08:61;2025-09:58;2025-10:68;2025-11:39;2025-12:37,LONG:429;SHORT:459
F_combined_new_triggers,first_pullback_after_reclaim,1414,28.36,0.763,-0.038,-4579.13,5180.28,49.04,1.269,1.235,67.4,47.95,26.31,739,675,-2536.16,-2042.97,-0.018,-0.059,6,12,AUDJPY:89;EURJPY:179;EURUSD:202;GBPJPY:182;GBPUSD:248;USDJPY:514,2025-01:171;2025-02:166;2025-03:148;2025-04:184;2025-05:150;2025-06:113;2025-07:83;2025-08:77;2025-09:60;2025-10:109;2025-11:91;2025-12:62,LONG:739;SHORT:675
F_combined_new_triggers,sweep_reclaim,1595,35.05,1.063,-0.027,1169.88,2051.82,17.29,1.502,1.422,75.11,54.86,31.85,724,871,730.24,439.64,-0.029,-0.025,6,12,AUDJPY:81;EURJPY:170;EURUSD:237;GBPJPY:188;GBPUSD:258;USDJPY:661,2025-01:158;2025-02:138;2025-03:239;2025-04:281;2025-05:167;2025-06:128;2025-07:103;2025-08:76;2025-09:67;2025-10:116;2025-11:70;2025-12:52,LONG:724;SHORT:871
G_combined_new_triggers_room_to_2r,bos_retest,543,21.92,0.644,-0.061,-2562.12,2827.76,27.55,1.197,1.089,66.11,43.83,24.13,265,278,-1026.93,-1535.19,-0.171,0.044,6,12,AUDJPY:35;EURJPY:69;EURUSD:81;GBPJPY:71;GBPUSD:95;USDJPY:192,2025-01:49;2025-02:65;2025-03:63;2025-04:73;2025-05:52;2025-06:42;2025-07:45;2025-08:32;2025-09:38;2025-10:40;2025-11:22;2025-12:22,LONG:265;SHORT:278
G_combined_new_triggers_room_to_2r,first_pullback_after_reclaim,862,27.96,0.707,-0.04,-3625.72,3898.89,38.0,1.309,1.283,67.98,48.03,27.15,442,420,-1761.23,-1864.49,-0.003,-0.079,6,12,AUDJPY:60;EURJPY:107;EURUSD:126;GBPJPY:113;GBPUSD:137;USDJPY:319,2025-01:110;2025-02:105;2025-03:85;2025-04:112;2025-05:94;2025-06:63;2025-07:59;2025-08:50;2025-09:33;2025-10:67;2025-11:51;2025-12:33,LONG:442;SHORT:420
G_combined_new_triggers_room_to_2r,sweep_reclaim,1181,35.14,1.099,-0.015,1341.37,1632.06,13.88,1.557,1.47,75.36,55.88,33.53,514,667,539.82,801.55,-0.057,0.017,6,12,AUDJPY:49;EURJPY:116;EURUSD:179;GBPJPY:126;GBPUSD:188;USDJPY:523,2025-01:121;2025-02:93;2025-03:172;2025-04:207;2025-05:131;2025-06:95;2025-07:86;2025-08:58;2025-09:48;2025-10:86;2025-11:44;2025-12:40,LONG:514;SHORT:667
H_combined_new_triggers_h4_ma_bias,bos_retest,318,18.24,0.51,-0.245,-2451.65,2656.95,26.04,1.058,1.19,65.72,40.88,18.24,164,154,-904.4,-1547.25,-0.364,-0.118,6,12,AUDJPY:28;EURJPY:38;EURUSD:56;GBPJPY:34;GBPUSD:66;USDJPY:96,2025-01:41;2025-02:37;2025-03:43;2025-04:42;2025-05:29;2025-06:23;2025-07:22;2025-08:16;2025-09:18;2025-10:23;2025-11:10;2025-12:14,LONG:164;SHORT:154
H_combined_new_triggers_h4_ma_bias,first_pullback_after_reclaim,523,27.15,0.697,-0.178,-2268.91,2375.52,23.63,1.196,1.276,63.67,44.74,23.9,288,235,-1549.41,-719.5,-0.225,-0.122,6,12,AUDJPY:35;EURJPY:69;EURUSD:77;GBPJPY:61;GBPUSD:96;USDJPY:185,2025-01:58;2025-02:63;2025-03:68;2025-04:73;2025-05:49;2025-06:37;2025-07:25;2025-08:13;2025-09:22;2025-10:43;2025-11:43;2025-12:29,LONG:288;SHORT:235
H_combined_new_triggers_h4_ma_bias,sweep_reclaim,550,35.45,1.142,-0.014,911.87,525.58,4.94,1.555,1.46,76.0,56.36,31.27,257,293,284.13,627.74,-0.012,-0.015,6,12,AUDJPY:28;EURJPY:62;EURUSD:92;GBPJPY:56;GBPUSD:77;USDJPY:235,2025-01:57;2025-02:50;2025-03:87;2025-04:93;2025-05:68;2025-06:40;2025-07:32;2025-08:26;2025-09:19;2025-10:31;2025-11:24;2025-12:23,LONG:257;SHORT:293
I_combined_new_triggers_h4_ma_room_to_2r,bos_retest,180,19.44,0.575,-0.258,-1105.86,1362.87,13.29,1.061,1.161,63.33,40.56,20.0,88,92,-353.14,-752.72,-0.32,-0.2,6,12,AUDJPY:16;EURJPY:20;EURUSD:34;GBPJPY:20;GBPUSD:36;USDJPY:54,2025-01:21;2025-02:18;2025-03:25;2025-04:29;2025-05:18;2025-06:16;2025-07:12;2025-08:6;2025-09:8;2025-10:15;2025-11:3;2025-12:9,LONG:88;SHORT:92
I_combined_new_triggers_h4_ma_room_to_2r,first_pullback_after_reclaim,281,28.11,0.726,-0.203,-1159.76,1181.56,11.79,1.242,1.348,64.06,43.77,25.98,146,135,-621.53,-538.23,-0.236,-0.169,6,12,AUDJPY:23;EURJPY:36;EURUSD:41;GBPJPY:34;GBPUSD:44;USDJPY:103,2025-01:33;2025-02:38;2025-03:39;2025-04:41;2025-05:25;2025-06:15;2025-07:9;2025-08:9;2025-09:11;2025-10:27;2025-11:22;2025-12:12,LONG:146;SHORT:135
I_combined_new_triggers_h4_ma_room_to_2r,sweep_reclaim,370,34.86,1.219,-0.005,943.21,380.87,3.56,1.626,1.554,77.03,58.11,32.97,162,208,161.1,782.11,-0.104,0.072,6,12,AUDJPY:17;EURJPY:37;EURUSD:66;GBPJPY:32;GBPUSD:50;USDJPY:168,2025-01:45;2025-02:30;2025-03:53;2025-04:63;2025-05:52;2025-06:26;2025-07:23;2025-08:15;2025-09:11;2025-10:23;2025-11:12;2025-12:17,LONG:162;SHORT:208
