entry_selection_mode,router_decision,candidates,hypothetical_wins,hypothetical_losses,hypothetical_win_rate,hypothetical_net_profit,hypothetical_profit_factor,hypothetical_expected_payoff,hypothetical_avg_R,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct,same_bar_ambiguous,fx_hypothetical_net,xauusd_hypothetical_net,long_hypothetical_net,short_hypothetical_net
ALL_SCORE_PASSING,dirty_skipped,133,42,91,31.58,-245.4,0.942,-1.85,-0.053,1.352,0.988,69.92,51.13,31.58,60.9,0,-258.9,13.5,-266.83,21.43
ALL_SCORE_PASSING,strong_blocked_existing_position,1,1,0,100.0,96.84,,96.84,2.0,2.217,0.918,100.0,100.0,100.0,100.0,0,0,96.84,96.84,0
ALL_SCORE_PASSING,strong_blocked_spread_guard,7,5,2,71.43,417.54,6.733,59.65,1.143,1.517,0.707,71.43,71.43,71.43,85.71,0,417.54,0,0,417.54
ALL_SCORE_PASSING,strong_ordered,8,3,5,37.5,59.29,1.263,7.41,0.125,1.298,0.975,75.0,62.5,37.5,75.0,0,-49.63,108.92,56.8,2.49
ALL_SCORE_PASSING,weak_routed_to_retest,58,21,37,36.21,266.53,1.155,4.6,0.086,1.477,1.02,68.97,53.45,34.48,65.52,0,491.23,-224.7,-146.87,413.4
BEST_ONLY,dirty_skipped,133,42,91,31.58,-245.4,0.942,-1.85,-0.053,1.352,0.988,69.92,51.13,31.58,60.9,0,-258.9,13.5,-266.83,21.43
BEST_ONLY,strong_blocked_spread_guard,7,5,2,71.43,417.54,6.733,59.65,1.143,1.517,0.707,71.43,71.43,71.43,85.71,0,417.54,0,0,417.54
BEST_ONLY,strong_not_ordered,1,1,0,100.0,96.84,,96.84,2.0,2.217,0.918,100.0,100.0,100.0,100.0,0,0,96.84,96.84,0
BEST_ONLY,strong_ordered,8,3,5,37.5,59.29,1.263,7.41,0.125,1.298,0.975,75.0,62.5,37.5,75.0,0,-49.63,108.92,56.8,2.49
BEST_ONLY,weak_routed_to_retest,58,21,37,36.21,266.53,1.155,4.6,0.086,1.477,1.02,68.97,53.45,34.48,65.52,0,491.23,-224.7,-146.87,413.4
