run,scenario,prefix,elapsed_seconds
B,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_fixed_condition_bt_B_fixed_room2r,52.6
C,Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_fixed_condition_bt_C_fixed_h4ma_room2r,52.5
D,Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_fixed_condition_bt_D_fixed_h4ma_m15close_room2r,52.4
E,Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_fixed_condition_bt_E_fixed_h4fib_room2r,52.4
F,Nested_Fixed_H4MA_H4Fib_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_fixed_condition_bt_F_fixed_h4ma_h4fib_m15close_room2r,52.5
