period,variant,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount,elapsed_seconds,csv_bytes
2025-02,current_thirdwave_current_sl_1_5R,16,10,6,62.5,373.68,2.293,23.36,0.502,102.46,0.99,2,-96.12,102.97,270.71,237.09,136.59,81.25,62.5,647.1,3.396,970.6,5.093,0.108,0.32,47.18,72.9,609118
2025-02,v4_micro_or_candle_current_sl_1_5R,18,9,9,50.0,190.77,1.427,10.6,0.246,167.39,1.64,3,-147.48,65.71,125.06,-135.71,326.48,66.67,55.56,491.1,2.48,736.7,3.72,0.148,0.34,47.75,62.9,682690
2025-02,v4_micro_or_candle_lower_tf_sl_1_2R,15,10,5,66.67,312.15,2.241,20.81,0.475,149.3,1.45,3,-149.3,17.18,294.97,70.05,242.1,73.33,60.0,507.9,2.387,609.5,2.865,0.145,0.51,47.5,62.8,660163
2025-02,v4_micro_or_candle_lower_tf_sl_1_3R,15,8,7,53.33,126.55,1.36,8.44,0.232,149.3,1.47,3,-149.3,-85.45,212.0,-20.75,147.3,73.33,60.0,507.9,2.387,660.3,3.104,0.143,0.5,47.34,62.8,660166
2025-02,v4_micro_or_candle_lower_tf_sl_1_5R,15,7,8,46.67,104.19,1.272,6.95,0.168,160.54,1.59,3,-144.09,-75.83,180.02,-77.69,181.88,73.33,60.0,507.9,2.387,761.9,3.581,0.141,0.49,46.61,62.8,660232
2025-02,v4_without_weak_lower_tf_sl_1_2R,18,11,7,61.11,273.25,1.777,15.18,0.352,149.3,1.45,3,-149.3,-21.72,294.97,70.05,203.2,61.11,50.0,461.2,2.221,553.5,2.665,0.195,0.61,47.92,62.8,754612
2025-02,v4_without_weak_lower_tf_sl_1_3R,18,10,8,55.56,226.43,1.561,12.58,0.289,189.22,1.84,3,-149.3,-2.4,228.83,-6.91,233.34,61.11,50.0,461.2,2.221,599.6,2.887,0.196,0.61,48.56,62.8,754602
2025-08,current_thirdwave_current_sl_1_5R,13,5,8,38.46,-40.11,0.899,-3.09,-0.032,247.81,2.45,5,-247.81,76.22,-116.33,-70.61,30.5,92.31,53.85,531.6,2.815,797.4,4.223,0.155,0.8,48.25,73.0,610658
2025-08,v4_micro_or_candle_current_sl_1_5R,26,11,15,42.31,66.5,1.09,2.56,0.064,266.48,2.61,4,-201.37,-126.38,192.88,218.81,-152.31,80.77,50.0,380.7,2.197,571.0,3.295,0.205,0.82,48.5,73.1,752126
2025-08,v4_micro_or_candle_lower_tf_sl_1_2R,25,13,12,52.0,166.35,1.278,6.65,0.151,152.57,1.49,3,-152.57,-143.62,309.97,215.63,-49.28,80.0,52.0,380.0,2.22,456.0,2.664,0.201,0.6,48.73,73.0,735344
