variant,sl_mode,session,month,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_08_15,2025-10,9,9,3,6,33.33,-85.21,0.693,-9.47,-0.222,140.16,1.4,33.33,66.67,1,0,0,0,0.899,0.941,6515666666.667,8687555555.556,0.137
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_08_15,2026-01,24,24,14,10,58.33,452.57,2.002,18.86,0.354,290.71,2.77,58.33,41.67,0,0,0,0,0.877,1.271,15391821250.0,20522428333.333,0.13
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_08_15,2026-02,9,9,0,9,0.0,-573.36,0.0,-63.71,-1.0,573.36,5.73,0.0,100.0,0,0,0,0,1.08,0.488,37990000000.0,50653333333.333,0.043
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_08_15,2026-03,15,15,6,9,40.0,-178.36,0.68,-11.89,-0.087,288.87,2.86,40.0,60.0,0,0,0,0,0.825,0.957,25652784000.0,34203712000.0,0.124
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2025-02,6,6,3,3,50.0,48.45,1.348,8.08,0.167,139.23,1.39,50.0,50.0,0,0,0,0,0.521,1.061,7225000000.0,9633333333.334,0.065
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2025-08,12,12,9,3,75.0,452.45,4.368,37.7,0.75,134.34,1.32,75.0,25.0,0,0,0,0,0.629,1.348,3202500000.0,4270000000.0,0.308
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2025-10,18,18,12,6,66.67,472.34,2.728,26.24,0.556,144.0,1.44,66.67,33.33,0,0,0,0,0.678,1.22,7119833333.333,9493111111.111,0.107
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2026-01,6,6,3,3,50.0,67.58,1.528,11.26,0.167,128.1,1.26,50.0,50.0,0,0,0,0,0.743,1.277,12815000000.0,17086666666.666,0.035
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2026-02,15,15,7,8,46.67,36.76,1.099,2.45,0.08,320.52,3.21,46.67,33.33,0,0,0,0,0.698,1.016,16901186000.0,22534914666.667,0.07
v4_micro_break_only,MID_TF_STRUCTURE_SL,server_16_23,2026-03,9,9,3,6,33.33,-85.45,0.7,-9.49,-0.222,285.24,2.8,33.33,66.67,0,0,0,0,0.763,0.991,23703783333.334,31605044444.445,0.133
v4_micro_or_candle,CURRENT_SL,server_00_07,2025-02,12,12,3,9,25.0,-235.51,0.439,-19.63,-0.417,269.76,2.69,25.0,75.0,0,0,0,0,0.948,0.918,5708500000.0,7611333333.333,0.118
v4_micro_or_candle,CURRENT_SL,server_00_07,2025-08,27,27,6,21,22.22,-638.31,0.382,-23.64,-0.481,686.13,6.83,22.22,77.78,0,0,0,0,0.909,0.807,2754333333.333,3672444444.445,0.208
v4_micro_or_candle,CURRENT_SL,server_00_07,2025-10,18,18,6,12,33.33,-172.6,0.675,-9.59,-0.222,394.65,3.86,33.33,66.67,0,0,0,0,0.784,0.707,10972833333.333,14630444444.445,0.058
v4_micro_or_candle,CURRENT_SL,server_00_07,2026-01,12,12,6,6,50.0,12.67,1.034,1.06,0.167,375.54,3.62,50.0,50.0,0,0,0,0,0.757,1.134,24130665000.0,32174220000.0,0.072
v4_micro_or_candle,CURRENT_SL,server_00_07,2026-02,24,24,12,12,50.0,649.08,2.191,27.05,0.167,277.32,2.55,50.0,50.0,0,0,0,0,0.955,1.085,42525000000.0,56700000000.0,0.021
v4_micro_or_candle,CURRENT_SL,server_00_07,2026-03,27,27,15,12,55.56,481.6,1.971,17.84,0.296,215.61,2.05,55.56,44.44,0,0,0,0,0.732,1.164,20677777777.778,27570370370.37,0.028
v4_micro_or_candle,CURRENT_SL,server_08_15,2025-02,15,15,10,5,66.67,375.24,2.498,25.02,0.547,149.7,1.45,66.67,33.33,0,0,0,0,0.785,1.464,4250200000.0,5666933333.333,0.126
