period,scenario,event,symbol,direction,session,label,fail_reason,breakout_quality_label,breakout_quality_reason,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURJPY,SHORT,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,0.16,0.05,0.03,0.56,0.37,0.58,8
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router|breakout_bar_overextended,1.18,0.77,2.43,3.18,0.23,0.77,10
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,USDJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|sl_too_wide_for_router,0.82,0.89,1.04,1.17,0.0,0.11,7
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.81,0.68,0.8,1.18,0.05,0.27,11
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.37,0.7,0.44,0.63,0.22,0.08,10
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.09,0.34,0.22,0.65,0.06,0.59,10
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|breakout_bar_overextended,0.53,0.63,2.19,3.47,0.14,0.23,10
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,0.09,0.16,0.12,0.75,0.67,0.33,10
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick,0.54,0.22,0.14,0.63,0.59,0.41,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,large_directional_wick,0.1,0.04,0.04,1.02,0.46,0.54,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|sl_too_wide_for_router,0.31,0.27,0.19,0.68,0.33,0.39,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick,0.25,0.14,0.08,0.62,0.45,0.41,6
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.13,0.73,1.09,1.5,0.23,0.04,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURJPY,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.05,0.37,0.28,0.75,0.03,0.97,11
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURJPY,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,0.07,0.02,0.01,0.71,0.76,0.24,11
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURUSD,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,1.11,0.78,0.65,0.83,0.02,0.98,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.36,0.87,2.32,2.67,0.05,0.08,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.01,0.23,0.1,0.45,0.16,0.84,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,0.8,0.7,1.09,1.56,0.25,0.75,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.44,0.39,0.37,0.93,0.2,0.4,10
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick|sl_too_wide_for_router,0.28,0.43,0.28,0.65,0.57,0.43,12
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close,0.06,0.5,0.55,1.12,0.36,0.15,18
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick,0.54,0.22,0.14,0.63,0.59,0.41,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,large_directional_wick,0.1,0.04,0.04,1.02,0.46,0.54,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|sl_too_wide_for_router,0.31,0.27,0.19,0.68,0.33,0.39,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick,0.25,0.14,0.08,0.62,0.45,0.41,6
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.13,0.73,1.09,1.5,0.23,0.04,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURJPY,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.05,0.37,0.28,0.75,0.03,0.97,11
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURJPY,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,0.07,0.02,0.01,0.71,0.76,0.24,11
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,EURUSD,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,1.11,0.78,0.65,0.83,0.02,0.98,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.36,0.87,2.32,2.67,0.05,0.08,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.01,0.23,0.1,0.45,0.16,0.84,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,0.8,0.7,1.09,1.56,0.25,0.75,9
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.44,0.39,0.37,0.93,0.2,0.4,10
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick|sl_too_wide_for_router,0.28,0.43,0.28,0.65,0.57,0.43,12
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,blocked_candidate,GBPJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close,0.06,0.5,0.55,1.12,0.36,0.15,18
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.43,0.72,0.39,0.54,0.18,0.1,14
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|sl_too_wide_for_router,0.43,0.84,0.8,0.95,0.01,0.15,4
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,0.03,0.05,0.02,0.36,0.81,0.14,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance,0.06,0.08,0.03,0.39,0.05,0.95,8
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,0.03,0.07,0.02,0.3,0.68,0.25,9
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,0.06,0.67,0.72,1.07,0.28,0.04,11
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,GBPJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,0.27,0.34,0.22,0.64,0.26,0.74,10
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close,0.04,0.87,1.51,1.74,0.13,0.0,5
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURJPY,LONG,server_00_07,dirty_breakout,dirty_breakout,dirty_breakout,sl_too_wide_for_router,0.16,0.92,0.61,0.66,0.07,0.93,12
