month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
2025-02,16,10,6,62.5,373.68,2.293,23.36,0.502,102.46,0.99
2025-08,13,5,8,38.46,-40.11,0.899,-3.09,-0.032,247.81,2.45
2025-10,20,11,9,55.0,345.18,1.823,17.26,0.378,176.76,1.75
2026-01,21,10,11,47.62,243.37,1.475,11.59,0.222,277.88,2.67
2026-02,18,7,11,38.89,129.28,1.268,7.18,0.027,198.96,1.94
2026-03,21,10,11,47.62,237.56,1.454,11.31,0.196,193.39,1.87
