run,scenario,prefix,elapsed_seconds
G,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_nested_router_G_router_best,52.8
H,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_nested_router_H_router_all,52.6
