scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
F_combined_new_triggers,target_too_far_after_1r,207,0.0,0.0,-0.225,-3831.39,3831.39,38.31,1.416,1.245,100.0,99.52,0.0,95,112,-1464.21,-2367.18,-0.122,-0.311,6,12,AUDJPY:14;EURJPY:28;EURUSD:25;GBPJPY:23;GBPUSD:30;USDJPY:87,2025-01:24;2025-02:20;2025-03:30;2025-04:27;2025-05:22;2025-06:12;2025-07:17;2025-08:12;2025-09:11;2025-10:15;2025-11:11;2025-12:6,LONG:95;SHORT:112
F_combined_new_triggers,win,1143,100.0,,0.592,41304.3,0.0,0.0,1.985,1.3,84.69,74.1,62.64,562,581,20372.12,20932.18,0.567,0.616,6,12,AUDJPY:69;EURJPY:150;EURUSD:166;GBPJPY:144;GBPUSD:186;USDJPY:428,2025-01:136;2025-02:118;2025-03:126;2025-04:171;2025-05:113;2025-06:89;2025-07:77;2025-08:69;2025-09:53;2025-10:84;2025-11:62;2025-12:45,LONG:562;SHORT:581
G_combined_new_triggers_room_to_2r,bad_h4_context,980,0.0,0.0,-0.22,-17679.83,17679.83,176.8,1.156,1.262,66.53,41.33,15.0,463,517,-9297.39,-8382.44,-0.204,-0.235,6,12,AUDJPY:48;EURJPY:99;EURUSD:144;GBPJPY:117;GBPUSD:163;USDJPY:409,2025-01:101;2025-02:100;2025-03:110;2025-04:152;2025-05:100;2025-06:79;2025-07:74;2025-08:59;2025-09:51;2025-10:87;2025-11:40;2025-12:27,LONG:463;SHORT:517
G_combined_new_triggers_room_to_2r,bos_retest_failed,88,0.0,0.0,-0.917,-1477.08,1477.08,14.77,0.254,1.255,0.0,0.0,0.0,54,34,-805.31,-671.77,-0.963,-0.843,6,12,AUDJPY:5;EURJPY:6;EURUSD:14;GBPJPY:11;GBPUSD:22;USDJPY:30,2025-01:8;2025-02:8;2025-03:10;2025-04:13;2025-05:11;2025-06:11;2025-07:5;2025-08:7;2025-09:4;2025-10:3;2025-11:4;2025-12:4,LONG:54;SHORT:34
G_combined_new_triggers_room_to_2r,chasing_entry,26,0.0,0.0,0.003,-430.6,430.6,4.31,1.217,1.256,100.0,26.92,26.92,11,15,-97.77,-332.83,0.238,-0.17,6,11,AUDJPY:2;EURJPY:3;EURUSD:5;GBPJPY:2;GBPUSD:2;USDJPY:12,2025-01:2;2025-02:2;2025-03:3;2025-04:5;2025-05:2;2025-06:3;2025-07:2;2025-08:1;2025-10:3;2025-11:2;2025-12:1,LONG:11;SHORT:15
G_combined_new_triggers_room_to_2r,first_pullback_failed,123,0.0,0.0,-1.056,-2477.94,2477.94,24.78,0.245,1.433,0.0,0.0,0.0,66,57,-1416.47,-1061.47,-1.129,-0.972,6,12,AUDJPY:10;EURJPY:19;EURUSD:16;GBPJPY:12;GBPUSD:19;USDJPY:47,2025-01:14;2025-02:16;2025-03:21;2025-04:12;2025-05:11;2025-06:5;2025-07:3;2025-08:6;2025-09:4;2025-10:14;2025-11:10;2025-12:7,LONG:66;SHORT:57
G_combined_new_triggers_room_to_2r,other,295,0.0,0.0,0.313,-5750.03,5750.03,57.5,1.869,1.377,100.0,43.39,43.39,119,176,-1856.07,-3893.96,0.308,0.316,6,12,AUDJPY:16;EURJPY:32;EURUSD:45;GBPJPY:35;GBPUSD:47;USDJPY:120,2025-01:32;2025-02:33;2025-03:46;2025-04:49;2025-05:28;2025-06:23;2025-07:16;2025-08:12;2025-09:10;2025-10:17;2025-11:11;2025-12:18,LONG:119;SHORT:176
G_combined_new_triggers_room_to_2r,sweep_reclaim_no_follow_through,92,0.0,0.0,-1.114,-1475.74,1475.74,14.76,0.27,1.515,0.0,0.0,0.0,46,46,-678.43,-797.31,-1.115,-1.112,6,11,AUDJPY:3;EURJPY:5;EURUSD:16;GBPJPY:12;GBPUSD:10;USDJPY:46,2025-01:5;2025-02:11;2025-03:11;2025-04:11;2025-05:19;2025-06:8;2025-07:8;2025-08:6;2025-09:3;2025-11:7;2025-12:3,LONG:46;SHORT:46
G_combined_new_triggers_room_to_2r,target_too_far_after_1r,207,0.0,0.0,-0.225,-3831.39,3831.39,38.31,1.416,1.245,100.0,99.52,0.0,95,112,-1464.21,-2367.18,-0.122,-0.311,6,12,AUDJPY:14;EURJPY:28;EURUSD:25;GBPJPY:23;GBPUSD:30;USDJPY:87,2025-01:24;2025-02:20;2025-03:30;2025-04:27;2025-05:22;2025-06:12;2025-07:17;2025-08:12;2025-09:11;2025-10:15;2025-11:11;2025-12:6,LONG:95;SHORT:112
G_combined_new_triggers_room_to_2r,win,775,100.0,,0.513,28276.14,0.0,0.0,1.976,1.386,84.52,73.03,61.81,367,408,13367.31,14908.83,0.46,0.561,6,12,AUDJPY:46;EURJPY:100;EURUSD:121;GBPJPY:98;GBPUSD:127;USDJPY:283,2025-01:94;2025-02:73;2025-03:89;2025-04:123;2025-05:84;2025-06:59;2025-07:65;2025-08:37;2025-09:36;2025-10:54;2025-11:32;2025-12:29,LONG:367;SHORT:408
H_combined_new_triggers_h4_ma_bias,bos_retest_failed,62,0.0,0.0,-0.973,-1094.91,1094.91,10.95,0.256,1.318,0.0,0.0,0.0,36,26,-497.32,-597.59,-1.007,-0.925,6,12,AUDJPY:3;EURJPY:5;EURUSD:11;GBPJPY:6;GBPUSD:15;USDJPY:22,2025-01:7;2025-02:5;2025-03:7;2025-04:11;2025-05:8;2025-06:8;2025-07:2;2025-08:3;2025-09:3;2025-10:3;2025-11:2;2025-12:3,LONG:36;SHORT:26
H_combined_new_triggers_h4_ma_bias,chasing_entry,19,0.0,0.0,-0.163,-314.94,314.94,3.15,1.226,1.373,100.0,26.32,26.32,8,11,-77.86,-237.08,0.279,-0.485,6,10,AUDJPY:2;EURJPY:2;EURUSD:4;GBPJPY:2;GBPUSD:1;USDJPY:8,2025-01:1;2025-02:2;2025-03:2;2025-04:5;2025-05:1;2025-06:2;2025-08:1;2025-10:3;2025-11:1;2025-12:1,LONG:8;SHORT:11
H_combined_new_triggers_h4_ma_bias,first_pullback_failed,87,0.0,0.0,-1.085,-1714.13,1714.13,17.14,0.259,1.53,0.0,0.0,0.0,47,40,-923.35,-790.78,-1.181,-0.972,6,11,AUDJPY:9;EURJPY:13;EURUSD:12;GBPJPY:8;GBPUSD:18;USDJPY:27,2025-01:11;2025-02:9;2025-03:12;2025-04:9;2025-05:7;2025-06:4;2025-08:3;2025-09:3;2025-10:14;2025-11:9;2025-12:6,LONG:47;SHORT:40
H_combined_new_triggers_h4_ma_bias,other,214,0.0,0.0,0.325,-4340.64,4340.64,43.41,1.876,1.36,100.0,43.93,43.93,92,122,-1282.4,-3058.24,0.28,0.359,6,12,AUDJPY:14;EURJPY:20;EURUSD:36;GBPJPY:27;GBPUSD:34;USDJPY:83,2025-01:28;2025-02:24;2025-03:29;2025-04:38;2025-05:23;2025-06:17;2025-07:9;2025-08:5;2025-09:9;2025-10:13;2025-11:6;2025-12:13,LONG:92;SHORT:122
H_combined_new_triggers_h4_ma_bias,sweep_reclaim_no_follow_through,62,0.0,0.0,-1.143,-903.12,903.12,9.03,0.271,1.544,0.0,0.0,0.0,33,29,-375.62,-527.5,-1.123,-1.166,6,11,AUDJPY:3;EURJPY:4;EURUSD:12;GBPJPY:6;GBPUSD:6;USDJPY:31,2025-01:3;2025-02:4;2025-03:8;2025-04:8;2025-05:17;2025-06:5;2025-07:5;2025-08:4;2025-09:2;2025-11:3;2025-12:3,LONG:33;SHORT:29
H_combined_new_triggers_h4_ma_bias,target_blocked_before_1r,190,0.0,0.0,-0.459,-3549.19,3549.19,35.49,0.85,1.242,61.05,33.16,6.32,111,79,-1735.37,-1813.82,-0.462,-0.455,6,12,AUDJPY:16;EURJPY:25;EURUSD:28;GBPJPY:20;GBPUSD:42;USDJPY:59,2025-01:22;2025-02:18;2025-03:34;2025-04:22;2025-05:19;2025-06:17;2025-07:9;2025-08:8;2025-09:10;2025-10:9;2025-11:15;2025-12:7,LONG:111;SHORT:79
H_combined_new_triggers_h4_ma_bias,target_blocked_before_2r,218,0.0,0.0,-0.38,-4209.03,4209.03,42.09,0.962,1.245,62.39,38.99,9.17,119,99,-2086.31,-2122.72,-0.413,-0.34,6,12,AUDJPY:13;EURJPY:31;EURUSD:36;GBPJPY:28;GBPUSD:42;USDJPY:68,2025-01:19;2025-02:28;2025-03:30;2025-04:32;2025-05:21;2025-06:13;2025-07:21;2025-08:7;2025-09:10;2025-10:10;2025-11:13;2025-12:14,LONG:119;SHORT:99
H_combined_new_triggers_h4_ma_bias,target_too_far_after_1r,144,0.0,0.0,-0.211,-2771.29,2771.29,27.71,1.407,1.242,100.0,99.31,0.0,69,75,-964.41,-1806.88,-0.159,-0.258,6,12,AUDJPY:9;EURJPY:20;EURUSD:17;GBPJPY:15;GBPUSD:23;USDJPY:60,2025-01:17;2025-02:15;2025-03:21;2025-04:21;2025-05:15;2025-06:8;2025-07:13;2025-08:5;2025-09:5;2025-10:12;2025-11:8;2025-12:4,LONG:69;SHORT:75
H_combined_new_triggers_h4_ma_bias,win,395,100.0,,0.458,15088.56,0.0,0.0,1.934,1.354,83.8,71.9,56.71,194,201,5772.96,9315.6,0.436,0.478,6,12,AUDJPY:22;EURJPY:49;EURUSD:69;GBPJPY:39;GBPUSD:58;USDJPY:158,2025-01:48;2025-02:45;2025-03:55;2025-04:62;2025-05:35;2025-06:26;2025-07:20;2025-08:19;2025-09:17;2025-10:33;2025-11:20;2025-12:15,LONG:194;SHORT:201
I_combined_new_triggers_h4_ma_room_to_2r,bos_retest_failed,62,0.0,0.0,-0.973,-1094.91,1094.91,10.95,0.256,1.318,0.0,0.0,0.0,36,26,-497.32,-597.59,-1.007,-0.925,6,12,AUDJPY:3;EURJPY:5;EURUSD:11;GBPJPY:6;GBPUSD:15;USDJPY:22,2025-01:7;2025-02:5;2025-03:7;2025-04:11;2025-05:8;2025-06:8;2025-07:2;2025-08:3;2025-09:3;2025-10:3;2025-11:2;2025-12:3,LONG:36;SHORT:26
I_combined_new_triggers_h4_ma_room_to_2r,chasing_entry,19,0.0,0.0,-0.163,-314.94,314.94,3.15,1.226,1.373,100.0,26.32,26.32,8,11,-77.86,-237.08,0.279,-0.485,6,10,AUDJPY:2;EURJPY:2;EURUSD:4;GBPJPY:2;GBPUSD:1;USDJPY:8,2025-01:1;2025-02:2;2025-03:2;2025-04:5;2025-05:1;2025-06:2;2025-08:1;2025-10:3;2025-11:1;2025-12:1,LONG:8;SHORT:11
I_combined_new_triggers_h4_ma_room_to_2r,first_pullback_failed,87,0.0,0.0,-1.085,-1714.13,1714.13,17.14,0.259,1.53,0.0,0.0,0.0,47,40,-923.35,-790.78,-1.181,-0.972,6,11,AUDJPY:9;EURJPY:13;EURUSD:12;GBPJPY:8;GBPUSD:18;USDJPY:27,2025-01:11;2025-02:9;2025-03:12;2025-04:9;2025-05:7;2025-06:4;2025-08:3;2025-09:3;2025-10:14;2025-11:9;2025-12:6,LONG:47;SHORT:40
I_combined_new_triggers_h4_ma_room_to_2r,other,214,0.0,0.0,0.325,-4340.64,4340.64,43.41,1.876,1.36,100.0,43.93,43.93,92,122,-1282.4,-3058.24,0.28,0.359,6,12,AUDJPY:14;EURJPY:20;EURUSD:36;GBPJPY:27;GBPUSD:34;USDJPY:83,2025-01:28;2025-02:24;2025-03:29;2025-04:38;2025-05:23;2025-06:17;2025-07:9;2025-08:5;2025-09:9;2025-10:13;2025-11:6;2025-12:13,LONG:92;SHORT:122
I_combined_new_triggers_h4_ma_room_to_2r,sweep_reclaim_no_follow_through,62,0.0,0.0,-1.143,-903.12,903.12,9.03,0.271,1.544,0.0,0.0,0.0,33,29,-375.62,-527.5,-1.123,-1.166,6,11,AUDJPY:3;EURJPY:4;EURUSD:12;GBPJPY:6;GBPUSD:6;USDJPY:31,2025-01:3;2025-02:4;2025-03:8;2025-04:8;2025-05:17;2025-06:5;2025-07:5;2025-08:4;2025-09:2;2025-11:3;2025-12:3,LONG:33;SHORT:29
I_combined_new_triggers_h4_ma_room_to_2r,target_too_far_after_1r,144,0.0,0.0,-0.211,-2771.29,2771.29,27.71,1.407,1.242,100.0,99.31,0.0,69,75,-964.41,-1806.88,-0.159,-0.258,6,12,AUDJPY:9;EURJPY:20;EURUSD:17;GBPJPY:15;GBPUSD:23;USDJPY:60,2025-01:17;2025-02:15;2025-03:21;2025-04:21;2025-05:15;2025-06:8;2025-07:13;2025-08:5;2025-09:5;2025-10:12;2025-11:8;2025-12:4,LONG:69;SHORT:75
I_combined_new_triggers_h4_ma_room_to_2r,win,243,100.0,,0.345,9816.62,0.0,0.0,1.889,1.466,83.13,69.55,54.32,111,132,3307.39,6509.23,0.292,0.389,6,12,AUDJPY:16;EURJPY:29;EURUSD:49;GBPJPY:22;GBPUSD:33;USDJPY:94,2025-01:32;2025-02:27;2025-03:38;2025-04:41;2025-05:24;2025-06:13;2025-07:15;2025-08:9;2025-09:8;2025-10:20;2025-11:8;2025-12:8,LONG:111;SHORT:132
