period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,EURJPY,1,1,0,100.0,75.07,,75.07,,0.0,0.0
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,USDJPY,2,1,1,50.0,27.9,1.593,13.95,,47.04,0.47
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,XAUUSD,13,8,5,61.54,270.71,2.119,20.82,,102.46,1.0
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,EURJPY,1,1,0,100.0,74.27,,74.27,,0.0,0.0
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,GBPJPY,2,1,1,50.0,23.07,1.445,11.54,,51.88,0.51
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,USDJPY,11,5,6,45.45,102.64,1.376,9.33,,205.93,2.01
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,XAUUSD,13,6,7,46.15,78.2,1.234,6.02,,167.45,1.67
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,EURJPY,3,1,2,33.33,-0.2,0.998,-0.07,,97.52,0.98
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,EURUSD,2,0,2,0.0,-103.97,0.0,-51.98,,103.97,1.04
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,GBPJPY,3,0,3,0.0,-148.95,0.0,-49.65,,148.95,1.49
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,USDJPY,1,0,1,0.0,-51.38,0.0,-51.38,,51.38,0.51
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,XAUUSD,3,2,1,66.67,137.56,4.052,45.85,,45.07,0.45
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,AUDJPY,1,1,0,100.0,95.52,,95.52,,0.0,0.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,EURJPY,3,1,2,33.33,-0.2,0.998,-0.07,,97.52,0.98
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,EURUSD,2,0,2,0.0,-103.97,0.0,-51.98,,103.97,1.04
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,GBPJPY,3,0,3,0.0,-148.95,0.0,-49.65,,148.95,1.49
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,USDJPY,1,0,1,0.0,-51.38,0.0,-51.38,,51.38,0.51
