period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,AUDJPY:SHORT,3,0,3,0.0,-135.58,0.0,-135.58,0.0,-45.19,0.0,-45.19
2024,ThirdWave_original_BOTH,EURJPY:LONG,4,0,4,0.0,-187.77,0.0,-187.77,0.0,-46.94,0.0,-46.94
2024,ThirdWave_original_BOTH,EURJPY:SHORT,7,2,5,28.57,-94.7,143.2,-237.9,0.602,-13.53,71.6,-47.58
2024,ThirdWave_original_BOTH,EURUSD:SHORT,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,ThirdWave_original_BOTH,GBPJPY:LONG,17,8,9,47.06,163.34,598.11,-434.77,1.376,9.61,74.76,-48.31
2024,ThirdWave_original_BOTH,GBPJPY:SHORT,15,9,6,60.0,337.3,638.58,-301.28,2.12,22.49,70.95,-50.21
2024,ThirdWave_original_BOTH,GBPUSD:LONG,3,0,3,0.0,-153.35,0.0,-153.35,0.0,-51.12,0.0,-51.12
2024,ThirdWave_original_BOTH,GBPUSD:SHORT,3,0,3,0.0,-148.26,0.0,-148.26,0.0,-49.42,0.0,-49.42
2024,ThirdWave_original_BOTH,USDJPY:LONG,18,8,10,44.44,88.85,563.53,-474.68,1.187,4.94,70.44,-47.47
2024,ThirdWave_original_BOTH,USDJPY:SHORT,19,10,9,52.63,266.88,683.07,-416.19,1.641,14.05,68.31,-46.24
2024,ThirdWave_original_BOTH,XAUUSD:LONG,151,59,92,39.07,-412.39,3953.28,-4365.67,0.906,-2.73,67.0,-47.45
2024,ThirdWave_original_BOTH,XAUUSD:SHORT,114,40,74,35.09,-588.44,2771.22,-3359.66,0.825,-5.16,69.28,-45.4
2024,ThirdWave_regime_BOTH,AUDJPY:SHORT,1,0,1,0.0,-52.2,0.0,-52.2,0.0,-52.2,0.0,-52.2
2024,ThirdWave_regime_BOTH,EURJPY:LONG,4,0,4,0.0,-201.67,0.0,-201.67,0.0,-50.42,0.0,-50.42
2024,ThirdWave_regime_BOTH,EURJPY:SHORT,3,0,3,0.0,-150.1,0.0,-150.1,0.0,-50.03,0.0,-50.03
2024,ThirdWave_regime_BOTH,EURUSD:SHORT,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,ThirdWave_regime_BOTH,GBPJPY:LONG,9,5,4,55.56,174.31,373.63,-199.32,1.875,19.37,74.73,-49.83
2024,ThirdWave_regime_BOTH,GBPJPY:SHORT,4,3,1,75.0,170.99,221.09,-50.1,4.413,42.75,73.7,-50.1
2024,ThirdWave_regime_BOTH,GBPUSD:LONG,2,0,2,0.0,-111.05,0.0,-111.05,0.0,-55.53,0.0,-55.53
2024,ThirdWave_regime_BOTH,GBPUSD:SHORT,1,0,1,0.0,-49.32,0.0,-49.32,0.0,-49.32,0.0,-49.32
2024,ThirdWave_regime_BOTH,USDJPY:LONG,6,4,2,66.67,192.0,297.79,-105.79,2.815,32.0,74.45,-52.89
2024,ThirdWave_regime_BOTH,USDJPY:SHORT,9,6,3,66.67,306.12,469.72,-163.6,2.871,34.01,78.29,-54.53
2024,ThirdWave_regime_BOTH,XAUUSD:LONG,78,37,41,47.44,616.44,2764.07,-2147.63,1.287,7.9,74.7,-52.38
2024,ThirdWave_regime_BOTH,XAUUSD:SHORT,41,16,25,39.02,-13.19,1245.8,-1258.99,0.99,-0.32,77.86,-50.36
2024,ThirdWave_regime_LONG_ONLY,EURJPY:LONG,4,0,4,0.0,-194.18,0.0,-194.18,0.0,-48.54,0.0,-48.54
2024,ThirdWave_regime_LONG_ONLY,GBPJPY:LONG,9,5,4,55.56,172.09,373.63,-201.54,1.854,19.12,74.73,-50.38
2024,ThirdWave_regime_LONG_ONLY,GBPUSD:LONG,2,0,2,0.0,-111.05,0.0,-111.05,0.0,-55.53,0.0,-55.53
2024,ThirdWave_regime_LONG_ONLY,USDJPY:LONG,6,4,2,66.67,195.89,299.74,-103.85,2.886,32.65,74.94,-51.92
