scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,max_consecutive_losses,monthly_net,monthly_trades,symbol_distribution,direction_distribution,FX_net,XAUUSD_net,LONG_net,SHORT_net,clean_or_acceptable_pct
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,LONG,95,31.58,0.924,-0.043,-244.79,1046.09,9.68,1.276,1.297,66.32,48.42,32.63,12,2024-01:87.51;2024-02:-151.12;2024-03:299.16;2024-04:136.8;2024-05:-49.7;2024-06:49.46;2024-07:298.84;2024-08:-67.49;2024-09:46.71;2024-10:-45.62;2024-11:-48.62;2024-12:-46.91;2025-01:113.75;2025-02:-4.64;2025-03:85.86;2025-04:-2.27;2025-05:-107.5;2025-06:-209.2;2025-07:-71.65;2025-08:-53.45;2025-09:38.04;2025-10:-77.04;2025-12:-50.6;2026-01:-49.29;2026-02:-43.4;2026-03:-40.62;2026-04:-186.18;2026-05:-48.1;2026-06:-47.52,2024-01:5;2024-02:3;2024-03:6;2024-04:3;2024-05:1;2024-06:2;2024-07:6;2024-08:1;2024-09:5;2024-10:4;2024-11:1;2024-12:1;2025-01:5;2025-02:3;2025-03:4;2025-04:6;2025-05:5;2025-06:7;2025-07:4;2025-08:7;2025-09:2;2025-10:4;2025-12:1;2026-01:1;2026-02:1;2026-03:1;2026-04:4;2026-05:1;2026-06:1,AUDJPY:1;EURJPY:3;EURUSD:8;GBPJPY:8;GBPUSD:4;USDJPY:8;XAUUSD:63,LONG:95,98.01,-342.8,-244.79,0,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,SHORT,104,32.69,0.947,-0.026,-182.01,877.49,8.77,1.328,1.076,68.27,47.12,33.65,9,2024-01:0.43;2024-02:-96.92;2024-03:-52.08;2024-04:-103.38;2024-06:201.62;2024-07:-254.36;2024-08:-52.39;2024-09:-261.5;2024-10:-16.39;2024-11:8.68;2024-12:-98.21;2025-01:-50.4;2025-02:-3.22;2025-03:99.12;2025-04:-198.06;2025-05:188.62;2025-06:-49.66;2025-07:-98.52;2025-08:94.1;2025-09:89.84;2025-10:50.48;2025-11:313.7;2025-12:-140.73;2026-02:215.25;2026-03:102.25;2026-04:-98.55;2026-05:-195.72;2026-06:223.99,2024-01:3;2024-02:2;2024-03:4;2024-04:2;2024-06:5;2024-07:5;2024-08:4;2024-09:5;2024-10:6;2024-11:6;2024-12:2;2025-01:1;2025-02:3;2025-03:7;2025-04:7;2025-05:5;2025-06:1;2025-07:2;2025-08:1;2025-09:4;2025-10:2;2025-11:5;2025-12:3;2026-02:2;2026-03:4;2026-04:2;2026-05:7;2026-06:4,AUDJPY:1;EURJPY:7;EURUSD:3;GBPJPY:7;USDJPY:16;XAUUSD:70,SHORT:104,-222.78,40.77,0,-182.01,100.0
