run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,AUDJPY,9,4,5,44.44,60.71,261.43,-200.72,1.302,6.75,65.36,-40.14
A,BOTH_5m_new_bar,EURJPY,18,2,16,11.11,-556.2,141.88,-698.08,0.203,-30.9,70.94,-43.63
A,BOTH_5m_new_bar,EURUSD,34,15,19,44.12,159.36,963.76,-804.4,1.198,4.69,64.25,-42.34
A,BOTH_5m_new_bar,GBPJPY,20,10,10,50.0,210.01,655.02,-445.01,1.472,10.5,65.5,-44.5
A,BOTH_5m_new_bar,GBPUSD,31,10,21,32.26,-300.13,614.72,-914.85,0.672,-9.68,61.47,-43.56
A,BOTH_5m_new_bar,USDJPY,357,118,239,33.05,-2373.99,8030.02,-10404.01,0.772,-6.65,68.05,-43.53
A,BOTH_5m_new_bar,XAUUSD,1221,517,704,42.34,2049.33,30264.57,-28215.24,1.073,1.68,58.54,-40.08
B,LONG_ONLY_5m_new_bar,EURJPY,15,1,14,6.67,-603.08,75.19,-678.27,0.111,-40.21,75.19,-48.45
B,LONG_ONLY_5m_new_bar,EURUSD,47,18,29,38.3,-56.74,1365.67,-1422.41,0.96,-1.21,75.87,-49.05
B,LONG_ONLY_5m_new_bar,GBPJPY,3,3,0,100.0,248.14,248.14,0.0,,82.71,82.71,0.0
B,LONG_ONLY_5m_new_bar,GBPUSD,15,7,8,46.67,103.96,505.91,-401.95,1.259,6.93,72.27,-50.24
B,LONG_ONLY_5m_new_bar,USDJPY,189,71,118,37.57,32.15,6191.37,-6159.22,1.005,0.17,87.2,-52.2
B,LONG_ONLY_5m_new_bar,XAUUSD,915,405,510,44.26,4053.39,30059.11,-26005.72,1.156,4.43,74.22,-50.99
C,SHORT_ONLY_5m_new_bar,AUDJPY,9,4,5,44.44,49.88,247.75,-197.87,1.252,5.54,61.94,-39.57
C,SHORT_ONLY_5m_new_bar,EURJPY,9,4,5,44.44,66.28,286.42,-220.14,1.301,7.36,71.6,-44.03
C,SHORT_ONLY_5m_new_bar,EURUSD,17,4,13,23.53,-287.89,232.98,-520.87,0.447,-16.93,58.24,-40.07
C,SHORT_ONLY_5m_new_bar,GBPJPY,19,6,13,31.58,-217.62,360.73,-578.35,0.624,-11.45,60.12,-44.49
C,SHORT_ONLY_5m_new_bar,GBPUSD,22,8,14,36.36,-133.45,452.75,-586.2,0.772,-6.07,56.59,-41.87
C,SHORT_ONLY_5m_new_bar,USDJPY,296,97,199,32.77,-2173.97,6034.1,-8208.07,0.735,-7.34,62.21,-41.25
C,SHORT_ONLY_5m_new_bar,XAUUSD,385,148,237,38.44,-731.6,7732.23,-8463.83,0.914,-1.9,52.24,-35.71
D,LONG_ONLY_DowFractal_5m_new_bar,EURJPY,7,1,6,14.29,-241.75,75.04,-316.79,0.237,-34.54,75.04,-52.8
D,LONG_ONLY_DowFractal_5m_new_bar,EURUSD,29,10,19,34.48,-228.94,788.57,-1017.51,0.775,-7.89,78.86,-53.55
D,LONG_ONLY_DowFractal_5m_new_bar,GBPJPY,3,2,1,66.67,127.71,178.7,-50.99,3.505,42.57,89.35,-50.99
D,LONG_ONLY_DowFractal_5m_new_bar,GBPUSD,7,5,2,71.43,278.49,392.03,-113.54,3.453,39.78,78.41,-56.77
D,LONG_ONLY_DowFractal_5m_new_bar,USDJPY,95,42,53,44.21,539.69,3551.3,-3011.61,1.179,5.68,84.55,-56.82
D,LONG_ONLY_DowFractal_5m_new_bar,XAUUSD,534,238,296,44.57,2874.71,19371.38,-16496.67,1.174,5.38,81.39,-55.73
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,XAUUSD,549,244,305,44.44,2880.52,19731.29,-16850.77,1.171,5.25,80.87,-55.25
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,AUDJPY,11,4,7,36.36,-33.38,278.57,-311.95,0.893,-3.03,69.64,-44.56
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURJPY,22,2,20,9.09,-774.43,144.2,-918.63,0.157,-35.2,72.1,-45.93
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURUSD,51,21,30,41.18,84.34,1432.52,-1348.18,1.063,1.65,68.22,-44.94
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPJPY,19,8,11,42.11,59.27,568.6,-509.33,1.116,3.12,71.08,-46.3
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPUSD,32,11,21,34.38,-249.56,734.56,-984.12,0.746,-7.8,66.78,-46.86
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,USDJPY,151,57,94,37.75,35.89,4483.77,-4447.88,1.008,0.24,78.66,-47.32
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,XAUUSD,1280,546,734,42.66,3115.43,36125.32,-33009.89,1.094,2.43,66.16,-44.97
