variant,reversal_signal_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
current_thirdwave_current_sl_1_5R,unclear,109,53,56,48.62,1288.96,1.491,11.83,0.224,278.5,2.49,6,-277.88,241.33,1047.63,490.72,798.24,83.49,55.05,1719.7,3.147,2579.6,4.72,0.084,0.8,47.47
v4_micro_or_candle_current_sl_1_5R,candle_reversal,104,47,57,45.19,1127.13,1.41,10.84,0.138,556.93,4.8,10,-469.84,-47.49,1174.62,166.16,960.97,77.88,50.96,1748.1,2.351,2622.2,3.527,0.119,0.66,50.51
v4_micro_or_candle_current_sl_1_5R,micro_break,38,20,18,52.63,516.15,1.555,13.58,0.316,188.64,1.81,3,-146.28,183.97,332.18,350.61,165.54,76.32,52.63,1289.3,2.449,1934.0,3.673,0.121,0.82,49.31
v4_micro_or_candle_lower_tf_sl_1_2R,candle_reversal,96,53,43,55.21,1163.68,1.556,12.12,0.24,526.17,4.53,10,-464.31,87.82,1075.86,361.78,801.9,79.17,51.04,1649.7,2.318,1979.6,2.781,0.119,0.61,48.89
v4_micro_or_candle_lower_tf_sl_1_2R,micro_break,35,23,12,65.71,802.79,2.431,22.94,0.452,101.24,1.01,2,-101.24,461.26,341.53,364.79,438.0,74.29,51.43,1158.9,2.528,1390.7,3.034,0.116,0.48,47.82
v4_micro_or_candle_lower_tf_sl_1_3R,candle_reversal,96,49,47,51.04,980.5,1.427,10.21,0.199,574.96,5.01,10,-479.95,18.28,962.22,249.58,730.92,79.17,51.04,1672.4,2.316,2174.1,3.011,0.119,0.61,49.01
v4_micro_or_candle_lower_tf_sl_1_3R,micro_break,33,22,11,66.67,888.16,2.749,26.91,0.534,101.24,1.01,2,-101.24,376.41,511.75,464.53,423.63,72.73,51.52,1046.7,2.55,1360.7,3.315,0.118,0.48,47.52
v4_micro_or_candle_lower_tf_sl_1_5R,candle_reversal,94,41,53,43.62,605.25,1.241,6.44,0.109,566.58,5.11,10,-462.97,-212.6,817.85,181.47,423.78,79.79,51.06,1696.4,2.308,2544.6,3.462,0.117,0.59,47.92
v4_micro_or_candle_lower_tf_sl_1_5R,micro_break,33,19,14,57.58,669.15,2.019,20.28,0.439,146.28,1.44,3,-146.28,176.27,492.88,411.02,258.13,72.73,51.52,1046.7,2.55,1570.0,3.825,0.115,0.47,46.2
v4_without_weak_lower_tf_sl_1_2R,candle_reversal,89,48,41,53.93,965.61,1.492,10.85,0.198,394.73,3.49,8,-360.99,84.14,881.47,367.03,598.58,82.02,52.81,1583.9,2.331,1900.7,2.797,0.113,0.6,48.74
v4_without_weak_lower_tf_sl_1_2R,early_lower_high,41,21,20,51.22,382.66,1.394,9.33,0.142,219.39,2.09,4,-192.3,-144.47,527.13,0,382.66,56.1,100.0,1485.2,2.083,1782.3,2.499,0.192,1.0,50.31
v4_without_weak_lower_tf_sl_1_2R,micro_break,28,19,9,67.86,679.22,2.575,24.26,0.502,102.74,1.01,2,-101.24,262.03,417.19,364.79,314.43,78.57,60.71,1226.6,2.645,1471.9,3.174,0.107,0.49,47.69
v4_without_weak_lower_tf_sl_1_3R,candle_reversal,85,43,42,50.59,768.86,1.382,9.05,0.176,434.5,3.9,8,-361.01,118.62,650.24,276.54,492.32,81.18,55.29,1511.1,2.346,1964.4,3.05,0.114,0.6,48.08
v4_without_weak_lower_tf_sl_1_3R,early_lower_high,42,20,22,47.62,296.67,1.275,7.06,0.1,253.13,2.41,4,-192.3,-177.01,473.68,0,296.67,59.52,100.0,1592.7,2.081,2070.5,2.706,0.18,1.0,50.3
v4_without_weak_lower_tf_sl_1_3R,micro_break,27,20,7,74.07,936.4,3.843,34.68,0.706,101.24,1.01,2,-101.24,360.22,576.18,464.53,471.87,74.07,59.26,1067.3,2.655,1387.5,3.452,0.12,0.49,47.87
