run,scenario,prefix,elapsed_seconds
G,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_nested_router_G_router_best,133.9
H,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_nested_router_H_router_all,123.8
