timeframe_set,scenario,period,year,symbol,direction,fx_bucket,fx_direction_bucket,time,close_time,month,session,entry_price,sl,tp,result_R,net_profit,scan_driver_symbol,execution_minutes,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,spread_atr,spread_points,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok,audit_h4_bias_ok,audit_h1_pullback_ok,audit_h1_clean_pullback_type,audit_m15_reversal_ok,audit_dow_structure_ok,audit_room_to_target_ok,audit_fractal_entry_quality,audit_failure_type
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.01.04 02:35:00,2024.01.04 05:51:18,2024-01,server_00_07,181.334,181.17,181.662,2.006,98.69,USDJPY,5,2.091,0.305,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.11,last_lower_high,181.497,m15_prev_extreme_bos,2.18,1.09,h1_counter_high,181.692,2.13,0.195,15.0,0.0,2.12,fixed_room2r_lower_tf,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.01.05 15:50:00,2024.01.05 15:53:32,2024-01,server_08_15,2034.13,2040.89,2020.61,-1.037,-49.07,USDJPY,5,0.0,1.121,false,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,0.0,weak_higher_low,2037.1,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.08,0.0553,18.0,0.0,0.91,fixed_room2r_lower_tf,true,true,false,true,false,false,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,acceptable_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,USDJPY,LONG,FX,FX LONG,2024.01.05 16:10:00,2024.01.05 16:28:17,2024-01,server_16_23,145.431,145.031,146.231,-1.003,-49.77,USDJPY,5,0.095,1.263,false,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.9,last_lower_high,145.346,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.03,0.0759,15.0,0.0,0.43,fixed_room2r_lower_tf,true,true,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,USDJPY,SHORT,FX,FX SHORT,2024.01.09 10:55:00,2024.01.09 13:00:42,2024-01,server_08_15,143.972,144.111,143.694,-1.0,-50.16,USDJPY,5,1.712,1.101,true,true,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,4.3,last_higher_low,143.852,m15_prev_extreme_bos,3.46,1.73,h1_counter_low,143.491,1.48,0.1384,13.0,0.0,1.28,fixed_room2r_lower_tf,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,GBPUSD,LONG,FX,FX LONG,2024.01.12 10:30:00,2024.01.12 10:42:29,2024-01,server_08_15,1.27773,1.27663,1.27993,-1.0,-49.5,USDJPY,5,0.127,1.491,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.17,last_lower_high,1.27772,m15_prev_extreme_bos,0.0,0.0,no_known_obstacle,0.0,1.63,0.1631,11.0,0.0,0.01,fixed_room2r_lower_tf,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,XAUUSD,LONG,XAUUSD,XAUUSD LONG,2024.01.23 14:30:00,2024.01.23 15:28:44,2024-01,server_08_15,2024.3,2022.17,2028.56,2.812,137.77,USDJPY,5,2.812,0.164,true,true,true,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,7.84,last_lower_high,2030.55,m15_prev_extreme_bos,6.37,3.18,h1_counter_high,2037.86,1.85,0.1559,18.0,0.0,5.41,fixed_room2r_lower_tf,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.01.25 15:20:00,2024.01.25 15:30:09,2024-01,server_08_15,2017.39,2019.64,2012.89,2.013,99.66,USDJPY,5,3.516,2.471,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.84,last_higher_low,2017.03,m15_true_bos_close,2.08,1.04,h1_counter_low,2012.7,1.9,0.1522,18.0,0.0,0.3,fixed_room2r_lower_tf,true,false,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,EURUSD,LONG,FX,FX LONG,2024.01.31 21:45:00,2024.01.31 21:59:09,2024-01,server_16_23,1.08583,1.08399,1.08951,-1.0,-49.68,USDJPY,5,0.277,3.391,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.55,last_lower_high,1.0852,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,1.6,0.122,14.0,0.0,0.55,fixed_room2r_lower_tf,true,false,false,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,XAUUSD,SHORT,XAUUSD,XAUUSD SHORT,2024.02.06 14:40:00,2024.02.06 14:50:12,2024-02,server_08_15,2026.27,2027.76,2023.29,-1.0,-49.17,USDJPY,5,0.302,1.087,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.74,last_higher_low,2022.88,m15_prev_extreme_bos,2.28,1.14,h1_counter_low,2022.87,1.61,0.194,18.0,0.0,3.65,fixed_room2r_lower_tf,true,false,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
H1-M15-M5,Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024,2024,GBPJPY,LONG,FX,FX LONG,2024.02.09 10:55:00,2024.02.09 11:03:33,2024-02,server_08_15,188.595,188.405,188.975,-1.0,-50.11,USDJPY,5,0.158,1.247,false,false,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.48,last_lower_high,188.522,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.0,0.1159,11.0,0.0,0.77,fixed_room2r_lower_tf,true,true,true,true,true,true,true,false,true,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
