run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,LONG,1066,458,608,42.96,2641.86,27519.71,-24877.85,1.106,2.48,60.09,-40.92
A,BOTH_5m_new_bar,SHORT,624,218,406,34.94,-3392.77,13411.69,-16804.46,0.798,-5.44,61.52,-41.39
B,LONG_ONLY_5m_new_bar,LONG,1184,505,679,42.65,3777.82,38445.39,-34667.57,1.109,3.19,76.13,-51.06
C,SHORT_ONLY_5m_new_bar,SHORT,757,271,486,35.8,-3428.37,15346.96,-18775.33,0.817,-4.53,56.63,-38.63
D,LONG_ONLY_DowFractal_5m_new_bar,LONG,675,298,377,44.15,3349.91,24357.02,-21007.11,1.159,4.96,81.73,-55.72
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,LONG,549,244,305,44.44,2880.52,19731.29,-16850.77,1.171,5.25,80.87,-55.25
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,LONG,1130,486,644,43.01,3648.58,33112.47,-29463.89,1.124,3.23,68.13,-45.75
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,SHORT,436,163,273,37.39,-1411.02,10655.07,-12066.09,0.883,-3.24,65.37,-44.2
