period,scenario,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2024,context_router_v2_all_r12,LONG,12,6,6,50.0,57.81,1.19,4.82,0.096,241.77,2.35,3
2024,context_router_v2_all_r12,SHORT,16,6,10,37.5,-131.93,0.735,-8.25,-0.176,223.79,2.22,3
2024,context_router_v3_all_r12,LONG,12,6,6,50.0,57.81,1.19,4.82,0.096,241.77,2.35,3
2024,context_router_v3_all_r12,SHORT,16,6,10,37.5,-131.93,0.735,-8.25,-0.176,223.79,2.22,3
2024,instant_all_r12,LONG,38,17,21,44.74,-30.84,0.971,-0.81,-0.02,436.94,4.21,8
2024,instant_all_r12,SHORT,40,16,24,40.0,-223.12,0.812,-5.58,-0.12,417.66,4.1,7
2025,context_router_v2_all_r12,LONG,16,5,11,31.25,-285.81,0.484,-17.86,-0.333,350.17,3.5,4
2025,context_router_v2_all_r12,SHORT,20,11,9,55.0,32.78,1.056,1.64,0.058,271.5,2.66,3
2025,context_router_v3_all_r12,LONG,16,5,11,31.25,-285.81,0.484,-17.86,-0.333,350.17,3.5,4
2025,context_router_v3_all_r12,SHORT,19,11,8,57.89,240.78,1.622,12.67,0.276,146.11,1.43,3
2025,instant_all_r12,LONG,44,19,25,43.18,-178.68,0.855,-4.06,-0.057,662.96,6.58,4
2025,instant_all_r12,SHORT,48,26,22,54.17,232.13,1.191,4.84,0.131,344.35,3.3,5
2026YTD,context_router_v2_all_r12,LONG,5,3,2,60.0,74.12,1.861,14.82,0.296,86.08,0.85,2
2026YTD,context_router_v2_all_r12,SHORT,7,3,4,42.86,-39.36,0.785,-5.62,-0.061,183.25,1.83,4
2026YTD,context_router_v3_all_r12,LONG,5,3,2,60.0,74.12,1.861,14.82,0.296,86.08,0.85,2
2026YTD,context_router_v3_all_r12,SHORT,6,2,4,33.33,-90.92,0.504,-15.15,-0.271,183.25,1.83,4
2026YTD,instant_all_r12,LONG,18,6,12,33.33,-269.07,0.559,-14.95,-0.284,398.92,3.94,3
2026YTD,instant_all_r12,SHORT,18,10,8,55.56,193.71,1.536,10.76,0.224,269.45,2.64,5
