time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason
2026.01.16 18:34:59,order_attempt,GBPUSD,SHORT,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33833,1.34046,1.33407,0.23,0.00213,2.00,213.0,2.06,426.0,4.12,1.33945,1.33814,1.34031,6,1.08,1.91,0.1450,15.0,121.50,true,true,true,true,false,2026.01.16 17:15:00,2026.01.16 18:00:00,2026.01.16 18:15:00,3,4,0.48,0.50,1.33945,0.48,false,shallow_retest_then_go,
2026.01.16 18:34:59,order_sent,GBPUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33833,1.34046,1.33407,0.23,0.00213,2.00,213.0,2.06,426.0,4.12,1.33945,1.33814,1.34031,6,1.08,1.91,0.1450,15.0,121.50,true,true,true,true,false,2026.01.16 17:15:00,2026.01.16 18:00:00,2026.01.16 18:15:00,3,4,0.48,0.50,1.33945,0.48,false,shallow_retest_then_go,
2026.01.16 19:49:59,order_blocked,GBPUSD,SHORT,server_16_23,0,max_positions,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,max_positions,max_positions,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.33801,1.33900,1.33603,0.50,0.00099,2.00,99.0,1.01,198.0,2.01,1.33795,1.33705,1.33885,4,0.06,0.85,0.1523,15.0,123.97,true,true,true,true,false,2026.01.16 17:30:00,2026.01.16 17:45:00,2026.01.16 19:30:00,1,8,0.25,0.50,1.33795,0.25,true,deep_retest_but_reclaim,
2026.01.21 16:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34319,1.34101,1.34755,0.22,0.00218,2.00,218.0,2.16,436.0,4.31,1.34267,1.34276,1.34116,3,0.51,2.01,0.1483,15.0,119.90,true,true,true,true,false,2026.01.21 15:30:00,2026.01.21 15:45:00,2026.01.21 15:45:00,1,1,0.10,0.50,1.34289,0.10,false,shallow_retest_then_go,
2026.01.21 16:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34319,1.34101,1.34755,0.22,0.00218,2.00,218.0,2.16,436.0,4.31,1.34267,1.34276,1.34116,3,0.51,2.01,0.1483,15.0,119.90,true,true,true,true,false,2026.01.21 15:30:00,2026.01.21 15:45:00,2026.01.21 15:45:00,1,1,0.10,0.50,1.34289,0.10,false,shallow_retest_then_go,
2026.01.21 17:19:59,order_blocked,GBPUSD,LONG,server_16_23,0,max_positions,Nested_NWave_RetestConfirmation,retest_confirmation_entry,max_positions,max_positions,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.34412,1.34204,1.34828,0.23,0.00208,2.00,208.0,1.64,416.0,3.28,1.34433,1.34507,1.34219,4,0.17,1.52,0.1184,15.0,121.31,true,true,true,true,false,2026.01.21 16:30:00,2026.01.21 16:45:00,2026.01.21 17:00:00,1,2,0.24,0.50,1.34433,0.24,false,shallow_retest_then_go,
2026.01.28 20:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.37888,1.37696,1.38272,0.25,0.00192,2.00,192.0,1.02,384.0,2.05,1.37869,1.37890,1.37714,3,0.10,0.93,0.0959,18.0,121.18,true,true,true,true,false,2026.01.28 17:45:00,2026.01.28 18:00:00,2026.01.28 19:45:00,1,8,0.50,0.50,1.37869,0.50,true,deep_retest_but_reclaim,
2026.01.28 20:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.37888,1.37696,1.38272,0.25,0.00192,2.00,192.0,1.02,384.0,2.05,1.37869,1.37890,1.37714,3,0.10,0.93,0.0959,18.0,121.18,true,true,true,true,false,2026.01.28 17:45:00,2026.01.28 18:00:00,2026.01.28 19:45:00,1,8,0.50,0.50,1.37869,0.50,true,deep_retest_but_reclaim,
2026.01.29 01:04:59,order_attempt,EURUSD,LONG,server_00_07,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.19569,1.19388,1.19931,0.27,0.00181,2.00,181.0,1.79,362.0,3.58,1.19521,1.19539,1.19408,6,0.47,1.59,0.1976,20.0,120.02,true,true,true,true,false,2026.01.29 00:00:00,2026.01.29 00:15:00,2026.01.29 00:45:00,1,3,0.12,0.50,1.19521,0.12,false,shallow_retest_then_go,
2026.01.29 01:04:59,order_sent,EURUSD,LONG,server_00_07,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,1.19569,1.19388,1.19931,0.27,0.00181,2.00,181.0,1.79,362.0,3.58,1.19521,1.19539,1.19408,6,0.47,1.59,0.1976,20.0,120.02,true,true,true,true,false,2026.01.29 00:00:00,2026.01.29 00:15:00,2026.01.29 00:45:00,1,3,0.12,0.50,1.19521,0.12,false,shallow_retest_then_go,
