run,scenario,prefix,elapsed_seconds
C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_08_nested_nwave_C_nested_best,52.6
D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2025_08_nested_nwave_D_nested_all,52.5
