scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,max_consecutive_losses,monthly_net,monthly_trades,symbol_distribution,direction_distribution,FX_net,XAUUSD_net,LONG_net,SHORT_net,clean_or_acceptable_pct
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-01,4,25.0,0.684,-0.25,-47.16,99.72,0.99,0.87,1.653,50.0,25.0,25.0,2,2024-01:-47.16,2024-01:4,EURUSD:1;GBPJPY:2;XAUUSD:1,LONG:3;SHORT:1,2.44,-49.6,2.54,-49.7,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-02,6,33.33,1.0,-0.002,-0.09,98.51,0.98,1.365,1.041,83.33,33.33,33.33,2,2024-02:-0.09,2024-02:6,GBPJPY:2;USDJPY:3;XAUUSD:1,LONG:3;SHORT:3,49.41,-49.5,0.29,-0.38,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-03,4,0.0,0.0,-1.03,-199.06,199.06,1.99,0.597,1.803,75.0,25.0,0.0,4,2024-03:-199.06,2024-03:4,EURJPY:1;GBPJPY:1;USDJPY:2,LONG:3;SHORT:1,-199.06,0,-150.62,-48.44,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-04,2,50.0,2.048,0.507,49.78,47.52,0.48,1.441,0.886,50.0,50.0,50.0,1,2024-04:49.78,2024-04:2,EURJPY:1;EURUSD:1,SHORT:2,49.78,0,0,49.78,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-05,1,0.0,0.0,-1.0,-48.66,48.66,0.49,0.257,1.691,0.0,0.0,0.0,1,2024-05:-48.66,2024-05:1,EURJPY:1,LONG:1,-48.66,0,-48.66,0,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-06,1,0.0,0.0,-1.112,-52.29,52.29,0.52,4.296,2.592,100.0,100.0,100.0,1,2024-06:-52.29,2024-06:1,USDJPY:1,SHORT:1,-52.29,0,0,-52.29,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-07,2,50.0,1.944,0.484,46.65,49.44,0.49,2.911,0.961,100.0,100.0,100.0,1,2024-07:46.65,2024-07:2,AUDJPY:1;XAUUSD:1,LONG:2,96.09,-49.44,46.65,0,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-08,7,42.86,1.55,0.29,104.0,142.12,1.41,1.351,1.173,71.43,42.86,42.86,3,2024-08:104.0,2024-08:7,EURJPY:2;GBPJPY:2;USDJPY:2;XAUUSD:1,LONG:1;SHORT:6,150.8,-46.8,-46.82,150.82,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-09,6,50.0,2.0,0.505,146.33,49.07,0.49,1.811,1.278,83.33,50.0,50.0,1,2024-09:146.33,2024-09:6,EURJPY:1;EURUSD:1;GBPJPY:1;USDJPY:1;XAUUSD:2,LONG:4;SHORT:2,243.53,-97.2,97.77,48.56,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-10,5,20.0,0.5,-0.395,-96.3,143.69,1.44,0.737,1.143,20.0,20.0,20.0,2,2024-10:-96.3,2024-10:5,EURJPY:2;GBPUSD:1;XAUUSD:2,LONG:3;SHORT:2,-1.43,-94.87,-142.35,46.05,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-11,2,50.0,1.873,0.501,42.59,48.76,0.48,1.579,0.94,50.0,50.0,50.0,1,2024-11:42.59,2024-11:2,EURUSD:1;XAUUSD:1,LONG:2,91.35,-48.76,42.59,0,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2024-12,5,40.0,1.317,0.19,46.19,145.9,1.43,1.471,0.995,80.0,80.0,40.0,2,2024-12:46.19,2024-12:5,AUDJPY:1;GBPJPY:1;USDJPY:1;XAUUSD:2,LONG:3;SHORT:2,142.98,-96.79,2.09,44.1,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-01,5,20.0,0.518,-0.404,-93.7,148.72,1.48,1.063,0.97,80.0,40.0,20.0,3,2025-01:-93.7,2025-01:5,GBPUSD:1;USDJPY:3;XAUUSD:1,LONG:2;SHORT:3,-48.02,-45.68,55.02,-148.72,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-02,3,66.67,4.139,0.99,150.19,47.84,0.47,1.977,1.083,100.0,100.0,66.67,1,2025-02:150.19,2025-02:3,EURJPY:1;USDJPY:1;XAUUSD:1,SHORT:3,198.03,-47.84,0,150.19,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-03,4,25.0,0.684,-0.242,-45.88,98.61,0.98,1.056,0.999,75.0,75.0,25.0,2,2025-03:-45.88,2025-03:4,EURJPY:2;GBPJPY:2,LONG:2;SHORT:2,-45.88,0,52.73,-98.61,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-04,6,50.0,2.014,0.532,153.0,150.94,1.49,1.737,1.051,66.67,66.67,50.0,3,2025-04:153.0,2025-04:6,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:1,LONG:1;SHORT:5,153.0,0,106.59,46.41,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-05,4,0.0,0.0,-1.026,-192.83,192.83,1.93,0.917,1.692,75.0,25.0,25.0,4,2025-05:-192.83,2025-05:4,XAUUSD:4,LONG:2;SHORT:2,0,-192.83,-96.97,-95.86,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-06,3,0.0,0.0,-1.004,-135.5,135.5,1.35,0.807,1.887,66.67,33.33,0.0,3,2025-06:-135.5,2025-06:3,USDJPY:2;XAUUSD:1,LONG:1;SHORT:2,-94.26,-41.24,-44.67,-90.83,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-07,5,40.0,1.349,0.199,50.53,96.26,0.96,1.486,0.795,80.0,60.0,40.0,2,2025-07:50.53,2025-07:5,EURUSD:2;GBPUSD:1;USDJPY:2,LONG:2;SHORT:3,50.53,0,-96.62,147.15,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-08,3,66.67,3.905,1.001,143.72,49.47,0.49,2.169,0.703,66.67,66.67,66.67,1,2025-08:143.72,2025-08:3,USDJPY:1;XAUUSD:2,LONG:1;SHORT:2,-49.47,193.19,-49.47,193.19,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-09,4,0.0,0.0,-1.016,-197.95,197.95,1.98,0.617,1.486,50.0,25.0,0.0,4,2025-09:-197.95,2025-09:4,EURUSD:1;USDJPY:2;XAUUSD:1,LONG:2;SHORT:2,-147.87,-50.08,-98.83,-99.12,100.0
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-10,3,33.33,0.858,-0.002,-13.56,95.31,0.95,0.97,1.161,66.67,33.33,33.33,2,2025-10:-13.56,2025-10:3,GBPUSD:1;XAUUSD:2,LONG:1;SHORT:2,-47.82,34.26,-47.82,34.26,100.0
