run,year,scenario,prefix,elapsed_seconds
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,ExpectedValue_MultiCurrency_ScoreScanner_2024_oos_D_long_structure,1424.7
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,ExpectedValue_MultiCurrency_ScoreScanner_2024_oos_E_xau_long_structure,1184.2
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,ExpectedValue_MultiCurrency_ScoreScanner_2026YTD_oos_D_long_structure,596.9
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,ExpectedValue_MultiCurrency_ScoreScanner_2026YTD_oos_E_xau_long_structure,496.9
