scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,2025-02,5,60.0,2.998,0.793,197.09,98.66,0.97,1.717,1.054,80.0,60.0,244.93,-47.84,-50.82,247.91,1,4,2025-02:5,EURJPY:1;EURUSD:1;USDJPY:2;XAUUSD:1,LONG:1;SHORT:4
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,2025-08,12,33.33,1.067,0.066,24.48,165.15,1.62,1.275,0.926,50.0,33.33,-364.5,388.98,-251.67,276.15,1,3,2025-08:12,GBPUSD:2;USDJPY:6;XAUUSD:4,LONG:5;SHORT:7
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,2025-10,5,40.0,0.836,-0.037,-23.97,145.97,1.46,0.835,0.929,40.0,20.0,-58.23,34.26,-58.23,34.26,1,4,2025-10:5,AUDJPY:1;EURJPY:1;GBPUSD:1;XAUUSD:2,LONG:3;SHORT:2
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,2026-Q1,25,36.0,1.053,0.075,41.96,294.14,2.92,1.243,1.16,48.0,36.0,-19.11,61.07,4.31,37.65,1,7,2026-Q1:25,AUDJPY:2;EURJPY:2;EURUSD:4;GBPJPY:1;GBPUSD:3;USDJPY:9;XAUUSD:4,LONG:11;SHORT:14
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,2025-02,1,100.0,,2.0,100.1,0.0,0.0,2.434,1.133,100.0,100.0,100.1,0,0,100.1,1,1,2025-02:1,USDJPY:1,SHORT:1
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,2025-08,1,100.0,,2.0,98.54,0.0,0.0,2.116,0.348,100.0,100.0,0,98.54,0,98.54,1,1,2025-08:1,XAUUSD:1,SHORT:1
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,2026-Q1,3,33.33,0.879,-0.014,-12.12,99.87,0.99,1.116,1.294,33.33,33.33,-99.87,87.75,-99.87,87.75,1,2,2026-Q1:3,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,2026-Q1,3,100.0,,2.006,295.86,0.0,0.0,2.317,0.382,100.0,100.0,295.86,0,100.81,195.05,1,3,2026-Q1:3,EURJPY:1;EURUSD:1;USDJPY:1,LONG:1;SHORT:2
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,2025-02,2,100.0,,2.004,196.33,0.0,0.0,2.383,0.927,100.0,100.0,196.33,0,0,196.33,1,2,2025-02:2,EURJPY:1;USDJPY:1,SHORT:2
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,2025-08,1,100.0,,2.003,94.65,0.0,0.0,4.108,0.4,100.0,100.0,0,94.65,0,94.65,1,1,2025-08:1,XAUUSD:1,SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,2025-10,1,100.0,,2.007,81.75,0.0,0.0,2.024,0.399,100.0,100.0,0,81.75,0,81.75,1,1,2025-10:1,XAUUSD:1,SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,2026-Q1,11,36.36,1.114,0.086,39.86,147.81,1.46,1.153,1.077,45.45,36.36,39.86,0,45.3,-5.44,1,5,2026-Q1:11,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:3;USDJPY:5,LONG:5;SHORT:6
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-02,3,66.67,4.104,0.99,148.49,47.84,0.47,1.977,1.083,100.0,66.67,196.33,-47.84,0,148.49,1,3,2025-02:3,EURJPY:1;USDJPY:1;XAUUSD:1,SHORT:3
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-08,3,66.67,3.824,1.001,142.67,50.52,0.5,2.169,0.703,66.67,66.67,-50.52,193.19,-50.52,193.19,1,2,2025-08:3,USDJPY:1;XAUUSD:2,LONG:1;SHORT:2
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2025-10,3,33.33,0.839,-0.002,-15.64,97.39,0.97,0.97,1.161,33.33,33.33,-49.9,34.26,-49.9,34.26,1,2,2025-10:3,GBPUSD:1;XAUUSD:2,LONG:1;SHORT:2
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,2026-Q1,15,40.0,1.285,0.195,128.07,150.13,1.49,1.267,1.06,46.67,40.0,40.32,87.75,95.72,32.35,1,7,2026-Q1:15,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:6;XAUUSD:1,LONG:7;SHORT:8
